recordId,name,city,country,existingLocation,proposedLocation,source,confidence,status
rec00NJhff5GN3n23,"Motto by Hilton Guadalajara Centro Historico","Guadalajara","Mexico","","Urban","census_peer_city_country_mode","medium",ready
rec01m3hRVIOamDDu,"Holiday Inn Express & Suites Nuevo Vallarta","Bahia de Banderas","Mexico","","Resort","census_peer_city_country_mode","low",ready
rec022VIYxisrXAgH,"ibis Bogota Calle 80","Bogota","Colombia","","Urban","census_peer_city_country_mode","medium",ready
rec02E7xPBIQlPdqZ,"Hilton Garden Inn Ica","Ica","Peru","","Suburban","census_peer_city_country_mode","low",ready
rec02Fl5fQw6Pct3O,"ibis Barra Dos Garcas","Barra Do Garcas","Brazil","","Urban","census_peer_city_country_mode","low",ready
rec09hIMClfPpoSb1,"Holiday Inn Express & Suites Puerto Penasco","Puerto Peñasco","Mexico","","Urban","census_peer_city_country_mode","medium",ready
rec0DYGC1iA2IONfi,"ibis Uruguaiana","Uruguaiana","Brazil","","","","",needs_review
rec0DeJ2QKwzRMvec,"Park Hyatt Cancun","Cancun","Mexico","","Resort","census_peer_city_country_mode","medium",ready
rec0JdHJ51txgXaOW,"Delta Hotels Riviera Nayarit, An All-Inclusive Resort","Bucerías","Mexico","","Resort","name_token_resort","high",ready
rec0XMXaXzlE0A49F,"Courtyard by Marriott Roseau Dominica","Roseau","Dominica","","Suburban","census_peer_city_country_mode","medium",ready
rec0hAss1MVvoaOBE,"Staybridge Suites Guadalajara Sur","Tlajomulco de Zúñig","Mexico","","","","",needs_review
rec0ii2rB7cgaAE6s,"Esplendor Bavaro","Bavaro","Dominican Republic","","Resort","census_peer_city_country_mode","medium",ready
rec0tquO6GDwBv6Ke,"Ramada Ushuaia","Ushuaia","Argentina","","Urban","census_peer_city_country_mode","medium",ready
rec1024vvRUtp2ijt,"Hampton by Hilton Trinidad Airport","Piarco","Trinidad and Tobago","","Airport","name_token_airport","high",ready
rec11yRBgfLOIjnKl,"Hampton by Hilton Lima Miraflores","Miraflores","Peru","","Urban","census_peer_city_country_mode","medium",ready
rec17Vm8o5kIaslXB,"ibis Pouso Alegre","Pouso Alegre","Brazil","","","","",needs_review
rec1CezDIoeDuV6S2,"Iberostar Selection Playa Mita","Punta De Mita","Mexico","","Resort","census_peer_city_country_mode","medium",ready
rec1DSy1rTE4oKgiF,"Bermudiana Beach Resort, a Tapestry Collection by Hilton","Warwick","Bermuda","","Resort","name_token_resort","high",ready
rec1NSrPH7lLHa99W,"Voco Queretaro QRO","Querétaro","Mexico","","Suburban","census_peer_city_country_mode","medium",ready
rec1Q1mqhxAVQUEmh,"Hilton Garden Inn Cartagena","Cartagena","Colombia","","Urban","census_peer_city_country_mode","medium",ready
rec1WNAPAmbBww4W3,"City Express by Marriott Cancun Aeropuerto","Cancun","Mexico","","Airport","name_token_airport","high",ready
rec1X5Br2epK6C501,"The Riviera Maya Edition at Kanai","Playa del Carmen","Mexico","","Resort","census_peer_city_country_mode","medium",ready
rec1Y2Pr88guyIBVX,"Days Inn Juan Dolio Beach","Playa Juan Dolio","Dominican Republic","","","","",needs_review
rec1YhkKq136V8ylI,"Tru by Hilton Puebla Angelopolis","San Andres Cholula","Mexico","","Suburban","census_peer_city_country_mode","medium",ready
rec1famkAFz2yyQ3a,"Super 8 Boca Chica","Boca Chica","Dominican Republic","","","","",needs_review
rec1qGDrIVxqAZ5CM,"Staybridge Suites Leon City Center","León","Mexico","","Urban","census_peer_city_country_mode","medium",ready
rec1s4PwI9HHtIyFT,"Holiday Inn Express Cali Airport","Cali","Colombia","","Airport","name_token_airport","high",ready
rec1tgQsiL073JhgB,"Ramada by Wyndham Jaguaruna","Jaguaruna","Brazil","","","","",needs_review
rec1txbnQn2skPi18,"City Express by Marriott Junior Mazatlan Villa Union","Villa Unión","Mexico","","","","",needs_review
rec2JjHjxDIt5SubN,"AC Hotel Santiago de los Caballeros","Santiago de los Caballeros","Dominican Republic","","Urban","census_peer_city_country_mode","low",ready
rec2RUkZ1isVgLSuM,"W Punta Cana Adult All-Inclusive","Punta Cana","Dominican Republic","","Resort","name_token_resort","high",ready
rec2WUtRqTTTnGWEI,"Cas en Bas By Dream Hotel Group","Soucis","Saint Lucia","","","","",needs_review
rec2XntFWAhq5oaBx,"ibis budget Concepcion","Concepcion","Chile","","Urban","census_peer_city_country_mode","medium",ready
rec2aR9iQWc4bmzm9,"Hampton by Hilton San Juan City Center","San Juan","Puerto Rico","","Urban","census_peer_city_country_mode","medium",ready
rec2b9MREo000mpFV,"Registry Collection Hotels Foz do Iguaçu","Foz do Iguaçu","Brazil","","Urban","census_peer_city_country_mode","medium",ready
rec2csqTgAXfQhBhp,"Tru by Hilton San Juan Condado","San Juan","Puerto Rico","","Urban","census_peer_city_country_mode","medium",ready
rec2ec9kmJpQfns9j,"Staybridge Suites Monterrey Sendero","Escobedo","Mexico","","Suburban","census_peer_city_country_mode","low",ready
rec2m58qf9yauGWiH,"Hard Rock Hotel & Casino Aruba","Oranjestad","Aruba","","","","",needs_review
rec2rt7LWirHlEIrZ,"Cabos Resort Fajardo, Tapestry Collection by Hilton","Fajardo","Puerto Rico","","Resort","name_token_resort","high",ready
rec31Rj4YOFNk7k8D,"Wyndham Hotels and Resorts Atibaia","Atibaia","Brazil","","Resort","census_peer_city_country_mode","low",ready
rec3DSwHG0hAb19Rj,"Holiday Inn Cancun Campestre Epic Center","Cancún","Mexico","","Resort","census_peer_city_country_mode","medium",ready
rec3OEslUsWpGFOAa,"Paraiso de la Bonita a Luxury Collection Resort Riviera Maya Adult All-Inclusive","Puerto Morelos","Mexico","","Resort","name_token_resort","high",ready
rec3PMJjnpqSzMkja,"The Trident Hotel","Port Antonio","Jamaica","","Suburban","census_peer_city_country_mode","medium",ready
rec3QQOnCtd0oGXqQ,"Mercure Rosario","Rosario","Argentina","","Urban","census_peer_city_country_mode","medium",ready
rec3VuBaUE93xPcfE,"Radisson Hotel Vale dos Vinhedos","Monte Belo Do Sul","Brazil","","","","",needs_review
rec3YZAaYnzqeq3j0,"Ibis Styles Sorriso","Sorriso","Brazil","","Urban","census_peer_city_country_mode","low",ready
rec3ayS6Y8bJPprEV,"Faena Sao Paulo","Sao Paulo","Brazil","","Urban","census_peer_city_country_mode","medium",ready
rec3b96JgBaVJtDnr,"JW Marriott San Salvador","San Salvador","El Salvador","","Urban","census_peer_city_country_mode","medium",ready
rec3iVNqadtMhos2N,"Holiday Inn Express & Suites Cancun Centro","Cancun","Mexico","","Resort","census_peer_city_country_mode","medium",ready
rec3jEROJWiq0YpZc,"DoubleTree by Hilton Cote des Arcadins All-Inclusive Resort","Cote des Arcadins","Haiti","","Resort","name_token_resort","high",ready
