recordId,name,country,city,currentMarket,currentSubmarket,proposedMarket,proposedSubmarket,reason,confidence,source,issues
rec3LUKz0qPxOmmRm,Tropical Suites,Panama,Bocas del Toro,Panama Provincial,Bocas del Toro,Panama,,provincial_market_realign,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket
rec3eRtK1JkiXZcTY,Palmar Beach Lodge,Panama,Bocas del Toro,Panama Provincial,Bocas del Toro,Panama,,provincial_market_realign,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket
rec6sVPgm8E8UNHTA,Radisson Hotel Trinidad,Trinidad and Tobago,Port Of Spain,Trinidad & Tobago,Tobago,,Port of Spain,str_excel_submarket,High,str_excel,city_corridor_submarket_mismatch
rec7JPjHA9nrNblyq,The Oasis Hotel & Restaurant,Panama,Boquete,Panama Provincial,Boquete / Highlands,Panama,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket
rec7rKjpwFTyzE5bi,"Alaia Belize, Autograph Collection",Belize,San Pedro Ambergris Caye,Belize,Belize City,,Ambergris Caye,str_excel_submarket,High,str_excel,city_corridor_submarket_mismatch
rec9Al5t6gO9kVHCs,Hilton Los Cabos,Mexico,La Paz,Baja California,Los Cabos,,Other,city_country_mode_submarket,Medium,census_city_mode,
rec9Uurfy2XNmgSt2,La Coralina Island House,Panama,Bocas del Toro,Panama Provincial,Bocas del Toro,Panama,,provincial_market_realign,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket
recBL3aUnguYhjKyO,Secrets Playa Blanca Costa Mujeres,Mexico,Cancún,Mexican Caribbean,Cozumel,,Cancún Airport Corridor,str_excel_submarket,High,str_excel,city_corridor_submarket_mismatch
recBUhlH6fevhYFEe,"Sortis Hote, Spa & Casino, Autograph Collection",Panama,Panama City,Panama,Panama City,Panama City,,str_excel_market,High,str_excel,
recC8kLqWUaKO7Q7K,Bocas Paradise Hotel,Panama,Bocas del Toro,Panama Provincial,Bocas del Toro,Panama,,provincial_market_realign,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket
recEt4biGBy4vWeJr,Hotel Bocas Del Toro,Panama,Bocas del Toro,Panama Provincial,Bocas del Toro,Panama,,provincial_market_realign,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket
recGr7kvLyJWEMxvK,"The Ocean Club, A Four Seasons Resort, Bahamas",Bahamas,Paradise,Bahamas Regional,Paradise Island,Bahamas,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket
recHBVkkXlwezvxqe,The Reef at Atlantis,Bahamas,Paradise,Bahamas Regional,Paradise Island,Bahamas,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket
recJUyhILwsy8OKUW,Four Seasons Resort Los Cabos at Costa Palmas,Mexico,La Paz,Baja California,Los Cabos,,Other,city_country_mode_submarket,Medium,census_city_mode,
recK4KXKtrLo9Y3bj,Gran Hotel Bahia,Panama,Bocas del Toro,Panama Provincial,Bocas del Toro,Panama,,provincial_market_realign,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket
recKRFcn2CvupE4tO,Hyatt Regency Trinidad,Trinidad and Tobago,Port of Spain,Trinidad & Tobago,Tobago,,Port of Spain,str_excel_submarket,High,str_excel,city_corridor_submarket_mismatch
recMJbc9lcmGymfTR,GHL Style Hotel Bogota Occidente,Colombia,Bogota,Colombia Provincial,Bogotá,Bogota,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket; market_not_dominant_for_submarket
recO8e82QfmzdJml2,Hotel El Ganzo,Mexico,La Paz,Baja California,Los Cabos,,Other,city_country_mode_submarket,Medium,census_city_mode,
recOpYPE7wn75DBp7,Bambuda Castle,Panama,Boquete,Panama Provincial,Boquete / Highlands,Panama,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket
recOx0zUKSQYBLn6o,Montage Los Cabos,Mexico,La Paz,Baja California,Los Cabos,,Other,city_country_mode_submarket,Medium,census_city_mode,
recPYrR8BEyhlH8Y8,La Casa de la Abuela,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,city_country_mode_market,Medium,census_city_mode,
recQMbZSE3lLOsR2B,Valle Escondido Resort Golf & Spa,Panama,Boquete,Panama Provincial,Boquete / Highlands,Panama,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket
recRdLyNeef88XFFw,"Bristol Panama, a Registry Collection Hotel",Panama,Panama City,Panama,Panama City,Panama City,,str_excel_market,High,str_excel,
recUCZrtHYxpf93UP,Wyndham Nordelta Tigre Buenos Aires,Argentina,Buenos Aires,Argentina Provincial,Buenos Aires,Buenos Aires,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket; market_not_dominant_for_submarket
recUVdUrSlEe2gH87,Comfort Suites Paradise Island,Bahamas,Nassau,Bahamas Regional,Nassau / New Providence,Nassau,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket; market_not_dominant_for_submarket
recUos0waakyBIW56,La Casa Corazon,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
