recordId,name,country,city,currentMarket,currentSubmarket,proposedMarket,proposedSubmarket,reason,confidence,source,issues
rec3LUKz0qPxOmmRm,Tropical Suites,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
rec3eRtK1JkiXZcTY,Palmar Beach Lodge,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
rec7A7F7ry7GFIPDH,Hotel Ciudad De David,Panama,David,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
rec7JPjHA9nrNblyq,The Oasis Hotel & Restaurant,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
rec8L1Kc0D2S0hJTZ,Sand Diamond Hotel,Panama,Colon,Panama,Canal / Logistics Corridor,Panama Provincial,,str_excel_market,High,str_excel,
rec9Uurfy2XNmgSt2,La Coralina Island House,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recC8kLqWUaKO7Q7K,Bocas Paradise Hotel,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recEt4biGBy4vWeJr,Hotel Bocas Del Toro,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recG4fIejQRdfUNIm,Hampton by Hilton David,Panama,David,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recK4KXKtrLo9Y3bj,Gran Hotel Bahia,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recLRpsVue5nfZtQn,Aranjuez Hotel & Suites,Panama,David,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recNI8LorBx40W2Wg,Crowner Hotel David,Panama,David,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recOpYPE7wn75DBp7,Bambuda Castle,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recQMbZSE3lLOsR2B,Valle Escondido Resort Golf & Spa,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recUos0waakyBIW56,La Casa Corazon,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recWgEN45pbEJ6mob,Hotel Ladera,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recflJ5ywfEqgdhud,Nayara Bocas del Toro,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recj2apqq2iQoE2CO,Bambuda Bocas Town,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recmA2bCFONzlyxd2,Hacienda Los Molinos Boutique,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recoGtHDVwFuuBngg,Hotel Boutique Finca Lerida,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
rect6xTnJsjJyA6Ei,Radisson Colon 2000 Hotel & Casino,Panama,Colon,Panama,Canal / Logistics Corridor,Panama Provincial,,str_excel_market,High,str_excel,
recw6JGXwItBZC8si,Boquete Tree Trek Mountain Resort,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recxuaqwkcy6ZFJ49,Panamonte Hotel,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market,High,str_excel,
recyG918iQd6uJZjL,Bambuda Lodge,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
