recordId,name,country,fieldsUpdated,sources,proposed
rec009x8NneB7azpM,Aparthotel Maria Alexandra,Costa Rica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Miguel De Escazu""}"
rec00NJhff5GN3n23,Motto by Hilton Guadalajara Centro Historico,Mexico,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Guadalajara""}"
rec00PoeTvMEGbyNU,St Andrews Gramado,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Gramado""}"
rec00kxD7Ib3Et0E6,Windsong Resort,Turks and Caicos Islands,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Providenciales""}"
rec00oEFhgmhXrgI2,Club Del Mar,Costa Rica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Jaco""}"
rec01NOwXLdRbCSys,Providencia Bed & Breakfast,Chile,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Santiago""}"
rec01bHwoA7xWtQDS,"Selina Miraflores, Lima",Peru,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Miraflores""}"
rec01m3hRVIOamDDu,Holiday Inn Express & Suites Nuevo Vallarta,Mexico,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Bahia de Banderas""}"
rec01ogLX7mddtD50,Casablanca Beach Hotel,Jamaica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Montego Bay""}"
rec020A9XEypsxgKS,Hotel El Costeno,Nicaragua,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Masaya""}"
rec020eCvfQVcS1XA,Klee International Hotel,Uruguay,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Montevideo""}"
rec022VIYxisrXAgH,ibis Bogota Calle 80,Colombia,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Bogota"",""Submarket"":""Bogota""}"
rec02DxnQ308RjJPR,Hotel Vasco,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cuautla""}"
rec02E7xPBIQlPdqZ,Hilton Garden Inn Ica,Peru,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Peru Provincial"",""Submarket"":""Ica""}"
rec02Fl5fQw6Pct3O,ibis Barra Dos Garcas,Brazil,Market; Submarket,"{""Market"":""str_excel_str_id"",""Submarket"":""str_excel_str_id""}","{""Market"":""Brazil Central & West"",""Submarket"":""Brazil Central & West Regional""}"
rec02I8V3qaZerECv,Hotel Marquez Del Sol,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Acapulco""}"
rec02R8IjABu0WrMs,Hotel Lossandes,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Ciudad Del Carmen""}"
rec02YLC3ikzYumzU,Hotel America,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Mar Del Plata""}"
rec02gkdLLUcRhnZ9,Confort Ejecutivo Suites Valle,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Monterrey""}"
rec02xliVdekC0QlF,Memories Jibacoa Resort,Cuba,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Santa Cruz Del Norte""}"
rec03VLoPzB8QyORx,Selina Paratay,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Paraty""}"
rec03ZiG2RZXZOyEs,Playabachata Spa Resort,Dominican Republic,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Puerto Plata""}"
rec03qQi9P0HOMOJI,Amazon Walker Hostel,Peru,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Iquitos""}"
rec03qpAv1PaeX29G,Alsol Tiara Cap Cana,Dominican Republic,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Punta Cana""}"
rec03u3fVAw26j8Ys,Tamarind Reef Resort Spa & Marina,US Virgin Islands,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Christiansted""}"
rec03xQpLdBPXVviF,Excel Hotel,Guatemala,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Guatemala City""}"
rec04d4esAuk0GY8i,Selina Bocas Del Toro,Panama,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Bocas Del Toro""}"
rec04u1lL9DhwUPnP,Hotel Continental Altamira,Venezuela (Bolivarian Republic of),Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Caracas""}"
rec05DGCtWsiG8yRJ,Hostal Loanka,Peru,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Trujillo""}"
rec05TpYZNgiBPhKp,Bahia Chac Chi,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Isla Mujeres""}"
rec05XiZxVtUNdrCl,Novum Hotel,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cordoba""}"
rec05cccjFepUbJLc,Comodoro Apartmentos,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Comodoro Rivadavia""}"
rec05syRtQavFtJWQ,Parador Del Cortijo,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Miguel De Allende""}"
rec0672UkSDEZzWMo,San Agustin Plaza Hotel,Peru,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cusco""}"
rec06JGiRTnf8WnHB,Posada 21 Oranges,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Puerto Iguazu""}"
rec071FD2qpY3Bi6h,Hospedaje Jairito,Peru,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Machu Picchu""}"
rec07KXegtmhxUre9,El Maragato,Costa Rica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Jose""}"
rec07hHA9DxXuyPj2,Hotel San Jose Plaza,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Bucaramanga""}"
rec07kR41m8VH0b57,Aruba's Life Vacation Residences,Aruba,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Noord""}"
rec08BnIKFhhWhuzm,Hotel Rural La Esperanza,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Suesca""}"
rec08lPYwFcObKPl7,La Cangreja Lodge,Costa Rica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Carlos""}"
rec08r4SVNycTJzDt,Sugar Mill Hotel,British Virgin Islands,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Road Town""}"
rec08tcDFwbq9PF3D,Hotel Caribe Princess by Cyan,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Barranquilla""}"
rec09INI6rQQHdHqF,Airam Hotel Brasilia,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Brasilia""}"
rec09Rq9xls2lhxW0,Venit Mio Hotel,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Rio de Janeiro""}"
rec09UhJu8wD6JPHP,Lake Side Apart Hotel,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Brasilia""}"
rec09gltEF10dvTy8,Olimpo Court Hotel,Puerto Rico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Miramar""}"
rec09hIMClfPpoSb1,Holiday Inn Express & Suites Puerto Penasco,Mexico,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Mexico Northwest"",""Submarket"":""Puerto Peñasco""}"
rec0AJKnN5GefNlmn,Hotel Zalmedina,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cartagena""}"
rec0Bz6PcgvXTti4z,Hotel Prim,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Mexico City""}"
rec0BzvEN4aZhA5Oz,Carmelita's Village Caraibe,Guadeloupe,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""St Felix""}"
rec0C75NQ3Jvw7KTe,Mammee Bay Villas,Jamaica,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Ocho Rios""}"
rec0CMNdZMZ8VfjyL,Rio Serrano Hotel + Spa,Chile,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Torres del Paine""}"
rec0CfiRs1VI9QiTi,Hotel Horizontes Los Jazmines,Cuba,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Vinales""}"
rec0Cj4T6ohsri0J6,Hotel Central Cordoba,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Buenos Aires""}"
rec0Ct1YQeMREb0KA,Belem Soft Hotel,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Belem""}"
rec0CtlFrpIouqhhH,Rancho Hotel,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cerocahui""}"
rec0DNmH1FrWTwfGv,Don Giovanni Balinese Suites Y Gelateria,Peru,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Mancora""}"
rec0DeJ2QKwzRMvec,Park Hyatt Cancun,Mexico,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Mexican Caribbean"",""Submarket"":""Cancun""}"
rec0Dy7kkF5Wi8HTD,Hilton Garden Inn  Merida,Mexico,Submarket,"{""Submarket"":""str_excel_str_id""}","{""Submarket"":""Merida""}"
