recordId,name,country,fieldsUpdated,sources,proposed
rec0DYGC1iA2IONfi,ibis Uruguaiana,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Uruguaiana""}"
rec0hAss1MVvoaOBE,Staybridge Suites Guadalajara Sur,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Tlajomulco de Zúñig""}"
rec1tgQsiL073JhgB,Ramada by Wyndham Jaguaruna,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Jaguaruna""}"
rec1txbnQn2skPi18,City Express by Marriott Junior Mazatlan Villa Union,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Villa Unión""}"
rec3VuBaUE93xPcfE,Radisson Hotel Vale dos Vinhedos,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Monte Belo Do Sul""}"
rec5TWXtN3Kk6A4n2,Ritz-Carlton,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Maricá""}"
rec6kGVlmnLKoK99L,ibis IJUi,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Ijuí""}"
recATayV8ltgiZdps,Alchymist Luxury Resort Jeri,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Ceara""}"
recBdAW59AizRUwv5,SIRO Palmilla,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Palmilla""}"
recCN5dj2aeufeBCs,Ibis Araguaina,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Araguaina""}"
recDxFoKkEHGohxOA,Tru by Hilton Marechal Candido Rondon,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Marechal Candido Rondon""}"
recFWHcWFpIMoE1bW,"Mandarin Oriental Kanai, Riviera Maya",Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Tres Ríos""}"
recGdRmbi2fF3N0Qw,ibis Vitoria do Santo Antao,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Vitoria Do Santo Antao""}"
recGmXK3TLJqY3Jtd,ibis Styles Barra Velha,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Barra Velha""}"
recHwd7ZmTHAWzNmI,Hampton by Hilton Guadalajara Periferico Sur,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""San Pedro Tlaquepaque""}"
recIFheJN6jUKYSkX,"Courtyard By Marriott Baru, Cartagena",Colombia,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Colombia Provincial"",""Submarket"":""Barú""}"
recJS1Vg7Lg7ej5JD,Kuaa MARAEY Resort,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Maricá""}"
recLSajxfncWXrilx,Biodynamic Community Hotel,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Los Altos de Jalisco""}"
recM8XH0Pk38IBAmG,Wyndham Hotels and Resorts Pitangui,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Pitangui""}"
recORcU7gXRmJzPrA,OCN Resort & Residences Puerto Escondido,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Bajos de Chila""}"
recOsuvbW40ATj77P,Pendry Punta Mita Hotel,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""San Pancho""}"
recQGjtwHvWOn6852,ibis Concordia,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Concórdia""}"
recRBVN04TuHRbwNh,Howard Johnson Alvear,Argentina,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Argentina Provincial"",""Submarket"":""Alvear""}"
recS65mnzpCvjt1jH,Holiday Inn Express,Colombia,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Colombia Provincial"",""Submarket"":""Villa Del Rosario""}"
recT4nqXT4R2qeXBj,Hampton by Hilton Culiacan,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Culiacán Rosales""}"
recVpkgqPj5fN1T8z,Four Seasons Resort and Residences Cabo San Lucas at Cabo Del Sol,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Los Cerritos""}"
recXfUajcW32OduHT,Montage Cay,Bahamas,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Bahamas"",""Submarket"":""Abaco Island""}"
recXzqgO2S5t3QrQz,Banyan Tree Bimini Resort & Residences,Bahamas,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Bahamas"",""Submarket"":""Bailey Town""}"
recY2Ch11LpIOWgcV,Hilton Garden Inn Itapetininga,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Itapetininga""}"
recYRJxzW0ULmvsOD,Ibis Caieiras,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Caieiras""}"
recZAjAZKF3uqTDRM,Six Senses Xala,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""José María Morelos""}"
recZLyRBfXblbVJoT,Wyndham Claudia,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Claudia""}"
recavJFC6vNxqbvIK,NHOW Santiago de Chile,Chile,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Chile Provincial"",""Submarket"":""La Dehesa""}"
recbIRZCmNYYBj70B,ibis Caruaru,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Caruaru""}"
recbigUK1F633zMCZ,Rosewood Exuma,Bahamas,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Bahamas"",""Submarket"":""East Sampson Cay""}"
