metric,value,notes
totalRecords,15635,
recordsWithStrId,15284,STR Number
recordsMissingStrId,351,
duplicateStrIdGroups,121,Same STR ID on multiple records
recordsMissingCity,0,city
recordsMissingCountry,0,country
recordsMissingHotelName,0,name
recordsWithStrMarket,14856,Market
recordsWithStrSubmarket,0,Submarket
distinctCountries,51,Costa Rica; Mexico; Brazil; Turks and Caicos Islands; Chile; Peru; Jamaica; Nicaragua; Uruguay; Colombia
distinctStrMarkets,74,Costa Rica; Brazil South; Turks & Caicos Islands; Santiago; Lima; Jamaica; Nicaragua; Uruguay; Mexico Central South; Pacific Central
distinctStrSubmarkets,0,
