issueType,key,recordIds,recordCount,hotelNames,notes
"Same STR ID, different hotel names",289897,rec02Fl5fQw6Pct3O; rechVhb1b1y95jqjv,2,ibis Barra Dos Garcas | ibis Barra do Garcas,Resolve before STR import
Duplicate STR ID,285797,rec0JdHJ51txgXaOW; rec158KFeXUHdwwH7,2,"Delta Hotels Riviera Nayarit, An All-Inclusive Resort",Resolve before STR import
Duplicate STR ID,300920,rec0WBj2bFEGDEXrM; recasl8bhtKCo2N9C,2,Hotel Mousai Cancun,Resolve before STR import
Duplicate STR ID,210586,rec1CezDIoeDuV6S2; recE3SWDSzsV47ib9,2,Iberostar Selection Playa Mita,Resolve before STR import
Duplicate STR ID,134262,rec1SSmWonlA2X3Wa; recdq02zLON5fwU3O,2,Westin Resort & Spa Playa Conchal,Resolve before STR import
Duplicate STR ID,305460,rec1WNAPAmbBww4W3; reckFljVdEHaPMvA0,2,City Express by Marriott Cancun Aeropuerto,Resolve before STR import
"Same STR ID, different hotel names",281187,rec1X5Br2epK6C501; recmDx28k7eMzUpDb,2,The Riviera Maya Edition at Kanai | The Riviera Maya EDITION at Kanai,Resolve before STR import
Duplicate STR ID,297039,rec1ydNZXP2vozFSB; reciy3a5fkzJIsf90,2,Galeria Plaza Monterrey,Resolve before STR import
Duplicate STR ID,109855,rec2F0rBo5YVaWi4O; recXZ7wC3MLn5VX52,2,"Hotel Rumbao, a Tribute Portfolio Hotel",Resolve before STR import
Duplicate STR ID,300662,rec2ZOABX5Kz1Ax55; recDzEJ9mT55NvNyO,2,Banyan Tree Veya Valle de Guadalupe,Resolve before STR import
Duplicate STR ID,280850,rec2vWSR663tJvgxo; recjfJNo5hndxyl76,2,AC Hotel Saltillo,Resolve before STR import
Duplicate STR ID,289918,rec34ZFD7MduAMbrP; recBv43k6VrbbTDE5,2,Novotel Recife Marina,Resolve before STR import
Duplicate STR ID,286254,rec3FOBmvqLY9cmnf; recNGkmN8xVvGFIu1,2,ibis Guarapuava,Resolve before STR import
Duplicate STR ID,108936,rec3PMJjnpqSzMkja; recMw4BLerXGBLmKL,2,The Trident Hotel,Resolve before STR import
Duplicate STR ID,284324,rec3QQOnCtd0oGXqQ; recWOUBPbwWY5p5XL,2,Mercure Rosario,Resolve before STR import
Duplicate STR ID,298094,rec3WSuJfRfLW1rJb; recAqIScZSS3ODiLy,2,Hampton by Hilton Guanacaste Airport,Resolve before STR import
Duplicate STR ID,108755,rec3jEROJWiq0YpZc; rec59IKNo4tYbaRdQ,2,DoubleTree by Hilton Cote des Arcadins All-Inclusive Resort,Resolve before STR import
Duplicate STR ID,108414,rec3nRbEMOE3MYCO3; recxSlHDupQS5H0ob,2,Oetker Collection Jumby Bay Island,Resolve before STR import
Duplicate STR ID,306473,rec42oRmm3SsIX0BO; recn40kue7gfX2FH5,2,Novotel México City Centro Histórico,Resolve before STR import
Duplicate STR ID,222952,rec4554uSaztQjD36; recSCOFoY7bqpu90a,2,The Vines Resort & Spa,Resolve before STR import
Duplicate STR ID,251214,rec4NKyjfJZBOZkYu; recAaTLAMer14ZEuG; recTjYJPhwL821Sxl,3,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",Resolve before STR import
Duplicate STR ID,294119,rec4RYG2WtHWlTQN2; recgiy2VQB0InNEoC,2,Impression Isla Mujeres by Secrets,Resolve before STR import
