fieldName,fieldId,fieldType,excelMapping,matchScore,matchReason
name,fldgG85d4fHXJfwE8,multilineText,hotelName,100,pattern /^name$/i
Affiliation,fldXntVoaZKKmTFjD,multilineText,,0,no Excel mapping
Parent Company,fldiKOJlWSjOfftjj,multilineText,,0,no Excel mapping
status,fld4Z75LqfXl9c4o2,multilineText,,0,no Excel mapping
Latitude,fldCt1KQZEWhbbTmQ,number,,0,no Excel mapping
Longitude,fldQ2HG4ZlVoTEleu,number,,0,no Excel mapping
city,fldXWBgqwUvJg2yVn,multilineText,city,100,pattern /^city$/i
country,flddMKZENlTyrZwqZ,multilineText,country,100,pattern /^country$/i
rooms,fldWVVTVL1qVeqCQo,number,,0,no Excel mapping
Location,fld8FkwpgGYr2OhP7,multilineText,,0,no Excel mapping
Property ID,fldY71RlNC80ZMRPN,number,strId,100,pattern /^property\s*id$/i
STR Number,fldABCIveA3vXh9p9,number,strId,100,pattern /^str\s*(number|id|#|no\.?)?$/i
Star Rating,fldwjvMQRfoaUPKx0,rating,,0,no Excel mapping
Property Type,fldGCuAXbSif0wy6x,multilineText,,0,no Excel mapping
Dealality Market,fldGj5As5RWInyPmm,multilineText,,0,no Excel mapping
Submarket,fldYsDIv7N4qQMbUL,singleLineText,strSubmarket,100,pattern /^submarket$/i
Region,fldYtrTVY6ZH5zgCX,multilineText,,0,no Excel mapping
Development Cost,fld2dYOarYVZxq50z,currency,,0,no Excel mapping
Occupancy Rate,fldgemJYVHCcsJQaD,percent,,0,no Excel mapping
ADR,fld8ijaEUW4qMmyOc,currency,,0,no Excel mapping
RevPAR,fldPAf62dAls1Lv13,currency,,0,no Excel mapping
Amenities,fldJVBo4iQ58ZGTBa,multilineText,,0,no Excel mapping
Website,fldDvywj08VBZtZrL,url,,0,no Excel mapping
Chain Scale,fldHTKcB1kdQSDbvJ,multilineText,,0,no Excel mapping
project_phase,fld0FUFJghdAXMoxM,multilineText,,0,no Excel mapping
projected_open_date,fldnNB0lDOPijnFPc,date,,0,no Excel mapping
Operation Type,flddOKY5esnSM925D,singleSelect,,0,no Excel mapping
Management Company,fldeyiHz45Fn3Cbcb,singleLineText,,0,no Excel mapping
Address 1,fldaC9HJKHFhIp6pa,singleLineText,,0,no Excel mapping
Address 2,fldIZKBvH2DX9Hyz4,singleLineText,,0,no Excel mapping
All Suites (Y/N),fldHg1Zvwc1XIuHvm,singleSelect,,0,no Excel mapping
Boutique (Y/N),fld0t7r3A7TWzJIN9,singleSelect,,0,no Excel mapping
Casino (Y/N),fldn0iZL0L5qYYM1k,singleSelect,,0,no Excel mapping
Chain ID,fldI5SZdQcxAjAe9q,singleLineText,,0,no Excel mapping
Class,fld9T2OmfAHL7FFR8,singleLineText,,0,no Excel mapping
Conference (Y/N),fldY5y7muvHCq6RqR,singleSelect,,0,no Excel mapping
Continent,fldHozFrHlZRglMHQ,singleLineText,,0,no Excel mapping
Convention (Y/N),fldxcdaxWzZl9mbDK,singleSelect,,0,no Excel mapping
County,fldEZxzEhzJog9Dba,singleLineText,,0,no Excel mapping
Double High Rate,fldQ1TGQOfZpj7gSj,number,,0,no Excel mapping
Double Low Rate,fldNMg5IadVm0frvv,number,,0,no Excel mapping
Ex-Affiliation,fldw9svGXKeK7Xfat,singleLineText,,0,no Excel mapping
Ex-Affiliation 2,fldGMi5xlEaZhA2SI,singleLineText,,0,no Excel mapping
Ex-Affiliation 3,fldmo3NJ0TcbUQUYm,singleLineText,,0,no Excel mapping
Fax,fldtLuiZlhpN8sT3z,singleLineText,,0,no Excel mapping
Floors,fldMdc4yDrXhheskn,number,,0,no Excel mapping
Golf (Y/N),fldjvyYSAUTVbHxzr,singleSelect,,0,no Excel mapping
Indoor Corridors (Y/N),fldzgTCOCeFy9LHdy,singleSelect,,0,no Excel mapping
Largest Meeting Space,fldVJYOLHHSj5vAuZ,number,,0,no Excel mapping
MSA,fldnC0qSVtNNbvYy7,singleLineText,,0,no Excel mapping
Mailing Address 1,fldlquKTvNWYaZ0Qp,singleLineText,,0,no Excel mapping
Mailing Address 2,fldBBb1FAN0gIaL1B,singleLineText,,0,no Excel mapping
Mailing City,fldS32OzSIiDGqrqv,singleLineText,city,75,"keyword ""city"""
Mailing Country,fld02xZPXozbI9205,singleLineText,country,75,"keyword ""country"""
Mailing Postal Code,fldNqgRSzjRrNHJ3r,singleLineText,,0,no Excel mapping
Mailing State,fldt5PHgJ76If7UA3,singleLineText,,0,no Excel mapping
Management Address 1,fld95aKRqUJhzsNhu,singleLineText,,0,no Excel mapping
Management Address 2,fldykSHRXb8YH5BOT,singleLineText,,0,no Excel mapping
Management City,fldvFPNjFxX1CwDyS,singleLineText,city,75,"keyword ""city"""
Management Contact Name,fldd15ThWmAP90ii6,singleLineText,,0,no Excel mapping
Management Contact Title,fldH7xf89uwFZZo9N,singleLineText,,0,no Excel mapping
Management Country,fldaYBfkxtkbfpH9n,singleLineText,country,75,"keyword ""country"""
Management Email,fldN4kfYelpcYNjeG,email,,0,no Excel mapping
Management Phone,fldvnekbem4tGpZLn,singleLineText,,0,no Excel mapping
Management Postal Code,fld3EYBvUJIYkFrbF,singleLineText,,0,no Excel mapping
Management State,fldqIELijXcyXunWO,singleLineText,,0,no Excel mapping
Management Website,fldkNdvix1IvIzXXi,url,,0,no Excel mapping
Market,fldqRDxqnirweEBo1,singleLineText,strMarket,100,pattern /^market$/i
Open Date,fldUIAgPLnGhPa2Gc,date,,0,no Excel mapping
Original Affiliation,fld2fr73GMPWTRP1j,singleLineText,,0,no Excel mapping
Owner Address 1,fldge5j88y5NsLTjs,singleLineText,,0,no Excel mapping
Owner Address 2,fldGoGuM1J2i3mOcH,singleLineText,,0,no Excel mapping
Owner City,fldDm5RV43kqmcn5d,singleLineText,city,75,"keyword ""city"""
Owner Company,fldjLimK6LJTW3vzY,singleLineText,,0,no Excel mapping
Owner Contact Name,fldhHGtmOebfxF5in,singleLineText,,0,no Excel mapping
Owner Contact Title,fldhbt5THgin5bJz7,singleLineText,,0,no Excel mapping
Owner Country,fldV1W0TfApqeBl3o,singleLineText,country,75,"keyword ""country"""
Owner Email,fldSZRlEiWBP8hG7M,email,,0,no Excel mapping
Owner Phone,fldRUe3jcwQvQYDxk,singleLineText,,0,no Excel mapping
Owner Postal Code,fldlYrGl2T109hs5J,singleLineText,,0,no Excel mapping
Owner State,fldHmo5eqR0mI2sc5,singleLineText,,0,no Excel mapping
Owner Website,fldjGXzkbOvj9aAId,url,,0,no Excel mapping
Postal Code,fldNQ2cpoZ7V6v5sk,singleLineText,,0,no Excel mapping
Price,fldBxo997LE7MctOS,singleLineText,,0,no Excel mapping
Resort (Y/N),fldKd1eeRKwgyaSDK,singleSelect,,0,no Excel mapping
Restaurant (Y/N),fldB4bgagEbrc9gxA,singleSelect,,0,no Excel mapping
Single High Rate,fld5y3lxPlk46ue2N,number,,0,no Excel mapping
Single Low Rate,fldBWCRJ6tKU2FKBw,number,,0,no Excel mapping
Ski (Y/N),fldGC8nke73U0PP45,singleSelect,,0,no Excel mapping
Spa (Y/N),fldBQLhGiS8lKYxPr,singleSelect,,0,no Excel mapping
State,fldOcEl4cjTY3SsKs,singleLineText,,0,no Excel mapping
Sub-Continent,fldreEqBh5JiAxR9T,singleLineText,,0,no Excel mapping
Suite High Rate,fldVu2Yhms48E8AGr,number,,0,no Excel mapping
Suite Low Rate,fldKDvIaNW5tUVrPC,number,,0,no Excel mapping
Telephone,fld1sf3F2gXWCOtOa,singleLineText,,0,no Excel mapping
Total Meeting Space,fldpotQ7gcFA0LnOq,number,,0,no Excel mapping
Tract,fldZUGtXMCQY3wH3y,singleLineText,,0,no Excel mapping
Year Affiliated,fld21BeHmquS7GfTB,number,,0,no Excel mapping
Year & Month Affiliated,fldlt33ARVhRf0oQt,formula,,0,no Excel mapping
Affiliated Month,fldhsoehSD7qOPTKT,formula,,0,no Excel mapping
Last Modified,fldWUY8fL5BryAOuS,lastModifiedTime,,0,no Excel mapping
Include in Brand Explorer,fldhSIlXDD9c7t9A3,checkbox,,0,no Excel mapping
Data Confidence,fldTurasHQQ0OLgdY,singleSelect,,0,no Excel mapping
