status,recordId,name,country,city,currentSubmarket,strRegional,proposedSubmarket,confidence,source,reason
ready,rec009x8NneB7azpM,Aparthotel Maria Alexandra,Costa Rica,San Miguel De Escazu,San Miguel De Escazu,no,Other,Low,census_str_submarket_alias,market_to_corridor
ready,rec00PoeTvMEGbyNU,St Andrews Gramado,Brazil,Gramado,Gramado,no,Florianópolis,Low,census_str_submarket_alias,market_to_corridor
ready,rec00oEFhgmhXrgI2,Club Del Mar,Costa Rica,Jaco,Jaco,no,Jacó / Herradura,Medium,dealality_keyword_corridor_map,name_keyword_jaco
ready,rec01NOwXLdRbCSys,Providencia Bed & Breakfast,Chile,Santiago,Santiago,no,Santiago Centro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec01m3hRVIOamDDu,Holiday Inn Express & Suites Nuevo Vallarta,Mexico,Bahia de Banderas,Bahia de Banderas,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec020A9XEypsxgKS,Hotel El Costeno,Nicaragua,Masaya,Masaya,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec022VIYxisrXAgH,ibis Bogota Calle 80,Colombia,Bogota,Bogota,no,Bogotá,High,dealality_keyword_corridor_map,name_keyword_bogota
ready,rec02DxnQ308RjJPR,Hotel Vasco,Mexico,Cuautla,Cuautla,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec02E7xPBIQlPdqZ,Hilton Garden Inn Ica,Peru,Ica,Ica,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec02Fl5fQw6Pct3O,ibis Barra Dos Garcas,Brazil,Barra Do Garcas,Brazil Central & West Regional,yes,Other,Low,census_str_regional_other,str_regional_fallback_other
ready,rec02R8IjABu0WrMs,Hotel Lossandes,Mexico,Ciudad Del Carmen,Ciudad Del Carmen,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec02YLC3ikzYumzU,Hotel America,Argentina,Mar Del Plata,Mar Del Plata,no,Mar del Plata,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec03VLoPzB8QyORx,Selina Paratay,Brazil,Paraty,Paraty,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec03ZiG2RZXZOyEs,Playabachata Spa Resort,Dominican Republic,Puerto Plata,Puerto Plata,no,Puerto Plata / Sosúa / Cabarete,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec03qQi9P0HOMOJI,Amazon Walker Hostel,Peru,Iquitos,Iquitos,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec03qpAv1PaeX29G,Alsol Tiara Cap Cana,Dominican Republic,Punta Cana,Punta Cana,no,Punta Cana / Bávaro / Cap Cana,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec03u3fVAw26j8Ys,Tamarind Reef Resort Spa & Marina,US Virgin Islands,Christiansted,Christiansted,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec04I6BUvG8FZ48L,Gran Estanplaza Berrini,Brazil,Sao Paulo,Congonhas/Morumbi/Nacoes Unidas,no,São Paulo,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,rec04d4esAuk0GY8i,Selina Bocas Del Toro,Panama,Bocas Del Toro,Bocas Del Toro,no,Bocas del Toro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec05XiZxVtUNdrCl,Novum Hotel,Argentina,Cordoba,Cordoba,no,Córdoba,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,rec05cccjFepUbJLc,Comodoro Apartmentos,Argentina,Comodoro Rivadavia,Comodoro Rivadavia,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec05syRtQavFtJWQ,Parador Del Cortijo,Mexico,San Miguel De Allende,San Miguel De Allende,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0672UkSDEZzWMo,San Agustin Plaza Hotel,Peru,Cusco,Cusco,no,Cusco Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec06JGiRTnf8WnHB,Posada 21 Oranges,Argentina,Puerto Iguazu,Puerto Iguazu,no,Puerto Iguazú,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,rec06JsVpHaQ3xzOW,Wyndham Alltra Playa del Carmen Adults Only All Inclusive,Mexico,Playa Del Carmen,Playa Del Carmen,no,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec071FD2qpY3Bi6h,Hospedaje Jairito,Peru,Machu Picchu,Machu Picchu,no,Machu Picchu Access,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec07KXegtmhxUre9,El Maragato,Costa Rica,San Jose,San Jose,no,San José Metro,High,dealality_city_corridor_map,exact_city_map
ready,rec07hHA9DxXuyPj2,Hotel San Jose Plaza,Colombia,Bucaramanga,Bucaramanga,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec07wghwoYaFhHMA,H2O Life Style Resort,Turks and Caicos Islands,Long Bay Hills,Turks & Caicos Islands,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec08BnIKFhhWhuzm,Hotel Rural La Esperanza,Colombia,Suesca,Suesca,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec08cYUD0LYpiBwE,Fiesta Inn Nogales,Mexico,Nogales,Mexico Northwest Regional,yes,Other,Low,census_str_regional_other,str_regional_fallback_other
ready,rec08lPYwFcObKPl7,La Cangreja Lodge,Costa Rica,San Carlos,San Carlos,no,Other,Low,census_str_submarket_alias,market_to_corridor
ready,rec08r4SVNycTJzDt,Sugar Mill Hotel,British Virgin Islands,Road Town,Road Town,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec09INI6rQQHdHqF,Airam Hotel Brasilia,Brazil,Brasilia,Brasilia,no,Brasília,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,rec09UhJu8wD6JPHP,Lake Side Apart Hotel,Brazil,Brasilia,Brasilia,no,Brasília,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,rec09gltEF10dvTy8,Olimpo Court Hotel,Puerto Rico,Miramar,Miramar,no,San Juan Metro,Low,census_str_submarket_alias,market_to_corridor
ready,rec09hIMClfPpoSb1,Holiday Inn Express & Suites Puerto Penasco,Mexico,Puerto Peñasco,Puerto Peñasco,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0AIkq4zk4ZJySC,JW Marriott Cancun Resort & Spa,Mexico,Cancun,Cancun Coast,no,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,rec0CMNdZMZ8VfjyL,Rio Serrano Hotel + Spa,Chile,Torres del Paine,Torres del Paine,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0Ca6ZVCbIxkwDW,Holiday Inn Express San Juan Condado,Puerto Rico,San Juan,San Juan Area,no,San Juan Metro,High,dealality_city_corridor_map,pr_city_inference_map
ready,rec0CaettSIncDMg7,Hilton Garden Inn Queretaro,Mexico,Queretaro,Queretaro,no,Querétaro,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,rec0CnGSGAr6u6cYQ,Sofitel Buenos Aires Recoleta,Argentina,Buenos Aires,Buenos Aires Centre,no,Buenos Aires,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec0Ct1YQeMREb0KA,Belem Soft Hotel,Brazil,Belem,Belem,no,Salvador,Low,census_str_submarket_alias,market_to_corridor
ready,rec0CtlFrpIouqhhH,Rancho Hotel,Mexico,Cerocahui,Cerocahui,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0DIUsFhWSReT4F,Sheraton Guayaquil Hotel,Ecuador,Guayaquil,Ecuador Regional,yes,Guayaquil,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,rec0DNmH1FrWTwfGv,Don Giovanni Balinese Suites Y Gelateria,Peru,Mancora,Mancora,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0DYGC1iA2IONfi,ibis Uruguaiana,Brazil,Uruguaiana,Uruguaiana,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0DeJ2QKwzRMvec,Park Hyatt Cancun,Mexico,Cancun,Cancun,no,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,rec0Dy7kkF5Wi8HTD,Hilton Garden Inn  Merida,Mexico,Mérida,Merida,no,Mérida / Yucatán,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,rec0E7seor47USrCj,ibis Styles Confins Aeroporto,Brazil,Lagoa Santa,Brazil Southeast Regional,yes,Other,Low,census_str_regional_other,str_regional_fallback_other
ready,rec0EIAO6lh7xUkSM,Hotel Verde Mar,Colombia,San Andres,San Andres,no,San Andrés,High,dealality_keyword_corridor_map,name_keyword_san_andres
ready,rec0EIAxddL40SDg1,Hotel Mision Patzcuaro Centro Historico,Mexico,Patzcuaro,Patzcuaro,no,Centro Histórico,Low,census_str_submarket_alias,name_to_corridor
ready,rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Brazil,Sao Caetano do Sul,São Paulo State Regional,yes,São Paulo,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,rec0EtlgUPwXkle9R,Hotel Loberias del Sur,Chile,Puerto Chacabuco,Puerto Chacabuco,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0Fe4m0j6ihtm3z,Del Prado Inn,Peru,Cusco,Cusco,no,Cusco Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec0FprPHKudKfreK,Taua Resort & Convention Atibaia,Brazil,Atibaia,Atibaia,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0GCeWJdhNWYxlO,A Stones Throw Away,Bahamas,Nassau,Nassau,no,Nassau / New Providence,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec0GGjEzWVAN2gKo,Farol da Ilha Hotel,Brazil,Florianopolis,Florianopolis,no,Florianópolis,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,rec0HOcTlWtRuBKES,Dan Inn Premium Campos do Jordão,Brazil,Campos do Jordao,Campos do Jordao,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0Hhvvtzi7kKV94,Casa Morales Hotel Internacional y Centro de Convenciones,Colombia,Ibague,Ibague,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0HlTvnPXQ81tuO,Lang Palace Hotel,Brazil,Chapecó,Chapecó,no,Florianópolis,Low,census_str_submarket_alias,market_to_corridor
ready,rec0IJkGwTkWEwWeq,Hotel San Jose Plaza,Colombia,Bucaramanga,Bucaramanga,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0IOc8TdmuT4YGS,Turrance Green Hotel,Brazil,Foz do Iguaçu,Foz do Iguaçu,no,Florianópolis,Low,census_str_submarket_alias,market_to_corridor
ready,rec0Ip0kM400gsUMI,Novo Grande Hotel,Brazil,Ribeirao Preto,Ribeirao Preto,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0JTDomaba2zwdw,Hotel Penasco Del Sol,Mexico,Puerto Peñasco,Puerto Peñasco,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0JdHJ51txgXaOW,"Delta Hotels Riviera Nayarit, An All-Inclusive Resort",Mexico,Bucerías,Riviera Nayarit,no,Puerto Vallarta / Riviera Nayarit,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec0JfzzyjTbkY1kj,whala!bavaro,Dominican Republic,Punta Cana,Punta Cana,no,Punta Cana / Bávaro / Cap Cana,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec0Jh4iG9oQDS3gb,Sumaq Machu Picchu Hotel,Peru,Machu Picchu,Machu Picchu,no,Machu Picchu Access,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec0KV3UdY5HqCNrA,Hotel San Miguel,Mexico,Reynosa,Reynosa,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0KlAjSzRM2Pnjp,Isla Marisol Resort,Belize,Glover's Reef Atoll,Belize,no,Belize City,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,rec0KtpDHEP3pg3R9,Las Dunas Hotel Suites,Mexico,Ensenada,Ensenada,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,rec0LBMx6UVtAE3OM,ibis Parauapebas,Brazil,Parauapebas,Brazil North Regional,yes,Manaus,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,rec0LhZgbkkhiRiUB,Kanantik Reef & Jungle Resort,Belize,Dangriga,Dangriga,no,Belize City,Low,census_str_submarket_alias,market_to_corridor
ready,rec0MLxIzT3tmzOCH,Hilton Garden Inn Santiago del Estero,Argentina,Santiago del Estero,Argentina North Provincial,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
