country,current_hotels,estimated_universe,coverage_pct,coverage_status,portfolio_coverage_score,growth_score,discovery_opportunity,known_discovery_stock,review_queue,confidence,recommended_action,readiness,hotels_missing,difficulty,estimated_review_burden,estimated_completion_effort,overall_completion_difficulty,region
Turks and Caicos Islands,0,57,0,CRITICAL,97,9.9,MEDIUM,57,0,medium,PORTFOLIO_BATCH,READY,57,EASY,0.7,MEDIUM,MODERATE,Caribbean
U.S. Virgin Islands,0,51,0,CRITICAL,97,9.8,MEDIUM,51,0,medium,PORTFOLIO_BATCH,READY,51,EASY,0.7,MEDIUM,MODERATE,Caribbean
Saint Barthélemy,0,108,0,CRITICAL,94,10.8,MEDIUM,108,0,medium,PORTFOLIO_BATCH,READY,108,EASY,0.7,MEDIUM,MODERATE,Caribbean
Saint Martin,0,100,0,CRITICAL,94,10.7,MEDIUM,100,0,medium,PORTFOLIO_BATCH,READY,100,EASY,0.7,MEDIUM,MODERATE,Caribbean
Sint Maarten,0,100,0,CRITICAL,94,10.7,MEDIUM,100,0,medium,PORTFOLIO_BATCH,READY,100,EASY,0.7,MEDIUM,MODERATE,Caribbean
Martinique,0,64,0,CRITICAL,94,10,MEDIUM,64,0,medium,PORTFOLIO_BATCH,READY,64,EASY,0.7,MEDIUM,MODERATE,Caribbean
Bonaire,0,51,0,CRITICAL,94,9.8,MEDIUM,51,0,medium,PORTFOLIO_BATCH,READY,51,EASY,0.7,MEDIUM,MODERATE,Caribbean
Guadeloupe,0,32,0,CRITICAL,94,9.4,MEDIUM,32,0,medium,PORTFOLIO_BATCH,READY,32,EASY,0.7,SMALL,LOW,Caribbean
Anguilla,0,25,0,CRITICAL,94,9.3,MEDIUM,25,0,medium,PORTFOLIO_BATCH,READY,25,EASY,0.7,SMALL,LOW,Caribbean
Cuba,0,,0,UNKNOWN,93,6.8,LOW,0,0,low,SOURCE_EXPANSION,NO_DISCOVERY_SOURCE,,HARD,0.4,DONE,HIGH,Caribbean
Bolivia,0,58,0,CRITICAL,91,9.9,MEDIUM,58,0,medium,PORTFOLIO_BATCH,READY,58,EASY,0.7,MEDIUM,MODERATE,South America
Venezuela,0,36,0,CRITICAL,91,9.5,MEDIUM,36,0,medium,PORTFOLIO_BATCH,READY,36,EASY,0.7,SMALL,LOW,South America
Saint Vincent and the Grenadines,0,25,0,CRITICAL,91,9.3,MEDIUM,25,0,medium,PORTFOLIO_BATCH,READY,25,EASY,0.7,SMALL,LOW,Caribbean
Haiti,0,19,0,CRITICAL,91,9.2,MEDIUM,19,0,medium,PORTFOLIO_BATCH,READY,19,EASY,0.7,SMALL,LOW,Caribbean
Bermuda,0,,0,UNKNOWN,90,6.8,LOW,0,0,low,SOURCE_EXPANSION,NO_DISCOVERY_SOURCE,,HARD,0.4,DONE,HIGH,Caribbean
Paraguay,0,102,0,CRITICAL,88,10.7,MEDIUM,102,0,medium,PORTFOLIO_BATCH,READY,102,EASY,0.7,MEDIUM,MODERATE,South America
Montserrat,0,50,0,CRITICAL,88,9.8,MEDIUM,50,0,medium,PORTFOLIO_BATCH,READY,50,EASY,0.7,SMALL,LOW,Caribbean
Guyana,0,16,0,CRITICAL,88,9.1,MEDIUM,16,0,medium,PORTFOLIO_BATCH,READY,16,EASY,0.7,SMALL,LOW,South America
Suriname,0,15,0,CRITICAL,88,9.1,MEDIUM,15,0,medium,PORTFOLIO_BATCH,READY,15,EASY,0.7,SMALL,LOW,South America
French Guiana,0,8,0,CRITICAL,88,9,MEDIUM,8,0,medium,PORTFOLIO_BATCH,READY,8,EASY,0.7,SMALL,LOW,South America
Sint Eustatius,0,,0,UNKNOWN,84,6.8,LOW,0,0,low,SOURCE_EXPANSION,NO_DISCOVERY_SOURCE,,HARD,0.4,DONE,HIGH,Caribbean
Saba,0,,0,UNKNOWN,84,6.8,LOW,0,0,low,SOURCE_EXPANSION,NO_DISCOVERY_SOURCE,,HARD,0.4,DONE,HIGH,Caribbean
Saint Lucia,3,48,6.3,EARLY,73.5,9.7,MEDIUM,45,0,medium,PORTFOLIO_BATCH,READY,45,EASY,0.7,SMALL,LOW,Caribbean
Brazil,494,5336,9.3,EARLY,73.3,92.6,HIGH,4842,156,medium,GROWTH_BATCH,READY,4842,EASY,0.7,LARGE,MODERATE,South America
Bahamas,9,94,9.6,EARLY,73.2,10.4,MEDIUM,85,0,medium,PORTFOLIO_BATCH,READY,85,EASY,0.7,MEDIUM,MODERATE,Caribbean
Curaçao,5,52,9.6,EARLY,72.2,9.7,MEDIUM,47,0,medium,PORTFOLIO_BATCH,READY,47,EASY,0.7,SMALL,LOW,Caribbean
Argentina,129,917,14.1,EARLY,71.4,23.8,HIGH,788,0,medium,PORTFOLIO_BATCH,READY,788,EASY,0.7,LARGE,MODERATE,South America
British Virgin Islands,3,25,12,EARLY,71.2,9.3,MEDIUM,22,0,medium,PORTFOLIO_BATCH,READY,22,EASY,0.7,SMALL,LOW,Caribbean
Antigua and Barbuda,5,40,12.5,EARLY,71,9.5,MEDIUM,35,0,medium,PORTFOLIO_BATCH,READY,35,EASY,0.7,SMALL,LOW,Caribbean
Cayman Islands,7,45,15.6,EARLY,70.8,9.6,MEDIUM,38,0,medium,PORTFOLIO_BATCH,READY,38,EASY,0.7,SMALL,LOW,Caribbean
Dominica,2,23,8.7,EARLY,69.5,9.2,MEDIUM,21,0,medium,PORTFOLIO_BATCH,READY,21,EASY,0.7,SMALL,LOW,Caribbean
Saint Kitts and Nevis,3,18,16.7,EARLY,69.3,9.1,MEDIUM,15,0,medium,PORTFOLIO_BATCH,READY,15,EASY,0.7,SMALL,LOW,Caribbean
Peru,57,360,15.8,EARLY,67.7,14.6,HIGH,303,0,medium,PORTFOLIO_BATCH,READY,303,EASY,0.7,LARGE,MODERATE,South America
Grenada,4,27,14.8,EARLY,67.1,9.3,MEDIUM,23,0,medium,PORTFOLIO_BATCH,READY,23,EASY,0.7,SMALL,LOW,Caribbean
Chile,65,376,17.3,EARLY,67.1,14.8,HIGH,311,0,medium,PORTFOLIO_BATCH,READY,311,EASY,0.7,LARGE,MODERATE,South America
Belize,12,130,9.2,EARLY,65.3,11.1,MEDIUM,118,0,medium,PORTFOLIO_BATCH,READY,118,EASY,0.7,MEDIUM,MODERATE,Central America
Guatemala,13,87,14.9,EARLY,63,10.3,MEDIUM,74,0,medium,PORTFOLIO_BATCH,READY,74,EASY,0.7,MEDIUM,MODERATE,Central America
Nicaragua,7,49,14.3,EARLY,60.3,9.6,MEDIUM,42,0,medium,PORTFOLIO_BATCH,READY,42,EASY,0.7,SMALL,LOW,Central America
