censusRecordId,censusName,censusCity,censusCountry,blankWebsite,blankPropertyId
rec0DeJ2QKwzRMvec,Park Hyatt Cancun,Cancun,Mexico,true,true
rec0TJXu89bzNaiPG,Sunscape Sabor Cozumel Resort & Spa,Cozumel,Mexico,true,true
rec2WUtRqTTTnGWEI,Cas en Bas By Dream Hotel Group,Soucis,Saint Lucia,true,true
rec4dq4KqeShuQh6F,Secrets Macao Beach,Punta Cana,Dominican Republic,true,true
rec5dmWb6ApivzQ6J,Dreams Aventuras Riviera Maya,Quintana Roo,Mexico,true,true
rec6E2tHg9Ut8sjDD,Andaz Turks & Caicos Residences at Grace Bay,The Bright Settlement,Turks and Caicos Islands,true,true
rec76rpSrgJ5cEwfk,Dreams Onyx Resorts & Spa,Punta Cana,Dominican Republic,true,true
rec7SMGyfk7ZLyyuY,Dreams II Grand Island,Cancún,Mexico,true,true
recBhqn0ZnW3kIBUg,NOW Grand Island,Cancún,Mexico,true,true
recCFnIHZFp9kOS8u,Dreams St Lucia,Hellene,Saint Lucia,true,true
recCoUnd3SAG4j1jw,Hyatt Regency Mexico City Insurgentes,Mexico City,Mexico,true,true
recCrKEvKV0MCtVag,Cas En Bas St. Lucia,Gros Islet,Saint Lucia,true,true
recE99IypkDZBj8JG,Hyatt Centric Playa Del Carmen,Playa Del Carmen,Mexico,true,true
recE9b02YFFr2PUbt,Grand Hyatt Los Cabos,Cabo San Lucas,Mexico,true,true
recGP45nA4VbhCDOr,Hyatt Centric Queretaro,Santiago de Querétaro,Mexico,true,true
recGqLYz2NGReDMtq,Hyatt Place Cancun Airport,Cancun,Mexico,true,true
recI3Sz3vRaotVz63,Secrets The Tides Resort & Spa Punta Cana,Uvero Alto,Dominican Republic,true,true
recIUPC8F5gmjwthy,Sunscape Dorado Pacifico Ixtapa,Ixtapa Zihuatanejo,Mexico,true,true
recJooaa7mIXOtr7T,"Dreams Curaçao Resort, Spa & Casino",Willemstad,Curaçao,true,true
recKRFcn2CvupE4tO,Hyatt Regency Trinidad,Port of Spain,Trinidad and Tobago,true,true
recMSqfdobp1vL9Wn,Thompson Mexico City Reforma,Juárez,Mexico,true,true
recNLJztYvxNuvIon,Grand Hyatt Grand Cayman,Grand Cayman,Cayman Islands,true,true
recPKO54xTtVbqwBE,Hyatt Place San Jose Cariari,Heredia,Costa Rica,true,true
recQTOJWxPMTchNTi,Dreams Jade Resort & Spa,Puerto Morelos,Mexico,true,true
recS86Vz2Gw20RicT,Dreams III Grand Island,Cancún,Mexico,true,true
recSaFvSw6E1wrHue,Grand Hyatt St Lucia,Choiseul,Saint Lucia,true,true
recTdyBL2s176Qma3,Andaz Costa Rica Resort at Peninsula Papagayo,Playa Manzanillo,Costa Rica,true,true
recTxxnnctfaQBwKe,Dreams Playa del Carmen,Playa del Carmen,Mexico,true,true
recUNycnMwOVFX0hc,Krystal Grand Puerto Vallarta,Puerto Vallarta,Mexico,true,true
recUZAUPv7vrUWkiN,Devossion by Live Aqua Playa del Carmen,Playa Del Carmen,Mexico,true,true
recVhXRlLvjUvr1BS,Hyatt Centric Santo Domingo,Santo Domingo,Dominican Republic,true,true
recWrbmZFG8whuM03,Park Hyatt Los Cabos Hotel and Residences,Cabo san Lucas,Mexico,true,true
recYDzphYf5lUyUmC,Hyatt Place Piedras Negras,Piedras Negras,Mexico,true,true
recZ3FA9Qiobc5apQ,Thompson Monterrey,Monterrey,Mexico,true,true
