propertyId,name,city,country,countryCode,brand,propertyUrl
MAZPR,Holiday Inn Mayaguez & Tropical Casino,00680-6328,Puerto Rico,PR,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/mayaguez/mazpr/hoteldetail
SJUPN,Holiday Inn Ponce & Tropical Casino,Ponce,Puerto Rico,PR,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/ponce/sjupn/hoteldetail
SJUPR,Holiday Inn Express San Juan Condado,San Juan,Puerto Rico,PR,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/san-juan/sjupr/hoteldetail
SJUCC,Abitta Condado,San Juan,Puerto Rico,PR,spnd,https://www.ihg.com/spnd/hotels/us/en/san-juan/sjucc/hoteldetail
SJUWH,The Wave Hotel Condado,San Juan,Puerto Rico,PR,spnd,https://www.ihg.com/spnd/hotels/us/en/san-juan/sjuwh/hoteldetail
SDQIC,InterContinental Real Santo Domingo,Santo Domingo,Dominican Republic,DO,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/santo-domingo/sdqic/hoteldetail
BAVSB,Iberostar Selection​ Bávaro Suites,Punta Cana,Dominican Republic,DO,iberostar-selection,https://www.ihg.com/iberostar-selection/hotels/us/en/punta-cana/bavsb/hoteldetail
SDQLM,Kimpton Las Mercedes,Santo Domingo,Dominican Republic,DO,kimptonhotels,https://www.ihg.com/kimptonhotels/hotels/us/en/las-mercedes-santo-domingo/sdqlm/hoteldetail
SDQEX,Holiday Inn Santo Domingo,Santo Domingo,Dominican Republic,DO,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/santo-domingo/sdqex/hoteldetail
SDQHA,Crowne Plaza Santo Domingo,Santo Domingo,Dominican Republic,DO,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/santo-domingo/sdqha/hoteldetail
DOMDC,Iberostar Waves Dominicana,Punta Cana,Dominican Republic,DO,iberostar-waves,https://www.ihg.com/iberostar-waves/hotels/us/en/punta-cana/domdc/hoteldetail
DORCD,Iberostar Waves Costa Dorada,Puerto Plata,Dominican Republic,DO,iberostar-waves,https://www.ihg.com/iberostar-waves/hotels/us/en/puerto-plata/dorcd/hoteldetail
PCAPC,Iberostar Waves Punta Cana,Punta Cana,Dominican Republic,DO,iberostar-waves,https://www.ihg.com/iberostar-waves/hotels/us/en/punta-cana/pcapc/hoteldetail
BSPBS,Iberostar Selection​ Coral Bávaro,Bavaro - La Altagracia,Dominican Republic,DO,iberostar-selection,https://www.ihg.com/iberostar-selection/hotels/us/en/punta-cana/bspbs/hoteldetail
POPCN,Holiday Inn Puerto Plata-Cofresi Bay Area,Puerto Plata,Dominican Republic,DO,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/puerto-plata/popcn/hoteldetail
GHBGB,JOIA Bávaro by Iberostar,Punta Cana,Dominican Republic,DO,joia-iberostar,https://www.ihg.com/joia-iberostar/hotels/us/en/punta-cana/ghbgb/hoteldetail
HACHD,Iberostar Selection​ Hacienda Dominicus,La Romana,Dominican Republic,DO,iberostar-selection,https://www.ihg.com/iberostar-selection/hotels/us/en/bayahibe/hachd/hoteldetail
EYPEX,Holiday Inn Express Yopal,Yopal,Colombia,CO,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/yopal/eypex/hoteldetail
BGACO,Holiday Inn Bucaramanga Cacique,Bucaramanga,Colombia,CO,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/bucaramanga/bgaco/hoteldetail
BAQBC,Crowne Plaza Barranquilla,Barranquilla,Colombia,CO,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/barranquilla/baqbc/hoteldetail
BOGAP,Holiday Inn Bogota Airport,Bogota,Colombia,CO,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/bogota/bogap/hoteldetail
CUCCO,Holiday Inn Cucuta,Cucuta,Colombia,CO,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/cucuta/cucco/hoteldetail
CTGHI,Holiday Inn Cartagena Morros,Cartagena de Indias,Colombia,CO,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/cartagena-de-indias/ctghi/hoteldetail
BAQEX,Holiday Inn Express Barranquilla Buenavista,Barranquilla,Colombia,CO,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/barranquilla/baqex/hoteldetail
BOGBO,Holiday Inn Express & Suites Bogota DC,Bogota,Colombia,CO,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/bogota/bogbo/hoteldetail
BOGEX,Holiday Inn Express Bogota - Parque La 93,Bogota,Colombia,CO,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/bogota/bogex/hoteldetail
CTGHA,InterContinental Cartagena de Indias,Cartagena de Indias,Colombia,CO,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/cartagena/ctgha/hoteldetail
CLOHA,InterContinental Cali,Cali,Colombia,CO,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/cali/cloha/hoteldetail
CTGCM,Holiday Inn Express Cartagena Manga,Cartagena de Indias,Colombia,CO,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/cartagena-de-indias/ctgcm/hoteldetail
CTGEX,Holiday Inn Express Cartagena Bocagrande,Cartagena,Colombia,CO,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/cartagena/ctgex/hoteldetail
MDEEX,Holiday Inn Express & Suites Medellin,Medellin,Colombia,CO,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/medellin/mdeex/hoteldetail
MDEHA,InterContinental Medellin - Movich,C007-06,Colombia,CO,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/medellin/mdeha/hoteldetail
GHPRM,JOIA Paraíso by Iberostar,Quintana Roo,Mexico,MX,joia-iberostar,https://www.ihg.com/joia-iberostar/hotels/us/en/riviera-maya/ghprm/hoteldetail
OAXMX,Holiday Inn Express Oaxaca-Centro Historico,Oaxaca,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/oaxaca/oaxmx/hoteldetail
PUEAA,Staybridge Suites Puebla,Puebla,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/puebla/pueaa/hoteldetail
ACAGO,Holiday Inn Chilpancingo,Guerrero,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/chilpancingo/acago/hoteldetail
PMYPM,Iberostar Selection​ Paraíso Maya Suites,Quintana Roo,Mexico,MX,iberostar-selection,https://www.ihg.com/iberostar-selection/hotels/us/en/riviera-maya/pmypm/hoteldetail
BJXCA,Candlewood Suites Celaya,Guanajuato,Mexico,MX,candlewood,https://www.ihg.com/candlewood/hotels/us/en/celaya/bjxca/hoteldetail
BJXPM,Holiday Inn & Suites Leon Plaza Mayor,Guanajuato,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/leon/bjxpm/hoteldetail
BJXCE,Holiday Inn Express & Suites Celaya,Guanajuato,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/celaya/bjxce/hoteldetail
ACALI,Holiday Inn Acapulco La Isla,Guerrero,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/acapulco/acali/hoteldetail
JALEX,Holiday Inn Express Xalapa,Veracruz,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/xalapa/jalex/hoteldetail
CUUMX,Holiday Inn & Suites Chihuahua Expo,Chihuahua,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/chihuahua/cuumx/hoteldetail
TIJEN,Holiday Inn Express & Suites Ensenada Centro,Baja California Nort,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/ensenada/tijen/hoteldetail
BJXRR,Holiday Inn Express & Suites Silao Aeropuerto - Terminal,Guanajuato,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/leon/bjxrr/hoteldetail
HMOTA,Holiday Inn Express & Suites Hermosillo,Sonora,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/hermosillo/hmota/hoteldetail
PVRFL,Holiday Inn Express Puerto Vallarta,Jalisco,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/puerto-vallarta/pvrfl/hoteldetail
HUXHI,Holiday Inn Huatulco,Oaxaca,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/huatulco/huxhi/hoteldetail
MTYMI,Holiday Inn & Suites Monterrey Apodaca Zona Airport,Nuevo Leon,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/apodaca/mtymi/hoteldetail
CUUSB,Staybridge Suites Chihuahua,Chihuahua,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/chihuahua/cuusb/hoteldetail
BJXCP,Crowne Plaza Leon,Guanajuato,Mexico,MX,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/leon/bjxcp/hoteldetail
LPDEX,Holiday Inn La Piedad,Michoacán de Ocampo,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/la-piedad/lpdex/hoteldetail
MXLBC,Holiday Inn Express & Suites Mexicali,Baja California Nort,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/mexicali/mxlbc/hoteldetail
CVJJH,Holiday Inn Express & Suites Cuernavaca,Morelos,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/cuernavaca/cvjjh/hoteldetail
HMOAA,Holiday Inn & Suites Hermosillo Aeropuerto,Sonora,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/hermosillo/hmoaa/hoteldetail
SLPSB,Staybridge Suites San Luis Potosi,San Luis Potosi,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/san-luis-potosi/slpsb/hoteldetail
CENAR,Holiday Inn Express & Suites Ciudad Obregon,Sonora,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/ciudad-obregon/cenar/hoteldetail
CULPY,Holiday Inn Express Culiacan,Sinaloa,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/culiacan/culpy/hoteldetail
SJDTD,Kimpton Mas Olas Resort and Spa,Baja California Sur,Mexico,MX,kimptonhotels,https://www.ihg.com/kimptonhotels/hotels/us/en/mas-olas-resort-spa-todos-santos/sjdtd/hoteldetail
VSAVH,Staybridge Suites Villahermosa,Tabasco,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/villahermosa/vsavh/hoteldetail
BJXAR,Staybridge Suites Irapuato,Guanajuato,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/irapuato/bjxar/hoteldetail
MEXAN,Holiday Inn Express Mexico City - Toreo,Estado de Mexico,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/naucalpan/mexan/hoteldetail
QROJA,Candlewood Suites Queretaro Juriquilla,Queretaro,Mexico,MX,candlewood,https://www.ihg.com/candlewood/hotels/us/en/juriquilla/qroja/hoteldetail
CUUGT,Holiday Inn Express & Suites Chihuahua Juventud,Chihuahua,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/chihuahua/cuugt/hoteldetail
MTYSP,Staybridge Suites Monterrey - San Pedro,Nuevo Leon,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/monterrey/mtysp/hoteldetail
MIDSA,Holiday Inn Express Merida,Yucatan,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/merida/midsa/hoteldetail
CZMHA,InterContinental Presidente Cozumel Resort Spa,Quintana Roo,Mexico,MX,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/cozumel/czmha/hoteldetail
PUEAN,Holiday Inn Express & Suites Puebla Angelopolis,Puebla,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/san-andres-cholula/puean/hoteldetail
TGZRF,Holiday Inn Express Tuxtla Gutierrez La Marimba,Chiapas,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/tuxtla-gutierrez/tgzrf/hoteldetail
TLUME,Holiday Inn Express Toluca Galerias Metepec,Estado de Mexico,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/metepec/tlume/hoteldetail
ZLOEF,Holiday Inn Express Manzanillo,Colima,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/manzanillo/zloef/hoteldetail
PDSFJ,Holiday Inn Express Piedras Negras,Coahuila de Zaragoza,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/piedras-negras/pdsfj/hoteldetail
CUUCI,Holiday Inn Express Chihuahua,Chihuahua,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/chihuahua/cuuci/hoteldetail
TIJOT,Holiday Inn Express & Suites Tijuana Otay,Baja California Nort,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/tijuana/tijot/hoteldetail
VSASA,Holiday Inn Express Villahermosa Tabasco 2000,Tabasco,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/villahermosa/vsasa/hoteldetail
SLWGP,Staybridge Suites Saltillo,Coahuila de Zaragoza,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/saltillo/slwgp/hoteldetail
MQERG,Holiday Inn Express & Suites Queretaro,Queretaro,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/queretaro/mqerg/hoteldetail
PUEFB,Holiday Inn Express Puebla,Puebla,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/puebla/puefb/hoteldetail
UPNMX,Holiday Inn Uruapan,Michoacán de Ocampo,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/uruapan/upnmx/hoteldetail
PCMPD,Holiday Inn Express & Suites Playa del Carmen,Quintana Roo,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/playa-del-carmen/pcmpd/hoteldetail
BJXGD,Hotel Indigo Guanajuato,Guanajuato,Mexico,MX,hotelindigo,https://www.ihg.com/hotelindigo/hotels/us/en/guanajuato/bjxgd/hoteldetail
GDLIT,Holiday Inn Express Guadalajara Iteso,Jalisco,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/guadalajara/gdlit/hoteldetail
GDLAV,avid hotels Guadalajara Av Vallarta Pte,Jalisco,Mexico,MX,avidhotels,https://www.ihg.com/avidhotels/hotels/us/en/zapopan/gdlav/hoteldetail
MEXMK,Holiday Inn Express Pachuca,Hidalgo,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/pachuca/mexmk/hoteldetail
PUELN,Holiday Inn Puebla La Noria,Puebla,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/puebla/pueln/hoteldetail
TGZMX,Holiday Inn Tuxtla Gutierrez,Chiapas,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/tuxtla-gutierrez/tgzmx/hoteldetail
CMEMX,Holiday Inn Cd. del Carmen,Campeche,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/ciudad-del-carmen/cmemx/hoteldetail
GYMSO,Holiday Inn Express Guaymas,Sonora,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/guaymas/gymso/hoteldetail
MTYMT,InterContinental Presidente Monterrey,Nuevo Leon,Mexico,MX,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/monterrey/mtymt/hoteldetail
VERPP,Holiday Inn Express Veracruz Boca del Rio,Veracruz,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/boca-del-rio/verpp/hoteldetail
TLUCP,Crowne Plaza Toluca-Lancaster,Estado de Mexico,Mexico,MX,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/metepec/tlucp/hoteldetail
TAMAL,Holiday Inn Tampico Altamira,Tamaulipas,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/altamira/tamal/hoteldetail
MQEBC,Holiday Inn Queretaro Zona Krystal,Queretaro,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/queretaro/mqebc/hoteldetail
SJDSL,Holiday Inn Express Cabo San Lucas,Baja California Sur,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/cabo-san-lucas/sjdsl/hoteldetail
MEXZD,Holiday Inn & Suites Mexico Felipe Angeles Airport,Estado de Mexico,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/zumpango-de-ocampo/mexzd/hoteldetail
MEXPD,Holiday Inn Mexico Dali Airport,Ciudad de México,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/mexico/mexpd/hoteldetail
SLPMV,Holiday Inn Express San Luis Potosi,San Luis Potosi,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/san-luis-potosi/slpmv/hoteldetail
MEXAA,Holiday Inn Mexico City-Plaza Universidad,Ciudad de México,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/mexico/mexaa/hoteldetail
PAZRL,Holiday Inn Express Tuxpan,Veracruz,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/tuxpan/pazrl/hoteldetail
BJXGC,Holiday Inn Express Guanajuato,Guanajuato,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/guanajuato/bjxgc/hoteldetail
DGOMX,Holiday Inn Durango,Durango,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/durango/dgomx/hoteldetail
MEXBU,Holiday Inn Mexico Zona Centro,Ciudad de México,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/mexico/mexbu/hoteldetail
GDLZP,Candlewood Suites Guadalajara Galerias,Jalisco,Mexico,MX,candlewood,https://www.ihg.com/candlewood/hotels/us/en/zapopan/gdlzp/hoteldetail
VSAGA,Holiday Inn Express Paraiso Dos Bocas,Tabasco,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/paraiso/vsaga/hoteldetail
BJXPI,Staybridge Suites Silao,Guanajuato,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/silao-de-la-victoria/bjxpi/hoteldetail
TAPPF,Holiday Inn Express Tapachula,Chiapas,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/tapachula/tappf/hoteldetail
GDLPI,Staybridge Suites Guadalajara Novena,Jalisco,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/guadalajara/gdlpi/hoteldetail
VEROZ,Holiday Inn Orizaba,Veracruz,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/orizaba/veroz/hoteldetail
VSADG,Holiday Inn Villahermosa Aeropuerto,Tabasco,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/belvidere/vsadg/hoteldetail
MQEMX,Holiday Inn Queretaro-Centro Historico,Queretaro,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/queretaro/mqemx/hoteldetail
MZTRS,Holiday Inn Resort Mazatlan,Sinaloa,Mexico,MX,holidayinnresorts,https://www.ihg.com/holidayinnresorts/hotels/us/en/mazatlan/mztrs/hoteldetail
PUEVW,Holiday Inn Puebla Finsa,Puebla,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/puebla/puevw/hoteldetail
BJXEX,Holiday Inn Leon,Guanajuato,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/leon/bjxex/hoteldetail
MTYMX,Holiday Inn Monterrey Norte,Nuevo Leon,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/monterrey/mtymx/hoteldetail
ZCLAV,avid hotels Fresnillo,Zacatecas,Mexico,MX,avidhotels,https://www.ihg.com/avidhotels/hotels/us/en/fresnillo/zclav/hoteldetail
CJSAT,Holiday Inn Ciudad Juarez,Chihuahua,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/ciudad-juarez/cjsat/hoteldetail
CUNHC,InterContinental Presidente Cancun Resort,Quintana Roo,Mexico,MX,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/cancun/cunhc/hoteldetail
GDLOP,Holiday Inn Express Guadalajara Aeropuerto,Jalisco,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/guadalajara/gdlop/hoteldetail
MEXAI,Holiday Inn Express Mexico Aeropuerto,Ciudad de México,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/mexico-city/mexai/hoteldetail
VSAMX,Crowne Plaza Villahermosa,Tabasco,Mexico,MX,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/villahermosa/vsamx/hoteldetail
MEXBA,Holiday Inn Express Mexico Basilica,Ciudad de México,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/mexico-city/mexba/hoteldetail
GDLVI,Staybridge Suites Guadalajara Expo,Jalisco,Mexico,MX,staybridge,https://www.ihg.com/staybridge/hotels/us/en/guadalajara/gdlvi/hoteldetail
NLDBC,Holiday Inn Express Nuevo Laredo,Tamaulipas,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/nuevo-laredo/nldbc/hoteldetail
MQEAP,Holiday Inn Queretaro Zona Diamante,Queretaro,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/queretaro/mqeap/hoteldetail
MLMRA,Holiday Inn Express Morelia,Michoacán de Ocampo,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/morelia/mlmra/hoteldetail
AGUGP,Holiday Inn & Suites Aguascalientes,Aguascalientes,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/aguascalientes/agugp/hoteldetail
CVJMX,Holiday Inn Cuernavaca,Morelos,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/cuernavaca/cvjmx/hoteldetail
MTYRR,Holiday Inn Express & Suites Monterrey Valle,Nuevo Leon,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/monterrey/mtyrr/hoteldetail
GDLQP,Holiday Inn Express Guadalajara Vallarta Poniente,Jalisco,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/guadalajara/gdlqp/hoteldetail
MAMTA,Holiday Inn Matamoros,Tamaulipas,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/matamoros/mamta/hoteldetail
MTYFU,Holiday Inn Express Monterrey - Fundidora,Nuevo Leon,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/monterrey/mtyfu/hoteldetail
QROAV,avid hotels Queretaro Centro Sur,Queretaro,Mexico,MX,avidhotels,https://www.ihg.com/avidhotels/hotels/us/en/queretaro/qroav/hoteldetail
MEXLM,Crowne Plaza Mexico Norte Tlalnepantla,Estado de Mexico,Mexico,MX,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/tlalnepantla/mexlm/hoteldetail
LAPGO,Hotel Indigo La Paz Puerta Cortes,Baja California Sur,Mexico,MX,hotelindigo,https://www.ihg.com/hotelindigo/hotels/us/en/la-paz/lapgo/hoteldetail
MIDPL,Crowne Plaza Merida,Yucatan,Mexico,MX,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/merida/midpl/hoteldetail
SLPMX,Holiday Inn San Luis Potosi-Quijote,San Luis Potosi,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/san-luis-potosi/slpmx/hoteldetail
BJXAP,Holiday Inn Leon - Poliforum,Guanajuato,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/leon/bjxap/hoteldetail
VCRMX,Holiday Inn Veracruz Boca del Rio,Veracruz,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/boca-del-rio/vcrmx/hoteldetail
MIDNT,Holiday Inn & Suites Merida La Isla,Yucatan,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/merida/midnt/hoteldetail
CPEMX,Holiday Inn Campeche,Campeche,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/campeche/cpemx/hoteldetail
TRCRZ,Crowne Plaza Torreon,Coahuila de Zaragoza,Mexico,MX,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/torreon/trcrz/hoteldetail
MEXTC,Holiday Inn Ciudad de Mexico-Trade Center,Ciudad de México,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/mexico/mextc/hoteldetail
PUEGH,InterContinental Presidente Puebla,Puebla,Mexico,MX,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/puebla/puegh/hoteldetail
MZTMS,Garner Hotel Mazatlan Beach,Sinaloa,Mexico,MX,garner-hotels,https://www.ihg.com/garner-hotels/hotels/us/en/mazatlan/mztms/hoteldetail
LOVMX,Holiday Inn Monclova,Coahuila de Zaragoza,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/monclova/lovmx/hoteldetail
GDLOR,Holiday Inn Express Guadalajara Expo,Jalisco,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/guadalajara/gdlor/hoteldetail
REXVF,Holiday Inn Reynosa-Industrial Poniente,Tamaulipas,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/reynosa/rexvf/hoteldetail
MTYSJ,Holiday Inn Express Monterrey Galerias-Sn Jeronimo,Nuevo Leon,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/monterrey/mtysj/hoteldetail
MZTAM,Holiday Inn Express & Suites Mazatlan,Sinaloa,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/mazatlan/mztam/hoteldetail
MEXHA,InterContinental Presidente Mexico City,Ciudad de México,Mexico,MX,intercontinental,https://www.ihg.com/intercontinental/hotels/us/en/mexico/mexha/hoteldetail
MEXMS,Holiday Inn & Suites Mexico Medica Sur,Ciudad de México,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/mexico/mexms/hoteldetail
PVRIF,Holiday Inn & Suites Puerto Vallarta Marina & Golf,Jalisco,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/puerto-vallarta/pvrif/hoteldetail
