censusRecordId,name,country,Affiliation,status,reasonBucket,suggestedNextAction,nearMissPropertyId,nearMissDirectoryName,nearMissNameSim,nearMissBoostedSim,nearMissScore,nearMissConfidence,nearMissBrandOk,nearMissSharedTokens,nearMissClaimedByRecordId,nearMissClaimedByName,nearMissPropertyUrl
rec5HGKMcPwqrMgeO,Six Senses Grand Bahama,Bahamas,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,,,,,,,,,,,
reckuB2SjWrMvNsxO,Six Senses Belize,Belize,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,,,,,,,,,,,
recUXz08ur05hs91J,Six Senses Papagayo,Costa Rica,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,,,,,,,,,,,
reciCjJWUMaYavstr,Six Senses Galapagos,Ecuador,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,GPSPB,Hotel Indigo Galapagos,0.2,0.52,14,none,true,galapagos,recuGUTiLtk2WoD7J,Hotel Indigo Galapagos,https://www.ihg.com/hotelindigo/hotels/us/en/puerto-baquerizo-moreno/gpspb/hoteldetail
recGOZJvRAQT5PzMY,Six Senses La Sagesse,Grenada,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,SKBLG,InterContinental Grenada - La Sagesse,0.333,0.62,24,none,true,sagesse|la_sagesse,recCPN7YoWlEK7NcH,InterContinental Grenada,https://www.ihg.com/intercontinental/hotels/us/en/la-sagesse/skblg/hoteldetail
recrdMS99JSZ4SiBr,Six Senses La Sagesse,Grenada,Six Senses,Open,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,SKBLG,InterContinental Grenada - La Sagesse,0.333,0.62,24,none,true,sagesse|la_sagesse,recCPN7YoWlEK7NcH,InterContinental Grenada,https://www.ihg.com/intercontinental/hotels/us/en/la-sagesse/skblg/hoteldetail
rec4FPATauOhE66xL,Six Senses Santa Rosa,Mexico,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,MIDSR,Hacienda Santa Rosa de Lima,0.286,0.62,21,none,true,santa|rosa|santa_rosa,,,https://www.ihg.com/spnd/hotels/us/en/santa-rosa/midsr/hoteldetail
recJx3c6mWqSrtic1,Six Senses Temozon,Mexico,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,,,,,,,,,,,
recZAjAZKF3uqTDRM,Six Senses Xala,Mexico,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,,,,,,,,,,,
recoY0vUuRtrGires,Six Senses Freedom Bay,Saint Lucia,Six Senses,Pipeline,alliance_not_on_ihg_directory,Leave stewarded — alliance/Six Senses not listed on ihg.com directories; do not scrape third parties for codes.,,,,,,,,,,,
recL3YWf9gpYYeqYy,Hotel Indigo Grand Cayman,Cayman Islands,Hotel Indigo,Pipeline,census_duplicate_pid_claimed,Property ID GCMSM already on recJeG7kPhrmwjZRu (Hotel Indigo Grand Cayman). Deduplicate or merge census rows; do not reassign PID.,GCMSM,Hotel Indigo Grand Cayman,1,1,90,high,true,grand|cayman|indigo_grand|grand_cayman,recJeG7kPhrmwjZRu,Hotel Indigo Grand Cayman,https://www.ihg.com/hotelindigo/hotels/us/en/grand-cayman/gcmsm/hoteldetail
rec7KL1sn2W057OiB,Holiday Inn Santo Domingo DO,Dominican Republic,Holiday Inn,Pipeline,census_duplicate_pid_claimed,Property ID SDQEX already on rec3AmDU0Vyt6BVJ7 (Holiday Inn Santo Domingo). Deduplicate or merge census rows; do not reassign PID.,SDQEX,Holiday Inn Santo Domingo,1,1,90,high,true,santo|domingo|inn_santo|santo_domingo,rec3AmDU0Vyt6BVJ7,Holiday Inn Santo Domingo,https://www.ihg.com/holidayinn/hotels/us/en/santo-domingo/sdqex/hoteldetail
rec0h2JAAfd7qZilI,Avid Fresnillo,Mexico,Avid,Open,census_duplicate_pid_claimed,Property ID ZCLAV already on recL1bfdi9WyHBIuy (Avid). Deduplicate or merge census rows; do not reassign PID.,ZCLAV,avid hotels Fresnillo,1,1,90,high,true,fresnillo|avid_fresnillo,recL1bfdi9WyHBIuy,Avid,https://www.ihg.com/avidhotels/hotels/us/en/fresnillo/zclav/hoteldetail
recCDdZRFF0WfBFn8,Holiday Inn & Suites Guadalajara JAL,Mexico,Holiday Inn,Pipeline,census_duplicate_pid_claimed,Property ID GDLCT already on recuAjXI0kkcPgEtI (Holiday Inn & Suites Guadalajara Centro Historico). Deduplicate or merge census rows; do not reassign PID.,GDLCT,Holiday Inn & Suites Guadalajara Centro Historico,0.75,0.75,80,high,true,,recuAjXI0kkcPgEtI,Holiday Inn & Suites Guadalajara Centro Historico,https://www.ihg.com/holidayinn/hotels/us/en/guadalajara/gdlct/hoteldetail
recumeYRHsCFxlXI5,Holiday Inn Morelia Esfera,Mexico,Holiday Inn,Pipeline,census_duplicate_pid_claimed,Property ID MLMFO already on recrsPSemqOUDr5fR (Holiday Inn Morelia). Deduplicate or merge census rows; do not reassign PID.,MLMFO,Holiday Inn Morelia,0.75,0.75,80,high,true,morelia|inn_morelia,recrsPSemqOUDr5fR,Holiday Inn Morelia,https://www.ihg.com/holidayinn/hotels/us/en/morelia/mlmfo/hoteldetail
