censusRecordId,censusName,censusCountry,reason
rec01m3hRVIOamDDu,Holiday Inn Express & Suites Nuevo Vallarta,Mexico,no_directory_match
rec09hIMClfPpoSb1,Holiday Inn Express & Suites Puerto Penasco,Mexico,no_directory_match
rec0h2JAAfd7qZilI,Avid Fresnillo,Mexico,no_directory_match
rec0hAss1MVvoaOBE,Staybridge Suites Guadalajara Sur,Mexico,no_directory_match
rec1NSrPH7lLHa99W,Voco Queretaro QRO,Mexico,no_directory_match
rec1qGDrIVxqAZ5CM,Staybridge Suites Leon City Center,Mexico,no_directory_match
rec1s4PwI9HHtIyFT,Holiday Inn Express Cali Airport,Colombia,no_directory_match
rec2ec9kmJpQfns9j,Staybridge Suites Monterrey Sendero,Mexico,no_directory_match
rec2wBLvM5jklw2Fd,Kimpton Kawana Bay,Grenada,no_directory_match
rec3DSwHG0hAb19Rj,Holiday Inn Cancun Campestre Epic Center,Mexico,no_directory_match
rec3ELzPG0k38kf5N,Holiday Inn Irapuato,Mexico,no_directory_match
rec3iVNqadtMhos2N,Holiday Inn Express & Suites Cancun Centro,Mexico,no_directory_match
rec4FPATauOhE66xL,Six Senses Santa Rosa,Mexico,no_directory_match
rec5HGKMcPwqrMgeO,Six Senses Grand Bahama,Bahamas,no_directory_match
rec7KL1sn2W057OiB,Holiday Inn Santo Domingo DO,Dominican Republic,no_directory_match
rec9jrrYJYiWe0BCH,Kimpton Hotel Monterrey Rise Tower,Mexico,no_directory_match
recCDdZRFF0WfBFn8,Holiday Inn & Suites Guadalajara JAL,Mexico,no_directory_match
recCuaYVLjk0zrmgv,Crowne Plaza Ciudad de Mexico CDM,Mexico,no_directory_match
recCz76fzl1oqVWNl,Hotel Indigo Mexico City Downtown,Mexico,no_directory_match
recFCHjqzohUfRLEI,Holiday Inn Express Santo Domingo,Dominican Republic,no_directory_match
recGAMXJonD3YlRCf,Holiday Inn Express Ciudad Valles,Mexico,no_directory_match
recGOZJvRAQT5PzMY,Six Senses La Sagesse,Grenada,no_directory_match
recGWv5d1qmte2hKi,Vignette Collection Ciudad de Mexico Reforma,Mexico,no_directory_match
recJIcSot3BHQ1TX8,Holiday Inn Hermosillo,Mexico,no_directory_match
recJx3c6mWqSrtic1,Six Senses Temozon,Mexico,no_directory_match
recKFLhHX6JLGRXdD,Holiday Inn Express Belem Nazare,Brazil,no_directory_match
