osmCandidateRecordId,osmName,osmCity,osmCountry,osmLatitude,osmLongitude,osmWebsite,matchedLegacyRecordId,matchedLegacyName,matchedLegacyCity,matchedLegacyCountry,distanceMeters,matchConfidence,matchScore,matchReason,promotionEligibility,promotionRecommendation,verifiedDedupeKey,notes
rec000D1opL6AoOlN,Casa María,Desamparados,Costa Rica,10.0053923,-84.1876472,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,casa maria|desamparados|costa rica,Match confidence none below promotion threshold (high).
rec003FTTI9TvWKNW,Pousada Sl,Evolução,Brazil,-28.3229069,-49.1773531,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,pousada sl|evolucao|brazil,Match confidence none below promotion threshold (high).
rec004z9t21ecGEn2,NH Hoteles,,Mexico,19.3596466,-99.278211,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,nh hoteles|19.3596|-99.2782,Match confidence none below promotion threshold (high).
rec00CCgSXBH9EMVX,Taganga beach hotel,,Colombia,11.2652312,-74.1908045,,,,,,829939,none,38,No credible backwards match to legacy census,not_eligible,hold_low_confidence,taganga beach hotel|11.2652|-74.1908,Match confidence none below promotion threshold (high).
rec00EKiZzxPzNxLh,Playa Miguel Beach House Rentals,,Honduras,16.3594913,-86.4315324,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,playa miguel beach house rentals|16.3595|-86.4315,Match confidence none below promotion threshold (high).
rec00IY3FWc8ikPsi,Apart Hotel Garay,Rafaela,Argentina,-31.2570229,-61.5046717,https://apparthotelgaray.com.ar/,,,,,611279,none,38,No credible backwards match to legacy census,not_eligible,hold_low_confidence,apart hotel garay|rafaela|argentina,Match confidence none below promotion threshold (high).
rec00TQpMYglzYw6f,Casa de Húespedes Emma,,Mexico,20.476971,-97.0071393,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,casa de huespedes emma|20.477|-97.0071,Match confidence none below promotion threshold (high).
rec00a8F7UlIxhMrc,Flor de Penedo,,Brazil,-22.4510506,-44.5252932,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,flor de penedo|-22.4511|-44.5253,Match confidence none below promotion threshold (high).
rec00bam4DfRoZvRb,San Isidro,,Mexico,20.7405401,-99.9398857,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,san isidro|20.7405|-99.9399,Match confidence none below promotion threshold (high).
rec00buCQ3B89rJlO,Finca El Jordan,,Colombia,5.183215,-75.5157139,,,,,,78435,none,32,No credible backwards match to legacy census,not_eligible,hold_low_confidence,finca el jordan|5.1832|-75.5157,Match confidence none below promotion threshold (high).
rec00x2gnjjnsCKMj,Lucape Palace Hotel,,Brazil,-21.2254826,-43.7731649,,,,,,259790,none,51,No credible backwards match to legacy census,not_eligible,hold_low_confidence,lucape palace hotel|-21.2255|-43.7732,Match confidence none below promotion threshold (high).
rec010gisiSt0Xfhc,Hospedaje Gicel,Aristóbulo del Valle,Argentina,-27.0954583,-54.8941057,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,hospedaje gicel|aristobulo del valle|argentina,Match confidence none below promotion threshold (high).
rec011JIXgqERjTz0,The Backpacker Hostal,,Ecuador,0.3501349,-78.1151626,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,the backpacker hostal|0.3501|-78.1152,Match confidence none below promotion threshold (high).
rec016JgYG9LfmE9u,Hotel Oviedo,Acapulco,Mexico,16.8491264,-99.9074675,,recSgph8EuTYl6lPz,Hotel Oviedo,Acapulco,Mexico,17,high,100,"Strong name similarity (100%), same country, 17m apart",eligible_for_promotion,promote_after_review,hotel oviedo|acapulco|mexico,High-confidence legacy census match; score meets promote threshold.
rec01D9YsuGTze3pf,Casa de Huéspedes Hotel Restaurante San José,,Mexico,16.6593685,-96.0955819,,,,,,1508835,none,51,No credible backwards match to legacy census,not_eligible,hold_low_confidence,casa de huespedes hotel restaurante san jose|16.6594|-96.0956,Match confidence none below promotion threshold (high).
rec01JuwL8NixgHPl,Hotel Playa Hermosa,Playa Hermosa,Costa Rica,10.5717177,-85.6805999,,,,,,179655,none,38,No credible backwards match to legacy census,not_eligible,hold_low_confidence,hotel playa hermosa|playa hermosa|costa rica,Match confidence none below promotion threshold (high).
rec01KHpXjgg4zS8q,Quisarrazal Rd,,Costa Rica,10.129624,-84.2690526,,,,,,,none,0,No legacy census row with sufficient similarity,not_eligible,hold_low_confidence,quisarrazal rd|10.1296|-84.2691,Match confidence none below promotion threshold (high).
