propertyId,propertyUrl,rawHotelName,rawCity,rawCountry,rawBrand,matchRecommendedAction,possibleMatchConfidence,candidateDedupeKey,wouldWrite,skipReason
aa024,https://www.choicehotels.com/argentina/rosario/radisson-red-hotels/aa024,Radisson RED  (Choice) rosario,rosario,Argentina,Radisson RED  (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|aa024,yes,
aa022,https://www.choicehotels.com/argentina/san-carlos-de-bariloche/radisson-blu-hotels/aa022,Radisson Blu (Choice) san carlos de bariloche,san carlos de bariloche,Argentina,Radisson Blu (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|aa022,yes,
cl009,https://www.choicehotels.com/chile/concon/radisson-blu-hotels/cl009,Radisson Blu (Choice) concon,concon,Chile,Radisson Blu (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cl009,yes,
do012,https://www.choicehotels.com/dominican-republic/juan-dolio-beach/ascend-hotels/do012,Ascend Hotel Collection juan dolio beach,juan dolio beach,Dominican Republic,Ascend Hotel Collection,needs_manual_review,low,brand_directory|choice|do012,yes,
cl022,https://www.choicehotels.com/chile/calama-antofagasta/ascend-hotels/cl022,Ascend Hotel Collection calama antofagasta,calama antofagasta,Chile,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|cl022,yes,
cl010,https://www.choicehotels.com/chile/curico/radisson-hotels/cl010,Radisson (Choice) curico,curico,Chile,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cl010,yes,
do013,https://www.choicehotels.com/dominican-republic/playa-dorada/ascend-hotels/do013,Ascend Hotel Collection playa dorada,playa dorada,Dominican Republic,Ascend Hotel Collection,needs_manual_review,low,brand_directory|choice|do013,yes,
cl023,https://www.choicehotels.com/chile/antofagasta/park-inn-hotels/cl023,Park Inn by Radisson (Choice) antofagasta,antofagasta,Chile,Park Inn by Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cl023,yes,
do030,https://www.choicehotels.com/dominican-republic/sosua/ascend-hotels/do030,Ascend Hotel Collection sosua,sosua,Dominican Republic,Ascend Hotel Collection,needs_manual_review,low,brand_directory|choice|do030,yes,
do002,https://www.choicehotels.com/dominican-republic/santo-domingo/quality-inn-hotels/do002,Quality Inn santo domingo,santo domingo,Dominican Republic,Quality Inn,needs_manual_review,low,brand_directory|choice|do002,yes,
do032,https://www.choicehotels.com/dominican-republic/santiago/ascend-hotels/do032,Ascend Hotel Collection santiago,santiago,Dominican Republic,Ascend Hotel Collection,needs_manual_review,low,brand_directory|choice|do032,yes,
ec001,https://www.choicehotels.com/ecuador/quito/ascend-hotels/ec001,Ascend Hotel Collection quito,quito,Ecuador,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|ec001,yes,
do003,https://www.choicehotels.com/dominican-republic/santo-domingo/radisson-hotels/do003,Radisson (Choice) santo domingo,santo domingo,Dominican Republic,Radisson (Choice),needs_manual_review,low,brand_directory|choice|do003,yes,
ec005,https://www.choicehotels.com/ecuador/quito-pichincha/park-inn-hotels/ec005,Park Inn by Radisson (Choice) quito pichincha,quito pichincha,Ecuador,Park Inn by Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|ec005,yes,
ec003,https://www.choicehotels.com/ecuador/guayaquil/radisson-hotels/ec003,Radisson (Choice) guayaquil,guayaquil,Ecuador,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|ec003,yes,
ec002,https://www.choicehotels.com/ecuador/guayaquil/ascend-hotels/ec002,Ascend Hotel Collection guayaquil,guayaquil,Ecuador,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|ec002,yes,
pn008,https://www.choicehotels.com/panama/panama/radisson-individuals-hotels/pn008,Radisson Individual (Choice) panama,panama,Panama,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|pn008,yes,
pn018,https://www.choicehotels.com/panama/panama/radisson-hotels/pn018,Radisson (Choice) panama,panama,Panama,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|pn018,yes,
pn012,https://www.choicehotels.com/panama/panama/radisson-individuals-hotels/pn012,Radisson Individual (Choice) panama,panama,Panama,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|pn012,yes,
pn011,https://www.choicehotels.com/panama/amador/radisson-hotels/pn011,Radisson (Choice) amador,amador,Panama,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|pn011,yes,
pe004,https://www.choicehotels.com/peru/miraflores/radisson-hotels/pe004,Radisson (Choice) miraflores,miraflores,Peru,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|pe004,yes,
tt006,https://www.choicehotels.com/trinidad-and-tobago/roxborough/ascend-hotels/tt006,Ascend Hotel Collection roxborough,roxborough,Trinidad and Tobago,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|tt006,yes,
tt007,https://www.choicehotels.com/trinidad-and-tobago/port-of-spain/radisson-hotels/tt007,Radisson (Choice) port of spain,port of spain,Trinidad and Tobago,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|tt007,yes,
tt004,https://www.choicehotels.com/trinidad-and-tobago/argyle/ascend-hotels/tt004,Ascend Hotel Collection argyle,argyle,Trinidad and Tobago,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|tt004,yes,
tt005,https://www.choicehotels.com/trinidad-and-tobago/scarborough/comfort-inn-hotels/tt005,Comfort Inn & Suites scarborough,scarborough,Trinidad and Tobago,Comfort Inn & Suites,create_new_candidate_after_policy_review,none,brand_directory|choice|tt005,yes,
tt008,https://www.choicehotels.com/trinidad-and-tobago/speyside/ascend-hotels/tt008,Ascend Hotel Collection speyside,speyside,Trinidad and Tobago,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|tt008,yes,
uy004,https://www.choicehotels.com/uruguay/montevideo/radisson-hotels/uy004,Radisson (Choice) montevideo,montevideo,Uruguay,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|uy004,yes,
uy003,https://www.choicehotels.com/uruguay/colonia-del-sacramento/radisson-hotels/uy003,Radisson (Choice) colonia del sacramento,colonia del sacramento,Uruguay,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|uy003,yes,
aw007,https://www.choicehotels.com/aruba/palm-beach/radisson-blu-hotels/aw007,Radisson Blu (Choice) palm beach,palm beach,Aruba,Radisson Blu (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|aw007,yes,
bb002,https://www.choicehotels.com/barbados/st-michael/radisson-hotels/bb002,Radisson (Choice) st michael,st michael,Barbados,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|bb002,yes,
bo001,https://www.choicehotels.com/bolivia/santa-cruz-de-la-sierra/radisson-hotels/bo001,Radisson (Choice) santa cruz de la sierra,santa cruz de la sierra,Bolivia,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|bo001,yes,
cl011,https://www.choicehotels.com/chile/vallenar/park-inn-hotels/cl011,Park Inn by Radisson (Choice) vallenar,vallenar,Chile,Park Inn by Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cl011,yes,
cl014,https://www.choicehotels.com/chile/puerto-varas/park-inn-hotels/cl014,Park Inn by Radisson (Choice) puerto varas,puerto varas,Chile,Park Inn by Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cl014,yes,
cl013,https://www.choicehotels.com/chile/puerto-varas/radisson-hotels/cl013,Radisson (Choice) puerto varas,puerto varas,Chile,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cl013,yes,
cl024,https://www.choicehotels.com/chile/valparaiso/ascend-hotels/cl024,Ascend Hotel Collection valparaiso,valparaiso,Chile,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|cl024,yes,
cl012,https://www.choicehotels.com/chile/santiago/radisson-blu-hotels/cl012,Radisson Blu (Choice) santiago,santiago,Chile,Radisson Blu (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cl012,yes,
cb030,https://www.choicehotels.com/colombia/medellin/radisson-individuals-hotels/cb030,Radisson Individual (Choice) medellin,medellin,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb030,yes,
cb031,https://www.choicehotels.com/colombia/medellin/radisson-individuals-hotels/cb031,Radisson Individual (Choice) medellin,medellin,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb031,yes,
cb009,https://www.choicehotels.com/colombia/barranquilla/radisson-hotels/cb009,Radisson (Choice) barranquilla,barranquilla,Colombia,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb009,yes,
cb018,https://www.choicehotels.com/colombia/cartagena/radisson-individuals-hotels/cb018,Radisson Individual (Choice) cartagena,cartagena,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb018,yes,
cb019,https://www.choicehotels.com/colombia/barranquilla/radisson-individuals-hotels/cb019,Radisson Individual (Choice) barranquilla,barranquilla,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb019,yes,
cb016,https://www.choicehotels.com/colombia/barranquilla/radisson-individuals-hotels/cb016,Radisson Individual (Choice) barranquilla,barranquilla,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb016,yes,
cb017,https://www.choicehotels.com/colombia/cartagena/radisson-individuals-hotels/cb017,Radisson Individual (Choice) cartagena,cartagena,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb017,yes,
cb014,https://www.choicehotels.com/colombia/cartagena/radisson-individuals-hotels/cb014,Radisson Individual (Choice) cartagena,cartagena,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb014,yes,
cb003,https://www.choicehotels.com/colombia/cali/ascend-hotels/cb003,Ascend Hotel Collection cali,cali,Colombia,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|cb003,yes,
cb013,https://www.choicehotels.com/colombia/cartagena/radisson-hotels/cb013,Radisson (Choice) cartagena,cartagena,Colombia,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb013,yes,
cb011,https://www.choicehotels.com/colombia/cartagena/radisson-individuals-hotels/cb011,Radisson Individual (Choice) cartagena,cartagena,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb011,yes,
cb033,https://www.choicehotels.com/colombia/cartagena/radisson-individuals-hotels/cb033,Radisson Individual (Choice) cartagena,cartagena,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb033,yes,
cr025,https://www.choicehotels.com/costa-rica/san-jose/radisson-hotels/cr025,Radisson (Choice) san jose,san jose,Costa Rica,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cr025,yes,
cr013,https://www.choicehotels.com/costa-rica/san-jose/sleep-inn-hotels/cr013,Sleep Inn san jose,san jose,Costa Rica,Sleep Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|cr013,yes,
cr010,https://www.choicehotels.com/costa-rica/san-jose/quality-inn-hotels/cr010,Quality Inn san jose,san jose,Costa Rica,Quality Inn,create_new_candidate_after_policy_review,none,brand_directory|choice|cr010,yes,
cr022,https://www.choicehotels.com/costa-rica/san-jose-heredia/country-hotels/cr022,Country Inn & Suites by Radisson (Choice) san jose heredia,san jose heredia,Costa Rica,Country Inn & Suites by Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cr022,yes,
cb008,https://www.choicehotels.com/colombia/bogota/radisson-hotels/cb008,Radisson (Choice) bogota,bogota,Colombia,Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb008,yes,
cb015,https://www.choicehotels.com/colombia/cali/radisson-individuals-hotels/cb015,Radisson Individual (Choice) cali,cali,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb015,yes,
cb004,https://www.choicehotels.com/colombia/bogota/ascend-hotels/cb004,Ascend Hotel Collection bogota,bogota,Colombia,Ascend Hotel Collection,create_new_candidate_after_policy_review,none,brand_directory|choice|cb004,yes,
cb012,https://www.choicehotels.com/colombia/bogota/radisson-individuals-hotels/cb012,Radisson Individual (Choice) bogota,bogota,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb012,yes,
cb010,https://www.choicehotels.com/colombia/cucuta/radisson-individuals-hotels/cb010,Radisson Individual (Choice) cucuta,cucuta,Colombia,Radisson Individual (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cb010,yes,
cr023,https://www.choicehotels.com/costa-rica/san-jose/park-inn-hotels/cr023,Park Inn by Radisson (Choice) san jose,san jose,Costa Rica,Park Inn by Radisson (Choice),create_new_candidate_after_policy_review,none,brand_directory|choice|cr023,yes,
