brand,parentCompany,sourceUrl,domain,sourceUrlType,robotsStatus,discoveredLocatorUrl,discoveredSitemapUrl,directPropertyUrlCount,directPropertyUrls,recommendedDiscoveryMethod,sourceRiskLevel,notes
Radisson Inn & Suites,Choice Hotels International,https://choicehotels.com/radisson-inn-suites,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Cambria Hotels,Choice Hotels International,https://choicehotels.com/cambria,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Park Inn by Radisson (Choice),Choice Hotels International,https://choicehotels.com/park-inn,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Comfort Inn & Suites,Choice Hotels International,https://choicehotels.com/comfort-hotels,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Radisson Collection  (Choice),Choice Hotels International,https://choicehotels.com,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,manual_review,medium,Fetch failed: 403 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Radisson Individual (Choice),Choice Hotels International,https://choicehotels.com/radisson-individuals,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Radisson Blu (Choice),Choice Hotels International,https://choicehotels.com/radisson-blu,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Sleep Inn,Choice Hotels International,https://choicehotels.com/sleep-inn,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Country Inn & Suites by Radisson (Choice),Choice Hotels International,https://choicehotels.com/country-inn-suites,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
Econo Lodge,Choice Hotels International,https://choicehotels.com/econo-lodge,choicehotels.com,brand_homepage,robots_loaded,,https://www.choicehotels.com/sitemapindex.xml,0,,sitemap_review,medium,Fetched 200 (text/html; charset=utf-8) 14 disallow rules No locator links on brand page Sitemap candidate: https://www.choicehotels.com/sitemapindex.xml Sitemap not probed or no hotel URLs in sample No booking/rate endpoints fetched. Single-page inspection only.
