sourceRecordId,rawHotelName,rawCity,rawCountry,rawBrand,rawWebsite,qualityScore,qualityTier,missingFields,route,reason,matchedBrand,matchedFamily,independentLaneEligible,censusMatchConfidence,censusRecommendedAction,matchedCensusName,signalKinds
node/9829772,Bohio Cabarete,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
node/270997923,Breezes,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Breezes (SuperClubs),Breezes (SuperClubs),false,none,likely_new_candidate,,known_chain_name
node/287032841,Dreams Palm Beach Resort,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Dreams (Hyatt Inclusive Collection),Dreams (Hyatt Inclusive Collection),false,none,likely_new_candidate,,known_chain_name
node/302771731,Natura Park Beach Eco Resort & Spa,Punta Cana,Dominican Republic,Blau Hotels,https://www.blaunaturapark.com/en/,100,high,missingPhone,route_known_chain_not_active,osm_brand_tag_known_chain,Blau Hotels,,false,none,likely_new_candidate,,osm_brand_tag_unresolved
node/302771860,Catalonia Punta Cana,,Dominican Republic,Catalonia,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Catalonia,Catalonia,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
node/302771929,Be Live Grand Bavaro,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,known_chain_name
node/302800763,Wyndham Alltra Punta Cana,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Wyndham,Wyndham,false,medium,likely_existing,Wyndham Alltra Punta Cana All Inclusive Resort,known_chain_name
node/314357718,Paraiso Caño Hondo,,Dominican Republic,,https://www.paraisocanohondo.com/home.aspx,80,high,missingCity,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
node/314446408,Hamaca,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
node/340092385,Natura Cabañas,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,medium,likely_existing,Natura Cabanas Boutique Hotel & Spa,
