sourceRecordId,rawHotelName,qualityTier,qualityScore,matchConfidence,matchRecommendedAction,wouldWrite
node/9829772,Bohio Cabarete,medium,55,none,likely_new_candidate,yes
node/270997923,Breezes,medium,55,none,likely_new_candidate,yes
node/287032841,Dreams Palm Beach Resort,medium,55,none,likely_new_candidate,yes
node/302771731,Natura Park Beach Eco Resort & Spa,high,100,none,likely_new_candidate,yes
node/302771860,Catalonia Punta Cana,medium,65,none,likely_new_candidate,yes
node/302771929,Be Live Grand Bavaro,medium,55,none,likely_new_candidate,yes
node/302800763,Wyndham Alltra Punta Cana,medium,55,medium,likely_existing,yes
node/314357718,Paraiso Caño Hondo,high,80,none,likely_new_candidate,yes
node/314446408,Hamaca,medium,55,none,likely_new_candidate,yes
node/340092385,Natura Cabañas,medium,55,medium,likely_existing,yes
node/349121944,Camp David Ranch,high,100,medium,likely_existing,yes
node/349126361,Cabaña Touristicá,medium,55,none,likely_new_candidate,yes
node/349129742,Hotel RIU Mambo,high,100,none,likely_new_candidate,yes
node/349134300,Hotel Llave Del Mar,medium,55,none,likely_new_candidate,yes
node/349174881,Hotel Ambar,medium,55,none,likely_new_candidate,yes
node/353014054,Hotel Monterrey,high,75,none,likely_new_candidate,yes
node/354626498,Hotel Sun Village,medium,55,none,likely_new_candidate,yes
node/354627440,Hotel RIU Merengue,high,100,none,likely_new_candidate,yes
node/354627549,Hotel RIU Bachata,high,100,none,likely_new_candidate,yes
node/370189077,Hostal del Cibao,high,75,none,likely_new_candidate,yes
node/373851323,Hotel Europa,high,100,low,needs_research,yes
node/374309471,Hotel Luperón,high,85,none,likely_new_candidate,yes
node/431025349,Barceló Bávaro Palace Deluxe,high,70,low,needs_research,yes
node/587971075,Sosua by the sea Boutique Beach Resort,medium,55,medium,likely_existing,yes
node/593861352,Hotel Casa Cayena Club,medium,55,medium,likely_existing,yes
node/593861356,Hotel El Rancho Sosua,medium,55,low,needs_research,yes
node/593861357,Hotel Sea Breeze,medium,55,low,needs_research,yes
node/593865998,Hotel Central,medium,55,none,likely_new_candidate,yes
node/596663088,Hotel Crowne Plaza,high,85,none,likely_new_candidate,yes
node/596733948,Hotel Dorado,medium,55,none,likely_new_candidate,yes
node/596733953,Hotel Colonial Delux,medium,55,none,likely_new_candidate,yes
node/596733956,Hotel Colonial,medium,55,none,likely_new_candidate,yes
