airtableRecordId,sourceType,rawHotelName,rawCountry,rawCity,retentionRecommendation,qualityScore,classification,reasons,matchConfidence,promotionEligibility,promotionRecommendation
rec000D1opL6AoOlN,osm,Casa María,Costa Rica,Desamparados,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
rec0018EXDhre40OU,osm,Claudio Polanco,Dominican Republic,,duplicate_review,65,duplicate_review,duplicate_review retention or duplicate cluster,,,
rec003FTTI9TvWKNW,osm,Pousada Sl,Brazil,Evolução,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
rec004z9t21ecGEn2,osm,NH Hoteles,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
rec005cQ9H0zBYIw3,osm,Finest Resort,Dominican Republic,,duplicate_review,55,duplicate_review,duplicate_review retention or duplicate cluster,,,
rec00BaoGuffmQUHU,osm,Grand Hotel,Dominican Republic,,duplicate_review,65,duplicate_review,duplicate_review retention or duplicate cluster,,,
rec00CCgSXBH9EMVX,osm,Taganga beach hotel,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
rec00EKiZzxPzNxLh,osm,Playa Miguel Beach House Rentals,Honduras,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
rec00IY3FWc8ikPsi,osm,Apart Hotel Garay,Argentina,Rafaela,keep_high_priority,95,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
rec00TQpMYglzYw6f,osm,Casa de Húespedes Emma,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
rec00a8F7UlIxhMrc,osm,Flor de Penedo,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
rec00bam4DfRoZvRb,osm,San Isidro,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
rec00buCQ3B89rJlO,osm,Finca El Jordan,Colombia,,keep_for_matching,65,keep_in_airtable,quality score/tier (65),none,not_eligible,hold_low_confidence
rec00x2gnjjnsCKMj,osm,Lucape Palace Hotel,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
rec010gisiSt0Xfhc,osm,Hospedaje Gicel,Argentina,Aristóbulo del Valle,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
