legacyRecordId,legacyHotelName,legacyCity,legacyCountry,targetBrand,legacyStatus,enrichmentAction,enrichmentReason,choicePropertyUrl,hasLegacyCoordinates
rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Sao Caetano do Sul,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec0Z3KDZDLYLjyQF,Comfort Hotel Sertaozinho,Sertaozinho,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec0aasxB3kfvUGk5,Comfort Inn Queretaro Tecnologico,Queretaro,Mexico,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec1E6GwQPkcYgLzo,Sleep Inn Torreon,Torreon,Mexico,Sleep Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec1saEQEVimscdNZ,Sleep Inn Puebla Centro Historico,Puebla,Mexico,Sleep Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec1tK1hmOMPahzSm,Radisson Hotel Curico,Curico,Chile,Radisson by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/chile/curico/radisson-hotels/cl010,yes
rec2LMW5amO5Z7R7x,Radisson Recife,Recife,Brazil,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec2hRrU0bZxd1AD4,Quality Hotel & Suites Natal,Natal,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec3VuBaUE93xPcfE,Radisson Hotel Vale dos Vinhedos,Monte Belo Do Sul,Brazil,Radisson by Choice,Pipeline,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec4gTiLtqAToexR2,Comfort Inn Ciudad Juarez,Ciudad Juárez,Mexico,Comfort Inn & Suites,Pipeline,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec5FTPBwWJrS7KRF,Quality Hotel Faria Lima,Sao Paulo,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec5JWoqtJQBQIGhO,Comfort Hotel Maceio,Maceio,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec5loLpOWwfXL9ua,Sleep Inn Manaus,Manaus,Brazil,Sleep Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec6aUiqKl87vRVXG,Emotions All Inclusive Juan Dolio Ascend Hotel Collection,Juan Dolio Beach,Dominican Republic,Ascend Collection,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/dominican-republic/juan-dolio-beach/ascend-hotels/do012,yes
rec6mRuB2thYBcO4L,Comfort Hotel Goiania,Goiania,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec6sVPgm8E8UNHTA,Radisson Hotel Trinidad,Port Of Spain,Trinidad and Tobago,Radisson by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/trinidad-and-tobago/port-of-spain/radisson-hotels/tt007,yes
rec7wuYYenSfiKwIo,Park Inn Berrini,Sao Paulo,Brazil,Park Inn by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec7z5uQ9n5KRxloL,Quality Inn Piedras Negras,Piedras Negras,Mexico,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec8CrfZn86Bxs31p,Sleep Inn Queretaro,Queretaro,Mexico,Sleep Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec8VbiatJup4g2ZI,Radisson Hotel Puerto Varas,Puerto Varas,Chile,Radisson by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/chile/puerto-varas/radisson-hotels/cl013,yes
rec99PlN1Z4j0pSZj,Radisson Hotel & Convention Center Toluca,Toluca,Mexico,Radisson by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/mexico/toluca/radisson-hotels/mx185,yes
rec9JUj4ObNRgs8JC,Sleep Inn Guadalajara Galerias,Zapopan,Mexico,Sleep Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rec9nG8vcyOmZXJSR,Hotel Chihuahua San Francisco,Chihuahua,Mexico,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recABeu9m90R7W5xC,Park Inn by Radisson Mazatlan,Mazatlan,Mexico,Park Inn by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recB0sjy8eQbw7IkO,"Radisson Hotel Sao Paulo, Pinheiros",São Paulo,Brazil,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recBY6pWoJPO5SYYp,Comfort Suites Sao Jose Do Rio Preto,Sao Jose do Rio Preto,Brazil,Comfort Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recBqjM7mQgCZIpqh,Comfort Hotel Taguatinga,Taguatinga,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recC9ZIeByrNob1dw,Quality Hotel St Paul Rio Preto,São José do Rio Preto,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recCDEah4N9Ue6zcF,Clarion Hotel San Pedro Sula,San Pedro Sula,Honduras,Clarion,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/honduras/san-pedro-sula/clarion-hotels/hn003,yes
recCFOVKqiBIfxfu5,Clarion Hotel Faria Lima,Sao Paulo,Brazil,Clarion,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recCsMQgmbOIyGm7e,Comfort Inn Puebla Centro Historico,Puebla,Mexico,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recE6QDoq1xtuncTD,Radisson Vila Olimpia Sao Paulo,Sao Paulo,Brazil,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recFODBnRGXiPIhWN,Quality Suites Joao Pessoa,Joao Pessoa,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recHJi993HTEUWJFV,Ascend Hotel Collection Mas Na at the Groves,Salinas,Puerto Rico,Ascend Collection,Pipeline,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/puerto-rico/salinas/ascend-hotels/pr029,yes
recI1Szkt2BtPnsnF,Radisson Cartagena Ocean Pavillion Hotel,Cartagena,Colombia,Radisson by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/colombia/cartagena/radisson-hotels/cb013,yes
recIBD6ezsMUAfMg0,Hotel Casa La Factoria by Faranda Boutique a member of Radisson Individuals,Cartagena,Colombia,Radisson Individuals by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/colombia/cartagena/radisson-individuals-hotels/cb018,yes
recID0aQJjjVchBOp,Faranda Collection Barranquilla a member of Radisson Individuals,Barranquilla,Colombia,Radisson Individuals by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/colombia/barranquilla/radisson-hotels/cb009,yes
recImFmHWCO2hYUZM,Faranda Collection Cali A Member Of Radisson Individuals,Cali,Colombia,Radisson Individuals by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/colombia/cali/radisson-individuals-hotels/cb015,yes
recJHMJ5eeqBvGzBt,Comfort Hotel Franca,Franca,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recJW1QBKl60HKqDC,Park Plaza Porto Alegre Moinhos de Vento,Porto Alegre,Brazil,Park Plaza by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recJbdVpfPwdnTX7X,Radisson Aquatica Resort Barbados,Bridgetown,Barbados,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recJuVUstMrQOH8lv,Radisson Hotel Oscar Freire,Sao Paulo,Brazil,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recKaE1DQ7B9NbGTy,Quality Suites Oscar Freire,Sao Paulo,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recKsMXA0bk9sxztJ,Radisson Hotel Monterrey San Jeronimo,Monterrey,Mexico,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recLfJf5Y3l37uaMD,Comfort Hotel Guarulhos Airport,Guarulhos,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recM6H22waiVJHUGk,"The Mangrove, An Ascend Hotel Collection Member",St. Thomas,US Virgin Islands,Ascend Collection,Pipeline,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
