Parent Company,Brand Setup Brand,Property URL,Property ID,Inferred Country,City Slug,Matched Candidate Record ID,Matched Candidate Name,Candidate Match Confidence,Candidate Match Reason,Matched Verified Record ID,Matched Verified Name,Verified Match Confidence,Verified Match Reason,Recommended Action,Source Policy Status,Notes
Choice Hotels International,Radisson RED  (Choice),https://www.choicehotels.com/argentina/rosario/radisson-red-hotels/aa024,aa024,Argentina,rosario,rec2gKSsirHelTWQc,Hotel olijnik,low,country; city,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: low. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Radisson Blu (Choice),https://www.choicehotels.com/argentina/san-carlos-de-bariloche/radisson-blu-hotels/aa022,aa022,Argentina,san-carlos-de-bariloche,rec0K31U7ZeqNxKUu,Hotel Maria,low,country; city,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: low. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Radisson Blu (Choice),https://www.choicehotels.com/chile/concon/radisson-blu-hotels/cl009,cl009,Chile,concon,rec5U58kxxzPtcGzn,Radisson Blu Acqua Hotel & Spa Concón,medium,country; city; name=0.43; brand,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,link_to_existing_candidate_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: medium. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Ascend Hotel Collection,https://www.choicehotels.com/dominican-republic/juan-dolio-beach/ascend-hotels/do012,do012,Dominican Republic,juan-dolio-beach,reca5FO5JQ0wwcwQZ,Hilton La Romana,none,country,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,country,create_new_candidate_after_policy_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: none. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Ascend Hotel Collection,https://www.choicehotels.com/chile/calama-antofagasta/ascend-hotels/cl022,cl022,Chile,calama-antofagasta,rec0W3tGEI1QAGKTd,Jatata Express,low,country; city,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: low. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Radisson (Choice),https://www.choicehotels.com/chile/curico/radisson-hotels/cl010,cl010,Chile,curico,recFfjV4mIW6k3F3b,Casa Los Guerrero,low,country; city,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: low. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Ascend Hotel Collection,https://www.choicehotels.com/dominican-republic/playa-dorada/ascend-hotels/do013,do013,Dominican Republic,playa-dorada,reca5FO5JQ0wwcwQZ,Hilton La Romana,none,country,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,country,create_new_candidate_after_policy_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: none. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Park Inn by Radisson (Choice),https://www.choicehotels.com/chile/antofagasta/park-inn-hotels/cl023,cl023,Chile,antofagasta,rec482sAPvu7eQ3i1,Hotel Alterra,low,country; city,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: low. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Ascend Hotel Collection,https://www.choicehotels.com/dominican-republic/sosua/ascend-hotels/do030,do030,Dominican Republic,sosua,reca5FO5JQ0wwcwQZ,Hilton La Romana,none,country,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,country,create_new_candidate_after_policy_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: none. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Quality Inn,https://www.choicehotels.com/dominican-republic/santo-domingo/quality-inn-hotels/do002,do002,Dominican Republic,santo-domingo,reca5FO5JQ0wwcwQZ,Hilton La Romana,none,country,rec5d3M6KTR4t1w2h,Hotel BQ;Vent W&P Santo Domingo,low,country; city,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: none. Verified: low. Source policy sign-off required before candidate ingest.
Choice Hotels International,Ascend Hotel Collection,https://www.choicehotels.com/dominican-republic/santiago/ascend-hotels/do032,do032,Dominican Republic,santiago,reca5FO5JQ0wwcwQZ,Hilton La Romana,none,country,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,country,create_new_candidate_after_policy_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: none. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Ascend Hotel Collection,https://www.choicehotels.com/ecuador/quito/ascend-hotels/ec001,ec001,Ecuador,quito,recHacsF7bhCOBNad,Ikala Quito Hotel,low,country; city; name=0.40,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: low. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Radisson (Choice),https://www.choicehotels.com/dominican-republic/santo-domingo/radisson-hotels/do003,do003,Dominican Republic,santo-domingo,reca5FO5JQ0wwcwQZ,Hilton La Romana,none,country,recGuQCLRk65rO2rl,Radisson Hotel Santo Domingo,low,country; city; name=0.60,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: none. Verified: low. Source policy sign-off required before candidate ingest.
Choice Hotels International,Park Inn by Radisson (Choice),https://www.choicehotels.com/ecuador/quito-pichincha/park-inn-hotels/ec005,ec005,Ecuador,quito-pichincha,recDqxvEDOTdCcqtR,Park Inn by Radisson,low,country; name=0.75; brand,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: low. Verified: none. Source policy sign-off required before candidate ingest.
Choice Hotels International,Radisson (Choice),https://www.choicehotels.com/ecuador/guayaquil/radisson-hotels/ec003,ec003,Ecuador,guayaquil,rec4tENfsXd9S8aPt,Hotel Las Americas,low,country; city,rec2jlfAXFP1UgmQt,Iberostar Selection Bavaro Suites,none,Country mismatch,needs_manual_review,review_required,Phase 4P read-only match; no Airtable writes. Candidate: low. Verified: none. Source policy sign-off required before candidate ingest.
