Parent Company,Matched Brand Setup Brand,Inferred Brand Name,Brand Slug,Property URL,Property ID,Country / Region Segment,Inferred Country,City Slug,CALA Filter Status,Source Name,Source Type,Source URL,Source Record ID,Requires Manual Review,Recommended Action,Notes
Choice Hotels International,Radisson (Choice),Radisson,radisson,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-hotels/br160,br160,sao-paulo,Sao Paulo,sao-paulo,uncertain,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-br160,yes,needs_country_review,URL-only sitemap extract; no property HTML. CALA: uncertain. Matched Brand Setup: Radisson (Choice). Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Quality Inn,Quality Inn,quality-inn,https://www.choicehotels.com/victoria/bendigo/quality-inn-hotels/au374,au374,victoria,Victoria,bendigo,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-au374,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Quality Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Comfort Inn & Suites,Comfort Inn,comfort-inn,https://www.choicehotels.com/victoria/box-hill/comfort-inn-hotels/au990,au990,victoria,Victoria,box-hill,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-au990,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Comfort Inn & Suites. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,,Comfort Suites,comfort-suites,https://www.choicehotels.com/bahamas/nassau/comfort-suites-hotels/bs003,bs003,bahamas,Bahamas,nassau,included,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-bs003,yes,unmatched_brand_review,URL-only sitemap extract; no property HTML. CALA: included. No Brand Setup brand match for slug. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Radisson (Choice),Radisson,radisson,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-hotels/br168,br168,sao-paulo,Sao Paulo,sao-paulo,uncertain,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-br168,yes,needs_country_review,URL-only sitemap extract; no property HTML. CALA: uncertain. Matched Brand Setup: Radisson (Choice). Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Comfort Inn & Suites,Comfort Inn,comfort-inn,https://www.choicehotels.com/sao-paulo/sertozinho/comfort-inn-hotels/br103,br103,sao-paulo,Sao Paulo,sertozinho,uncertain,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-br103,yes,needs_country_review,URL-only sitemap extract; no property HTML. CALA: uncertain. Matched Brand Setup: Comfort Inn & Suites. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Quality Inn,Quality Inn,quality-inn,https://www.choicehotels.com/victoria/bentleigh/quality-inn-hotels/au968,au968,victoria,Victoria,bentleigh,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-au968,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Quality Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Quality Inn,Quality Inn,quality-inn,https://www.choicehotels.com/victoria/bendigo/quality-inn-hotels/au922,au922,victoria,Victoria,bendigo,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-au922,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Quality Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Quality Inn,Quality Inn,quality-inn,https://www.choicehotels.com/sao-paulo/sao-jose-do-rio-preto/quality-inn-hotels/br090,br090,sao-paulo,Sao Paulo,sao-jose-do-rio-preto,uncertain,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-br090,yes,needs_country_review,URL-only sitemap extract; no property HTML. CALA: uncertain. Matched Brand Setup: Quality Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Comfort Inn & Suites,Comfort Inn,comfort-inn,https://www.choicehotels.com/victoria/apollo-bay/comfort-inn-hotels/au360,au360,victoria,Victoria,apollo-bay,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-au360,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Comfort Inn & Suites. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Comfort Inn & Suites,Comfort Inn,comfort-inn,https://www.choicehotels.com/victoria/benalla/comfort-inn-hotels/au371,au371,victoria,Victoria,benalla,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-au371,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Comfort Inn & Suites. Candidate ingest blocked until source policy sign-off.
