legacyRecordId,legacyHotelName,legacyCity,legacyCountry,legacyLatitude,legacyLongitude,legacyWebsite,legacyTelephone,legacyAffiliation,legacyParentCompany,legacyStatus,legacyRooms,targetBrand,targetCountry,targetMatchKey,notes
rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Sao Caetano do Sul,Brazil,-23.624884,-46.581204,,551142806840,Comfort,"Choice Hotels International, Inc.",Open,298,Comfort Inn & Suites,brazil,comfort hotel sao caetano|sao caetano do sul|brazil,Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
rec0Z3KDZDLYLjyQF,Comfort Hotel Sertaozinho,Sertaozinho,Brazil,-21.136694,-47.994937,,551635212300,Comfort,"Choice Hotels International, Inc.",Open,112,Comfort Inn & Suites,brazil,comfort hotel sertaozinho|sertaozinho|brazil,Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
rec0aasxB3kfvUGk5,Comfort Inn Queretaro Tecnologico,Queretaro,Mexico,20.615905,-100.409663,,524421929400,Comfort Inn,"Choice Hotels International, Inc.",Open,41,Comfort Inn & Suites,mexico,comfort inn queretaro tecnologico|queretaro|mexico,Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
rec0mwr7EJqCW2ftV,"Hotel Bambito By Faranda Boutique, A Member Of Radisson Individuals",Cerro Punta,Panama,8.8274878,-82.6138596,,5077714265,Radisson Individuals by Choice,"Choice Hotels International, Inc.",Open,48,Radisson Individuals by Choice,panama,"hotel bambito by faranda boutique, a member of radisson individuals|cerro punta|panama",Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
rec1E6GwQPkcYgLzo,Sleep Inn Torreon,Torreon,Mexico,25.56326,-103.383219,,528712988200,Sleep Inn,"Choice Hotels International, Inc.",Open,104,Sleep Inn,mexico,sleep inn torreon|torreon|mexico,Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
rec1WblO8rnicymJF,Quality Hotel Pampulha,Belo Horizonte,Brazil,-19.856909,-43.959939,,553135059200,Quality,"Choice Hotels International, Inc.",Open,178,Quality Inn,brazil,quality hotel pampulha|belo horizonte|brazil,Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
rec1nxUTdoAJ3Am8N,El Cid La Ceiba Beach Hotel,Cozumel,Mexico,20.4803008,-86.9728048,,529878720844,Ascend Collection,"Choice Hotels International, Inc.",Open,84,Ascend Collection,mexico,el cid la ceiba beach hotel|cozumel|mexico,Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
rec1s2tkTrKPi12Dg,Hotel Faranda Express Puerta Del Sol Barranquilla A Member of Radisson Individuals,Barranquilla,Colombia,10.99233,-74.81079,,573163896065,Radisson Individuals,Radisson Hotel Group,Open,114,Radisson Individuals,colombia,hotel faranda express puerta del sol barranquilla a member of radisson individuals|barranquilla|colombia,Read-only legacy Hotel Census benchmark target (not source of truth). Affiliation/brand matches Choice filter.
rec1saEQEVimscdNZ,Sleep Inn Puebla Centro Historico,Puebla,Mexico,19.0476843,-98.1926886,,522222326666,Sleep Inn,"Choice Hotels International, Inc.",Open,54,Sleep Inn,mexico,sleep inn puebla centro historico|puebla|mexico,Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
rec1tK1hmOMPahzSm,Radisson Hotel Curico,Curico,Chile,-34.9861876,-71.2330967,,56752742850,Radisson by Choice,"Choice Hotels International, Inc.",Open,90,Radisson by Choice,chile,radisson hotel curico|curico|chile,Read-only legacy Hotel Census benchmark target (not source of truth). Parent Company matches Choice filter.
