legacyRecordId,legacyHotelName,legacyCity,legacyCountry,targetBrand,matchConfidence,matchScore,osmCandidateRecordId,osmName,osmSourceRecordId,distanceMeters,alreadyVerified,duplicateRisk,matchReason
rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Sao Caetano do Sul,Brazil,Comfort Inn & Suites,none,59,,,,576757,no,no,No credible OSM match for Choice target
rec0Z3KDZDLYLjyQF,Comfort Hotel Sertaozinho,Sertaozinho,Brazil,Comfort Inn & Suites,none,59,,,,692979,no,no,No credible OSM match for Choice target
rec0aasxB3kfvUGk5,Comfort Inn Queretaro Tecnologico,Queretaro,Mexico,Comfort Inn & Suites,none,61,,,,4067,no,no,No credible OSM match for Choice target
rec0mwr7EJqCW2ftV,"Hotel Bambito By Faranda Boutique, A Member Of Radisson Individuals",Cerro Punta,Panama,Radisson Individuals by Choice,medium,76,recZDCFvTB36h6VSh,Hotel Bambito,node/2235351203,1,no,no,"Good name (75%), same country, 1m"
rec1E6GwQPkcYgLzo,Sleep Inn Torreon,Torreon,Mexico,Sleep Inn,none,59,,,,1524408,no,no,No credible OSM match for Choice target
rec1WblO8rnicymJF,Quality Hotel Pampulha,Belo Horizonte,Brazil,Quality Inn,high,90,recq59806hxMIo9Sx,Quality Hotel Pampulha,node/4268053095,21,no,no,"Strong name (100%), same country, 21m"
rec1nxUTdoAJ3Am8N,El Cid La Ceiba Beach Hotel,Cozumel,Mexico,Ascend Collection,medium,76,recEA2GyYTpS0chbM,El Cid,node/388350577,29,no,no,"Good name (75%), same country, 29m"
rec1s2tkTrKPi12Dg,Hotel Faranda Express Puerta Del Sol Barranquilla A Member of Radisson Individuals,Barranquilla,Colombia,Radisson Individuals,medium,76,recpG7w79CKTa9x0Z,Puerta Del Sol,way/561377931,17,no,no,"Good name (75%), same country, 17m"
rec1saEQEVimscdNZ,Sleep Inn Puebla Centro Historico,Puebla,Mexico,Sleep Inn,none,59,,,,2392454,no,no,No credible OSM match for Choice target
rec1tK1hmOMPahzSm,Radisson Hotel Curico,Curico,Chile,Radisson by Choice,none,59,,,,186287,no,no,No credible OSM match for Choice target
rec2CuHxNh4pLUieN,Quality Hotel Curitiba,Curitiba,Brazil,Quality Inn,high,100,recTauqpKRCIZ4fWp,Quality Hotel Curitiba,node/2812126510,9,yes,no,"Strong name (100%), same country, 9m"
rec2LMW5amO5Z7R7x,Radisson Recife,Recife,Brazil,Radisson by Choice,none,0,,,,,no,no,No OSM candidate with sufficient similarity
rec2hRrU0bZxd1AD4,Quality Hotel & Suites Natal,Natal,Brazil,Quality Inn,none,51,,,,2073735,no,no,No credible OSM match for Choice target
rec2wIqZVeq7laR6r,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,Radisson by Choice,none,0,,,,,no,no,No OSM candidate with sufficient similarity
rec3VuBaUE93xPcfE,Radisson Hotel Vale dos Vinhedos,Monte Belo Do Sul,Brazil,Radisson by Choice,none,51,,,,1203556,no,no,No credible OSM match for Choice target
rec41pj0cY3OXH0Hv,Radisson Paraiso Hotel Mexico City,Ciudad De Mexico,Mexico,Radisson by Choice,none,51,,,,382550,no,no,No credible OSM match for Choice target
rec4gTiLtqAToexR2,Comfort Inn Ciudad Juarez,Ciudad Juárez,Mexico,Comfort Inn & Suites,none,51,,,,9129,no,no,No credible OSM match for Choice target
rec5FH1lc338JOxX1,Comfort Inn Real San Miguel,San Miguel,El Salvador,Comfort Inn & Suites,none,41,,,,1814491,no,no,Country does not match OSM candidate
rec5FTPBwWJrS7KRF,Quality Hotel Faria Lima,Sao Paulo,Brazil,Quality Inn,none,51,,,,613510,no,no,No credible OSM match for Choice target
rec5JWoqtJQBQIGhO,Comfort Hotel Maceio,Maceio,Brazil,Comfort Inn & Suites,none,59,,,,1473807,no,no,No credible OSM match for Choice target
rec5loLpOWwfXL9ua,Sleep Inn Manaus,Manaus,Brazil,Sleep Inn,none,51,,,,2863559,no,no,No credible OSM match for Choice target
