sourceRecordId,rawHotelName,rawCity,resolvedCity,rawWebsite,resolvedWebsite,qualityScore,route,reason,matchedBrand,censusRecommendedAction,wikidataQid,wikidataCity,wikidataWebsite,wikidataMatchConfidence,wikidataMatchScore,plan_tier,plan_next
node/9829772,Bohio Cabarete,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q56611904,,,none,10,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/270997923,Breezes,,,,,55,route_known_chain_not_active,known_chain_name,Breezes (SuperClubs),likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
node/287032841,Dreams Palm Beach Resort,,,,,55,route_known_chain_not_active,known_chain_name,Dreams (Hyatt Inclusive Collection),likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
node/302771731,Natura Park Beach Eco Resort & Spa,Punta Cana,Punta Cana,https://www.blaunaturapark.com/en/,https://www.blaunaturapark.com/en/,100,route_known_chain_not_active,osm_brand_tag_known_chain,Blau Hotels,likely_new_candidate,Q6038750,Punta Cana,,medium,55,excluded_not_independent,route_to_branded_or_steward
node/302771860,Catalonia Punta Cana,,,,,65,route_known_chain_not_active,known_chain_name,Catalonia,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
node/302771929,Be Live Grand Bavaro,,,,,55,route_known_chain_not_active,known_chain_name,Be Live,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
node/302800763,Wyndham Alltra Punta Cana,,,,,55,route_known_chain_not_active,known_chain_name,Wyndham,likely_existing,Q111414787,,,none,20,excluded_not_independent,route_to_branded_or_steward
node/314357718,Paraiso Caño Hondo,,,https://www.paraisocanohondo.com/home.aspx,https://www.paraisocanohondo.com/home.aspx,80,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020319,,,low,45,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/314446408,Hamaca,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111414755,,,high,75,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/340092385,Natura Cabañas,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/349121944,Camp David Ranch,Santiago,Santiago,https://www.campdavidranch.com/,https://www.campdavidranch.com/,100,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111884818,,,medium,65,reconcile_legacy_census,link_not_insert
node/349126361,Cabaña Touristicá,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/349129742,Hotel RIU Mambo,Maimón,Maimón,http://www.riu.com/de/clubhotel-riu-mambo-puerto-plata-dominikanische-republik.html,http://www.riu.com/de/clubhotel-riu-mambo-puerto-plata-dominikanische-republik.html,100,route_known_chain_not_active,known_chain_domain,RIU,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
node/349134300,Hotel Llave Del Mar,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/349174881,Hotel Ambar,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/353014054,Hotel Monterrey,Santiago,Santiago,,,75,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,needs_research,manual_or_secondary_source
node/354626498,Hotel Sun Village,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884791,,,none,20,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/354627440,Hotel RIU Merengue,Maimón,Maimón,http://www.riu.com/de/clubhotel-riu-merengue-puerto-plata-dominikanische-republik.html,http://www.riu.com/de/clubhotel-riu-merengue-puerto-plata-dominikanische-republik.html,100,route_known_chain_not_active,known_chain_domain,RIU,likely_new_candidate,Q111414766,,,low,45,excluded_not_independent,route_to_branded_or_steward
node/354627549,Hotel RIU Bachata,Maimón,Maimón,http://www.riu.com/de/clubhotel-riu-bachata-puerto-plata-dominikanische-republik.html,http://www.riu.com/de/clubhotel-riu-bachata-puerto-plata-dominikanische-republik.html,100,route_known_chain_not_active,known_chain_domain,RIU,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
node/370189077,Hostal del Cibao,Santiago,Santiago,,,75,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,needs_research,manual_or_secondary_source
node/373851323,Hotel Europa,Sosua,Sosua,http://www.hotelplazaeuropa.com,http://www.hotelplazaeuropa.com,100,independent_unaffiliated_candidate,no_active_brand_signal,,needs_research,Q111884782,Sosúa,,none,25,promote_plan_l1_ready,dry_run_census_insert_affiliation_independent
node/374309471,Hotel Luperón,Ciudad Marina,Ciudad Marina,,,85,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,needs_research,manual_or_secondary_source
node/431025349,Barceló Bávaro Palace Deluxe,,,http://www.barcelobavarocaribe.com/,http://www.barcelobavarocaribe.com/,70,route_known_chain_not_active,known_chain_domain,Barceló,needs_research,Q19873054,,,high,77,excluded_not_independent,route_to_branded_or_steward
node/587971075,Sosua by the sea Boutique Beach Resort,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111884778,,,low,32,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/593861352,Hotel Casa Cayena Club,,Sosúa,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q112020288,Sosúa,,low,45,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/593861356,Hotel El Rancho Sosua,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,needs_research,Q111884775,,,high,90,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/593861357,Hotel Sea Breeze,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,needs_research,Q112020289,,,high,75,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/593865998,Hotel Central,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/596663088,Hotel Crowne Plaza,Santo Domingo,Santo Domingo,,,85,route_branded_active_setup,name_alias_match,Crowne Plaza,likely_new_candidate,Q111414842,Santo Domingo,,none,25,excluded_not_independent,route_to_branded_or_steward
node/596733948,Hotel Dorado,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/596733953,Hotel Colonial Delux,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/596733956,Hotel Colonial,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/597453526,Hostal Nicolas De Ovando,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,needs_research,Q111414846,,,medium,60,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/597456591,Hodelpa Novus Plaza,,Santo Domingo,,,55,route_known_chain_not_active,known_chain_name,Hodelpa,likely_existing,Q111884828,Santo Domingo,,high,90,excluded_not_independent,route_to_branded_or_steward
node/635204441,Club Med,,,,,65,route_known_chain_not_active,known_chain_name,Club Med,likely_existing,,,,,,excluded_not_independent,route_to_branded_or_steward
node/711144134,Ecocampo La Sangría,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020337,,,low,45,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/735974664,Tierra Plana Hostal,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/862661684,Hotel La Mansion,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,needs_research,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/928315117,Apartahotel Drake,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/988991741,Costa Las Ballenas,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020313,,,low,32,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/989009324,Acaya,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020315,,,none,20,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1069945606,Hotel Atarazana,,,http://www.hotel-atarazana.com,http://www.hotel-atarazana.com,85,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020385,,,low,45,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/1188149592,Hotel Pinar Dorado,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1207422127,Be Live Grand Marien Hotel,,,,,55,route_known_chain_not_active,known_chain_name,Be Live,likely_new_candidate,Q111414753,,,low,32,excluded_not_independent,route_to_branded_or_steward
node/1234382123,Emotion By Hodelpa.,,,,,55,route_known_chain_not_active,known_chain_name,Hodelpa,likely_new_candidate,Q111414751,,,low,45,excluded_not_independent,route_to_branded_or_steward
node/1238948840,hotel arcardo,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1238959353,"ALJIBE CAFE, Cocktail",,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1249539089,Hotel Salinas,,,,,65,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1249982946,Ocean resort,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1259953316,Hotel Playazul,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1259992880,Hotel Casablanca,,,http://www.hotelcasablanca.com.do/de-ch/,http://www.hotelcasablanca.com.do/de-ch/,80,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/1259992888,Hotel Quemaito,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884790,,,medium,60,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/1391142503,terra linda,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884774,,,high,75,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/1391142506,Casa Valeria,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1391142519,Hotel Orchidee,,,http://www.hotelorchidee.ch,http://www.hotelorchidee.ch,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/1391142522,New Garden,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884776,,,high,75,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/1405141122,Lifestyle Holidays Vacation Club,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1414756925,Aventura,La Canela,La Canela,,,75,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884806,,,low,40,needs_research,manual_or_secondary_source
node/1454279355,Aladino,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1600567851,Hotel,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111414782,,,low,40,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1635256169,Coconut Palms Resort,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020293,,,low,32,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1643715292,Eva Luna,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1650284822,Hotel Palapa,,,https://www.palapabeachclub.com/,https://www.palapabeachclub.com/,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111122869,,,low,45,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/1653013577,Secrets Royal Beach Punta Cana,Punta Cana,Punta Cana,https://www.hyatt.com/en-US/hotel/dominican-republic/secrets-royal-beach/serpc,https://www.hyatt.com/en-US/hotel/dominican-republic/secrets-royal-beach/serpc,100,route_known_chain_not_active,known_chain_domain,Hyatt,possible_duplicate_review,Q7065415,Punta Cana,http://nowresorts.com/larimar/,low,47,excluded_not_independent,route_to_branded_or_steward
node/1739578195,Hotel Las Caobas,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020283,,,high,90,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/1745039683,Aparta Hotel Plaza del Sol,,Santo Domingo,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020373,Santo Domingo,,high,90,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/1825887426,Sivory Punta Cana,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1837180673,Hotel Dilenia,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1837180781,Hotel Colinas del Valle,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1837226525,Hote Mi Casa,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1846307890,Hotel Vista del Valle,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1853487108,AltoCerro,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1857882814,Rancho Wendy,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1869448927,Rancho Guaraguao,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1869448950,Rancho Guaraguao,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1882822690,Hostal Condo Parque,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1888636757,Las Canas,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1923936533,Habitaciones Don Pedro,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1923964921,Fior Di Loto,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/1982167840,Hotel Piedra Marron,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/2020735712,Hotel Gran Jimenoa,,Jarabacoa,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111884764,Jarabacoa,,high,90,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/2088794004,Casa Cosón,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/2099118549,Hotel Coco Plaza,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020320,,,high,90,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/2100292687,Hotel Rancho La Cueva,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
