evidenceName,choicePropertyId,propertyUrl,brandSetupBrand,matchedCandidateRecordId,matchedCandidateName,matchConfidence,matchScore,matchReason,wouldWrite
4Q|choice-brand-directory-evidence-2026-05-20|cl009|rec5U58kxxzPtcGzn,cl009,https://www.choicehotels.com/chile/concon/radisson-blu-hotels/cl009,Radisson Blu (Choice),rec5U58kxxzPtcGzn,Radisson Blu Acqua Hotel & Spa Concón,medium,49,country; city; name=0.43; brand,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx183|rec0Tbi1AYlJwkALE,mx183,https://www.choicehotels.com/mexico/saltillo/radisson-hotels/mx183,Radisson (Choice),rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx228|rec0Tbi1AYlJwkALE,mx228,https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,Ascend Hotel Collection,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx185|rec0Tbi1AYlJwkALE,mx185,https://www.choicehotels.com/mexico/toluca/radisson-hotels/mx185,Radisson (Choice),rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx181|rec0Tbi1AYlJwkALE,mx181,https://www.choicehotels.com/mexico/mexico-city/radisson-hotels/mx181,Radisson (Choice),rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx108|recSEdorZxoW2xYNT,mx108,https://www.choicehotels.com/mexico/cuajimalpa-de-morelos/sleep-inn-hotels/mx108,Sleep Inn,recSEdorZxoW2xYNT,Sleep Inn Mazatlan,medium,65,country; brand; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx153|rec0Tbi1AYlJwkALE,mx153,https://www.choicehotels.com/mexico/playa-del-carmen/ascend-hotels/mx153,Ascend Hotel Collection,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx114|rec0Tbi1AYlJwkALE,mx114,https://www.choicehotels.com/mexico/playa-del-carmen/ascend-hotels/mx114,Ascend Hotel Collection,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|tr824|recqbBwg4XpRea80l,tr824,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr824,Quality Inn,recqbBwg4XpRea80l,Quality Inn,high,83,country; name=0.75; brand; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|tr821|recqbBwg4XpRea80l,tr821,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr821,Quality Inn,recqbBwg4XpRea80l,Quality Inn,high,83,country; name=0.75; brand; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|tr823|recqbBwg4XpRea80l,tr823,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr823,Quality Inn,recqbBwg4XpRea80l,Quality Inn,high,83,country; name=0.75; brand; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|tr503|rec0Tbi1AYlJwkALE,tr503,https://www.choicehotels.com/mexico/resville/econo-lodge-hotels/tr503,Econo Lodge,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|tr822|recqbBwg4XpRea80l,tr822,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr822,Quality Inn,recqbBwg4XpRea80l,Quality Inn,high,83,country; name=0.75; brand; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx155|rec0Tbi1AYlJwkALE,mx155,https://www.choicehotels.com/mexico/san-miguel-de-allende/ascend-hotels/mx155,Ascend Hotel Collection,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|tr825|recqbBwg4XpRea80l,tr825,https://www.choicehotels.com/mexico/resville/quality-inn-hotels/tr825,Quality Inn,recqbBwg4XpRea80l,Quality Inn,high,83,country; name=0.75; brand; website=choicehotels.com,yes
4Q|choice-brand-directory-evidence-2026-05-20|mx104|rec0Tbi1AYlJwkALE,mx104,https://www.choicehotels.com/mexico/zacatecas/ascend-hotels/mx104,Ascend Hotel Collection,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,medium,50,country; website=choicehotels.com,yes
