evidenceName,wikidataQid,osmSourceRecordId,osmCandidateName,stagingRecordId,matchConfidence,matchScore,matchReason,wouldWrite
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q19873054|node/431025349,Q19873054,node/431025349,Barceló Bávaro Palace Deluxe,recW9WJaGgmhUIGa9,high,77,name=1.00; geo=134m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111111827|node/5037222222,Q111111827,node/5037222222,Hotel Tropicana Deluxe,recdvI9be1ggJj4UD,high,90,name=1.00; geo=19m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111117540|way/341067667,Q111117540,way/341067667,Hostal Doña Chava,rec2FvHEyxtNvGJOi,high,75,name=0.75; geo=3m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111120312|node/4744190223,Q111120312,node/4744190223,Laguna Park Hostel,recg4djmMvHlS87Ho,high,75,name=0.75; geo=26m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111121540|way/406786249,Q111121540,way/406786249,Island Life Backpackers Hostel,recqeF4TdbXDrO5ZH,high,75,name=0.75; geo=6m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111122868|node/4105363389,Q111122868,node/4105363389,Dan and Manty's Guesthouse and Hostel,rec8xviYYtFZyESbo,high,75,name=0.75; geo=4m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414743|way/312593390,Q111414743,way/312593390,Hodelpa Garden Court Hotel,recAVrsqIjW8G7461,high,75,name=0.77; geo=52m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414755|node/314446408,Q111414755,node/314446408,Hamaca,recMNHMHCJQAFrotm,high,75,name=0.75; geo=21m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414756|node/314446408,Q111414756,node/314446408,Hamaca,recMNHMHCJQAFrotm,high,75,name=0.75; geo=10m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414757|node/314446408,Q111414757,node/314446408,Hamaca,recMNHMHCJQAFrotm,high,75,name=0.75; geo=10m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414761|node/4239744248,Q111414761,node/4239744248,Cofresi Palm,reckIypxD4nuH0bJW,high,75,name=0.75; geo=29m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414764|way/151713273,Q111414764,way/151713273,Alisei,receKU120rVrNpXiP,high,75,name=0.75; geo=44m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414783|way/540475898,Q111414783,way/540475898,Dreams Dominicus La Romana,rece8cjxNMN9zPISn,high,75,name=0.75; geo=39m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414789|way/335856784,Q111414789,way/335856784,Dreams Punta Cana Resort & Spa,rechyvarRE550RVQa,high,85,name=1.00; geo=27m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414795|way/309228614,Q111414795,way/309228614,Majestic Elegance Punta Cana,recVYzMyKPJdtRrrQ,high,130,name=1.00; city; geo=29m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414792|node/2106184527,Q111414792,node/2106184527,Hard Rock Hotel & Casino Punta Cana - All inclusive,recdqw8KZvJUN5GmA,high,90,name=1.00; geo=32m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414793|way/476739407,Q111414793,way/476739407,Hotel Riu Republica,recB9c0Z5bxUIDVNn,high,95,name=1.00; city; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414798|node/4660748808,Q111414798,node/4660748808,Grand Bahia Principe Aquamarine,rec7nxjVwRIs2ZJUi,high,90,name=1.00; geo=42m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414796|way/309228614,Q111414796,way/309228614,Majestic Elegance Punta Cana,recVYzMyKPJdtRrrQ,high,75,name=0.60; city; geo=425m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414797|node/4660748798,Q111414797,node/4660748798,Grand Bahia Principe Bavaro,recxaYzaUqgxL4lIE,high,90,name=1.00; geo=22m,yes
