applyRank,candidateRecordId,osmName,osmCity,osmCountry,osmLatitude,osmLongitude,matchedLegacyRecordId,matchedLegacyName,distanceMeters,matchScore,matchReason,verifiedHotelName,verifiedCity,verifiedCountry,verifiedLatitude,verifiedLongitude,verifiedDedupeKey,promotionRiskNote
1,rec016JgYG9LfmE9u,Hotel Oviedo,Acapulco,Mexico,16.8491264,-99.9074675,recSgph8EuTYl6lPz,Hotel Oviedo,17,100,"Strong name similarity (100%), same country, 17m apart",Hotel Oviedo,Acapulco,Mexico,16.8491264,-99.9074675,hotel oviedo|acapulco|mexico,High-confidence legacy census match; score meets promote threshold.
2,rec0J8vKJ3bPOwl79,Hotel Grand Reyes,Monterrey,Mexico,25.6693001,-100.3240227,recBal5hNRV9uLJF5,Hotel Grand Reyes,2,100,"Strong name similarity (100%), same country, 2m apart",Hotel Grand Reyes,Monterrey,Mexico,25.6693001,-100.3240227,hotel grand reyes|monterrey|mexico,High-confidence legacy census match; score meets promote threshold.
3,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,Guadalupe,Mexico,25.7061302,-100.224838,recYWzUR6gif6SobH,Quality Inn Monterrey La Fe,23,100,"Strong name similarity (100%), same country, 23m apart",Quality Inn Monterrey La Fe,Guadalupe,Mexico,25.7061302,-100.224838,quality inn monterrey la fe|guadalupe|mexico,High-confidence legacy census match; score meets promote threshold.
4,rec0hiKesf9FpS7xV,Hotel San Luis Lindavista,Culiacán,MX,24.7906355,-107.3932913,recCvai7WKaArDkdF,Hotel San Luis Lindavista,26,100,"Strong name similarity (100%), same country, 26m apart",Hotel San Luis Lindavista,Culiacán,MX,24.7906355,-107.3932913,hotel san luis lindavista|culiacan|mx,High-confidence legacy census match; score meets promote threshold.
5,rec0wfy4fw8nKPCGH,Hyatt Ziva Cancun,Cancun,Mexico,21.1358966,-86.7418761,recoeBetweOi0KzW7,Hyatt Ziva Cancun,46,100,"Strong name similarity (100%), same country, 46m apart",Hyatt Ziva Cancun,Cancun,Mexico,21.1358966,-86.7418761,hyatt ziva cancun|cancun|mexico,High-confidence legacy census match; score meets promote threshold.
6,rec13cNoNXyupJIAD,Hotel Plaza Magnolias,San Cristóbal de Las Casas,Mexico,16.7350938,-92.6374264,recC2VmwvCFYDvbDG,Plaza Magnolias Hotel,94,100,"Strong name similarity (100%), same country, 94m apart",Hotel Plaza Magnolias,San Cristóbal de Las Casas,Mexico,16.7350938,-92.6374264,hotel plaza magnolias|san cristobal de las casas|mexico,High-confidence legacy census match; score meets promote threshold.
7,rec1mxL8IlrGg7qj0,Los Patios Hotel,Cabo San Lucas,MX,22.9041095,-109.8879499,recPOuMJiCcvaWbCc,Los Patios Hotel,46,100,"Strong name similarity (100%), same country, 46m apart",Los Patios Hotel,Cabo San Lucas,MX,22.9041095,-109.8879499,los patios hotel|cabo san lucas|mx,High-confidence legacy census match; score meets promote threshold.
8,rec20LxaVdycTyu1t,Hotel Avenida,Campeche,MX,19.8346832,-90.5445722,recZsMRiCCY79qv9o,Hotel Avenida,36,100,"Strong name similarity (100%), same country, 36m apart",Hotel Avenida,Campeche,MX,19.8346832,-90.5445722,hotel avenida|campeche|mx,High-confidence legacy census match; score meets promote threshold.
9,rec2DYHDcC737oDja,Travohotel Monterrey Histórico,Monterrey,MX,25.6687053,-100.3180533,recRIcNPOGbw9eLwD,Travohotel Monterrey Historico,115,100,"Strong name similarity (100%), same country, 115m apart",Travohotel Monterrey Histórico,Monterrey,MX,25.6687053,-100.3180533,travohotel monterrey historico|monterrey|mx,High-confidence legacy census match; score meets promote threshold.
10,rec2EXafuUgoPbxNr,Sunscape Dorado Pacifico Ixtapa,Ixtapa Zihuatanejo,Mexico,17.6609137,-101.6040816,recIUPC8F5gmjwthy,Sunscape Dorado Pacifico Ixtapa,13,100,"Strong name similarity (100%), same country, 13m apart",Sunscape Dorado Pacifico Ixtapa,Ixtapa Zihuatanejo,Mexico,17.6609137,-101.6040816,sunscape dorado pacifico ixtapa|ixtapa zihuatanejo|mexico,High-confidence legacy census match; score meets promote threshold.
