sourceRecordId,rawHotelName,rawCity,rawCountry,rawWebsite,proposedIdentityKey,matchConfidence,matchScore,matchReason,recommendedAction,matchedCensusRecordId,matchedCensusName,matchedCensusCity,matchedCensusCountry,matchedIdentityKey,matchedCurrentBrand,matchedAffiliationStatus,distanceMeters,identityKeyCollision
node/9829772,Bohio Cabarete,,Dominican Republic,,osm_do_node_9829772,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,251628,false
node/270997923,Breezes,,Dominican Republic,,osm_do_node_270997923,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,252291,false
node/287032841,Dreams Palm Beach Resort,,Dominican Republic,,osm_do_node_287032841,none,18,"No credible name, geo, or website match",likely_new_candidate,recmAzTMc9asgvt8i,The Westin Puntacana Resort,Punta Cana,Dominican Republic,ind_marriott_do_pujwi,Westin,Branded,,false
node/302771731,Natura Park Beach Eco Resort & Spa,Punta Cana,Dominican Republic,https://www.blaunaturapark.com/en/,osm_do_node_302771731,none,29,"No credible name, geo, or website match",likely_new_candidate,recKylgkR9LkMxaRP,"Grand Palladium Punta Cana, All Inclusive Resort & Spa",Punta Cana,Dominican Republic,ind_wyndham_do_grand-palladium-punta-cana-resort-spa,Registry Collection,Branded,,false
node/302771860,Catalonia Punta Cana,,Dominican Republic,,osm_do_node_302771860,none,32,"No credible name, geo, or website match",likely_new_candidate,recrpcMu4sx4vSkmS,AC Hotel Punta Cana,Punta Cana,Dominican Republic,ind_marriott_do_pujac,AC Hotels by Marriott,Branded,,false
node/302771929,Be Live Grand Bavaro,,Dominican Republic,,osm_do_node_302771929,none,18,"No credible name, geo, or website match",likely_new_candidate,recFg5RNpxAAjh7Y2,Iberostar Selection​ Bávaro Suites,Punta Cana,Dominican Republic,ind_ihg_do_bavsb,Iberostar Selection,Branded,,false
node/302800763,Wyndham Alltra Punta Cana,,Dominican Republic,,osm_do_node_302800763,low,51,Partial name match (75%) same country (no distance),needs_research,recXh4NgF8sDbi9cQ,Wyndham Alltra Punta Cana All Inclusive Resort,Punta Cana,Dominican Republic,ind_wyndham_do_wyndham-alltra-punta-cana-all-inclusive-resort,Wyndham Alltra,Branded,,false
node/314357718,Paraiso Caño Hondo,,Dominican Republic,https://www.paraisocanohondo.com/home.aspx,osm_do_node_314357718,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,120818,false
node/314446408,Hamaca,,Dominican Republic,,osm_do_node_314446408,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,129072,false
node/340092385,Natura Cabañas,,Dominican Republic,,osm_do_node_340092385,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,251699,false
node/349121944,Camp David Ranch,Santiago,DO,https://www.campdavidranch.com/,osm_do_node_349121944,none,20,"No credible name, geo, or website match",likely_new_candidate,rec36JB20skuIVr8w,AC Hotel Santiago de los Caballeros,Santiago,Dominican Republic,ind_marriott_do_stiac,AC Hotels by Marriott,Branded,,false
node/349126361,Cabaña Touristicá,,Dominican Republic,,osm_do_node_349126361,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,336694,false
node/349129742,Hotel RIU Mambo,Maimón,DO,http://www.riu.com/de/clubhotel-riu-mambo-puerto-plata-dominikanische-republik.html,osm_do_node_349129742,none,19,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/349134300,Hotel Llave Del Mar,,Dominican Republic,,osm_do_node_349134300,none,20,"No credible name, geo, or website match",likely_new_candidate,recdS7vpmjgcTvAFu,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_gran-hotel-europa-santo-domingo-trademark,Trademark Collection by Wyndham,Branded,1001,false
node/349174881,Hotel Ambar,,Dominican Republic,,osm_do_node_349174881,none,21,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/353014054,Hotel Monterrey,Santiago,DO,,osm_do_node_353014054,none,28,"No credible name, geo, or website match",likely_new_candidate,rec36JB20skuIVr8w,AC Hotel Santiago de los Caballeros,Santiago,Dominican Republic,ind_marriott_do_stiac,AC Hotels by Marriott,Branded,,false
node/354626498,Hotel Sun Village,,Dominican Republic,,osm_do_node_354626498,none,19,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/354627440,Hotel RIU Merengue,Maimón,DO,http://www.riu.com/de/clubhotel-riu-merengue-puerto-plata-dominikanische-republik.html,osm_do_node_354627440,none,19,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/354627549,Hotel RIU Bachata,Maimón,DO,http://www.riu.com/de/clubhotel-riu-bachata-puerto-plata-dominikanische-republik.html,osm_do_node_354627549,none,19,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/370189077,Hostal del Cibao,Santiago,DO,,osm_do_node_370189077,none,25,"No credible name, geo, or website match",likely_new_candidate,reckIUCAyaUts6PPS,Hampton by Hilton Santiago de los Caballeros,Santiago de los Caballeros,Dominican Republic,ind_hilton_do_stillhx,Hampton by Hilton,Branded,1028,false
node/373851323,Hotel Europa,Sosua,DO,http://www.hotelplazaeuropa.com,osm_do_node_373851323,low,51,Partial name match (75%) same country (no distance),needs_research,recbqmjZiacpHmeJo,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_santo-domingo-dominican-republic,Esplendor by Wyndham,Branded,,false
node/374309471,Hotel Luperón,Ciudad Marina,DO,,osm_do_node_374309471,none,21,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/431025349,Barceló Bávaro Palace Deluxe,,Dominican Republic,http://www.barcelobavarocaribe.com/,osm_do_node_431025349,none,18,"No credible name, geo, or website match",likely_new_candidate,recFg5RNpxAAjh7Y2,Iberostar Selection​ Bávaro Suites,Punta Cana,Dominican Republic,ind_ihg_do_bavsb,Iberostar Selection,Branded,,false
node/587971075,Sosua by the sea Boutique Beach Resort,,Dominican Republic,,osm_do_node_587971075,none,22,"No credible name, geo, or website match",likely_new_candidate,recmAzTMc9asgvt8i,The Westin Puntacana Resort,Punta Cana,Dominican Republic,ind_marriott_do_pujwi,Westin,Branded,,false
node/593861352,Hotel Casa Cayena Club,,Dominican Republic,,osm_do_node_593861352,none,21,"No credible name, geo, or website match",likely_new_candidate,recazCEnMYzUaPGvy,"Casa Colonial Beach and Spa, an SLH Hotel",Puerto Plata,Dominican Republic,ind_hilton_do_popcclx,Small Luxury Hotels of the World,Branded,,false
node/593861356,Hotel El Rancho Sosua,,Dominican Republic,,osm_do_node_593861356,none,19,"No credible name, geo, or website match",likely_new_candidate,recaDASYRUNGyBHAC,Ocean El Faro,Punta Cana,Dominican Republic,ind_preferred_do_413997,Preferred Hotels & Resorts,Branded,,false
node/593861357,Hotel Sea Breeze,,Dominican Republic,,osm_do_node_593861357,none,19,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/593865998,Hotel Central,,Dominican Republic,,osm_do_node_593865998,none,21,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/596663088,Hotel Crowne Plaza,Santo Domingo,Dominican Republic,,osm_do_node_596663088,none,42,"No credible name, geo, or website match",likely_new_candidate,recUoUcP9lEuNkl0F,Crowne Plaza Santo Domingo,Santo Domingo,Dominican Republic,ind_ihg_do_sdqha,Crowne Plaza,Branded,,false
node/596733948,Hotel Dorado,,Dominican Republic,,osm_do_node_596733948,none,21,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/596733953,Hotel Colonial Delux,,Dominican Republic,,osm_do_node_596733953,none,22,"No credible name, geo, or website match",likely_new_candidate,recazCEnMYzUaPGvy,"Casa Colonial Beach and Spa, an SLH Hotel",Puerto Plata,Dominican Republic,ind_hilton_do_popcclx,Small Luxury Hotels of the World,Branded,,false
node/596733956,Hotel Colonial,,Dominican Republic,,osm_do_node_596733956,none,24,"No credible name, geo, or website match",likely_new_candidate,recazCEnMYzUaPGvy,"Casa Colonial Beach and Spa, an SLH Hotel",Puerto Plata,Dominican Republic,ind_hilton_do_popcclx,Small Luxury Hotels of the World,Branded,,false
node/597453526,Hostal Nicolas De Ovando,,Dominican Republic,,osm_do_node_597453526,none,25,"No credible name, geo, or website match",likely_new_candidate,recdS7vpmjgcTvAFu,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_gran-hotel-europa-santo-domingo-trademark,Trademark Collection by Wyndham,Branded,291,false
node/597456591,Hodelpa Novus Plaza,,Dominican Republic,,osm_do_node_597456591,none,25,"No credible name, geo, or website match",likely_new_candidate,recdS7vpmjgcTvAFu,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_gran-hotel-europa-santo-domingo-trademark,Trademark Collection by Wyndham,Branded,372,false
node/635204441,Club Med,,Dominican Republic,,osm_do_node_635204441,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,11153,false
node/711144134,Ecocampo La Sangría,,Dominican Republic,,osm_do_node_711144134,none,18,"No credible name, geo, or website match",likely_new_candidate,recOOk81RLNhbx8B5,Hilton Garden Inn La Romana,La Romana,Dominican Republic,ind_hilton_do_lrmlmgi,Hilton Garden Inn,Branded,99425,false
node/735974664,Tierra Plana Hostal,,Dominican Republic,,osm_do_node_735974664,none,35,"No credible name, geo, or website match",likely_new_candidate,recdS7vpmjgcTvAFu,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_gran-hotel-europa-santo-domingo-trademark,Trademark Collection by Wyndham,Branded,71,false
node/862661684,Hotel La Mansion,,Dominican Republic,,osm_do_node_862661684,none,19,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
