Candidate Airtable Record ID,Candidate Hotel Name,Wikidata Hotel Name,Candidate City,Candidate Country,Candidate Latitude,Candidate Longitude,Candidate Website,Wikidata Website,Wikidata QID,Match Score,Match Reason,Manual Review Reason,Review Priority,Suggested Next Action,Human Notes,Ready For Future Promotion
rec2FvHEyxtNvGJOi,Hostal Doña Chava,Hostal Doña Chava,,Dominican Republic,18.0358048,-71.7423458,http://www.donachava.com/,,Q111884810,90,name=1.00; geo=18m,missing_city,high,add_city_from_manual_review,,
recPRzaogUL2Lffji,Hotel Plaza Coral,Hotel Plaza Coral,,Dominican Republic,18.5832906,-68.3978268,http://hotel.plazacoral.net,,Q112020370,90,name=1.00; geo=6m,missing_city,high,add_city_from_manual_review,,
recSkvq7iE2yRV2xZ,Las Galeras Hotel,Hotel Las Galeras,,Dominican Republic,19.2913532,-69.1989739,https://las-galeras.com/,,Q112020341,90,name=1.00; geo=23m,missing_city,high,add_city_from_manual_review,,
rechuOizPrsaR324F,Hotel Olimpo,Hotel Olimpo,,Dominican Republic,18.4329421,-68.9710116,,,Q112020350,90,name=1.00; geo=39m,missing_city,medium,add_city_from_manual_review,,
recvx7DG3l2nmfcnQ,Casa de Campo Resort & Villas,Casa de Campo Resort & Villas,,Dominican Republic,18.4141438,-68.9355638,https://www.casadecampo.com.do/,,Q111414776,90,name=1.00; geo=29m,missing_city,high,add_city_from_manual_review,,
recH3lNw7SRGTltS3,Hotel Renacer,Hotel Renacer,,Dominican Republic,18.4704961,-69.8965823,,,Q112020376,90,name=1.00; geo=17m,missing_city,medium,add_city_from_manual_review,,
recOEGqHmuBcHgjNV,Green Coast hotel,Green Coast Hotel,,Dominican Republic,18.6877246,-68.4212449,https://www.booking.com/hotel/do/bravo-mare.html?aid=1595464,,Q112020359,90,name=1.00; geo=66m,missing_city,high,add_city_from_manual_review,,
recQspS7blprKn3MR,Piergiorgio Palace Hotel,Piergiorgio Palace Hotel,,Dominican Republic,19.7626202,-70.5192233,,,Q111884773,90,name=1.00; geo=5m,missing_city,medium,add_city_from_manual_review,,
recna69MrcFVdbLvY,Hotel Atlantis,Atlantis Hotel,,Dominican Republic,19.3136099,-69.5709925,,,Q111884788,90,name=1.00; geo=39m,missing_city,medium,add_city_from_manual_review,,
recrRN5tRbUqPrzOQ,Palmetto Hotel,Palmetto Hotel,,Dominican Republic,19.4588138,-70.6803243,,,Q112020336,90,name=1.00; geo=5m,missing_city,medium,add_city_from_manual_review,,
recu2OonTTy4jU5hq,Punta Rucia Lodge,Punta Rucia Lodge,,Dominican Republic,19.8496291,-71.2126079,,,Q111884805,90,name=1.00; geo=19m,missing_city,medium,add_city_from_manual_review,,
recSSMLwPOka3fvTm,Hodelpa Gran Almirante,Hodelpa Gran Almirante,,Dominican Republic,19.4653439,-70.6872776,,,Q111414822,90,name=1.00; geo=42m,missing_city,medium,add_city_from_manual_review,,
recXQ8gUjATsqklbT,Hotel Palococo,Hotel Palococo,,Dominican Republic,19.3059646,-69.5470343,,,Q111884792,90,name=1.00; geo=46m,missing_city,medium,add_city_from_manual_review,,
receKJbVgR1QUz1rH,El Encuentro Surf Lodge,El Encuentro Surf Lodge,,Dominican Republic,19.7789266,-70.4500804,https://elencuentrosurflodge.com/,,Q112020295,90,name=1.00; geo=17m,missing_city,high,add_city_from_manual_review,,
recgwyyEyu2pcd9xG,Las Puertas Del Paraiso,Las Puertas del Paraíso,,Dominican Republic,19.6432241,-70.0578806,,,Q111884767,90,name=1.00; geo=46m,missing_city,medium,add_city_from_manual_review,,
recykFxgzBRPgbq3x,Hotel Loro Tuerto,Hotel Loro Tuerto,,Dominican Republic,18.2077323,-71.0968349,,,Q112020297,90,name=1.00; geo=14m,missing_city,medium,add_city_from_manual_review,,
reczK9XDga6qPfuH5,Hotel Los Jardiness,Hotel Los Jardines,,Dominican Republic,19.4649554,-70.6888376,,,Q112020366,90,name=0.95; geo=17m,missing_city,medium,add_city_from_manual_review,,
recAF2AfbxM4gSjoz,Hotel Residence Playa Colibrí,Hotel Residence Playa Colibri,,Dominican Republic,19.3249768,-69.5512611,https://www.tripadvisor.com/Hotel_Review-g259440-d489768-Reviews-Hotel_Residence_Playa_Colibri-Las_Terrenas_Samana_Province_Dominican_Republic.html,,Q111884794,90,name=1.00; geo=52m,missing_city,high,add_city_from_manual_review,,
recEgk6nFBPmeDhfc,Hotel Caribe,Hotel Caribe,,Dominican Republic,18.2019256,-71.0895157,,,Q112020296,90,name=1.00; geo=17m,missing_city,medium,add_city_from_manual_review,,
recOXjmqe7LoDViXB,Hodelpa Novus Plaza,Novus Plaza Hodelpa,,Dominican Republic,18.4734399,-69.8854304,,,Q111884828,90,name=1.00; geo=7m,missing_city,medium,add_city_from_manual_review,,
recfHusQljG15FsV1,Hotel Discovery,Hotel Discovery,,Dominican Republic,18.4708595,-69.8911746,,,Q111884823,90,name=1.00; geo=15m,missing_city,medium,add_city_from_manual_review,,
recjQD9MFS7R9SU09,Hotel Century Plaza,Hotel Century Plaza,,Dominican Republic,19.4492018,-70.664905,,,Q112020335,90,name=1.00; geo=57m,missing_city,medium,add_city_from_manual_review,,
rectR06KBE5R8cXnA,Hotel Coco Plaza,Hotel Coco Plaza,,Dominican Republic,19.3256103,-69.5449759,,,Q112020320,90,name=1.00; geo=13m,missing_city,medium,add_city_from_manual_review,,
rectvfpDz0kmFkz7d,Hotel Las Caobas,Hotel Las Caobas,,Dominican Republic,19.2988932,-70.2668643,,,Q112020283,90,name=1.00; geo=61m,missing_city,medium,add_city_from_manual_review,,
rec7nxjVwRIs2ZJUi,Grand Bahia Principe Aquamarine,Bahia Principe Grand Aquamarine,,Dominican Republic,18.7253891,-68.4640801,,,Q111414798,90,name=1.00; geo=42m,missing_city,medium,add_city_from_manual_review,,
rec97EXVhGHl5cgm2,Hotel La Saladilla Beach Club,Hotel La Saladilla Beach Club,,Dominican Republic,18.1804281,-71.0721606,http://www.hotellasaladilla.com/,,Q112020299,90,name=1.00; geo=65m,missing_city,high,add_city_from_manual_review,,
rec9XLQ4Gzfw2W1EG,Hotel Gran Jimenoa,Hotel Gran Jimenoa,,Dominican Republic,19.1407155,-70.6310367,,,Q111884764,90,name=1.00; geo=40m,missing_city,medium,add_city_from_manual_review,,
recNDQRvSizsV0UjE,Hotel El Rancho Sosua,Hotel El Rancho Sosua,,Dominican Republic,19.7651861,-70.5168845,,,Q111884775,90,name=1.00; geo=27m,missing_city,medium,add_city_from_manual_review,,
recQO38J9jmhJVPlf,Aparta Hotel Plaza del Sol,Aparta Hotel Plaza del Sol,,Dominican Republic,18.4653437,-69.9158948,,,Q112020373,90,name=1.00; geo=20m,missing_city,medium,add_city_from_manual_review,,
recWTiwpEGsMa5Ckc,Hotel Alegria,Hotel Alegria,,Dominican Republic,19.7510559,-70.4024362,,,Q111884771,90,name=1.00; geo=61m,missing_city,medium,add_city_from_manual_review,,
rect5ZNTJdpKGcANQ,fata morgana,Fata Morgana,,Dominican Republic,19.3083697,-69.5530541,http://fatamorganalasterrenas.com,,Q112020316,90,name=1.00; geo=55m,missing_city,high,add_city_from_manual_review,,
recxaYzaUqgxL4lIE,Grand Bahia Principe Bavaro,Bahia Principe Grand Bavaro,,Dominican Republic,18.721967,-68.4658096,,,Q111414797,90,name=1.00; geo=22m,missing_city,medium,add_city_from_manual_review,,
recW9WJaGgmhUIGa9,Barceló Bávaro Palace Deluxe,Barceló Bávaro Palace Deluxe,,Dominican Republic,18.6636871,-68.3960501,http://www.barcelobavarocaribe.com/,,Q19873054,77,name=1.00; geo=134m,missing_city,high,add_city_from_manual_review,,
recIC0otiAqyP7Yfy,Casa Rural el Paraiso de Saona,Casa Rural El Paraíso de Saona,,Dominican Republic,18.1297261,-68.7346533,,,Q112020355,77,name=1.00; geo=215m,missing_city,medium,add_city_from_manual_review,,
recVcTzjeh5sFT3o2,Hotel Coco,Coco Hotel,,Dominican Republic,19.7732211,-70.5107316,,,Q111884780,77,name=1.00; geo=130m,missing_city,medium,add_city_from_manual_review,,
reci5xJncjJmpVOaJ,hotel Maison Gautreaux,Hotel Maison Gautreaux,,Dominican Republic,18.4642127,-69.8958331,,,Q112020381,77,name=1.00; geo=133m,missing_city,medium,add_city_from_manual_review,,
recUTk9OM3ptfZQiD,Ultravioleta Boutique Residences,Ultravioleta Boutique Residences,,Dominican Republic,19.7568943,-70.417365,,,Q111884772,77,name=1.00; geo=118m,missing_city,medium,add_city_from_manual_review,,
recVtA4dEwSBGZUEj,Castillo Romano,Castillo Romano,,Dominican Republic,19.3169723,-69.5382971,,,Q112020322,77,name=1.00; geo=76m,missing_city,medium,add_city_from_manual_review,,
rec8xviYYtFZyESbo,Dan and Manty's Guesthouse and Hostel,Manty's Guesthouse,,Dominican Republic,19.3148871,-69.5407538,,,Q111122868,75,name=0.75; geo=4m,missing_city,medium,add_city_from_manual_review,,
recMNHMHCJQAFrotm,Hamaca,Be Live Experience Hamaca Beach,,Dominican Republic,18.4492217,-69.6040935,,,Q111414757,75,name=0.75; geo=10m,missing_city,medium,add_city_from_manual_review,,
recQ4aXR359U19MXz,Riviera Punta Cana,Riviera Punta Cana Eco Travelers House,,Dominican Republic,18.6857465,-68.4176638,,,Q112020361,75,name=0.75; geo=42m,missing_city,medium,add_city_from_manual_review,,
