sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/198404151,Misión Fagnano,,Argentina,-54.5274159,-67.2301145,medium,55,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/198414414,Puerto Valle,,Argentina,-27.6063257,-56.4348929,high,70,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/198422157,Cabañas San Miguel,Chilecito,Argentina,-29.1848787,-67.4768834,high,100,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/198429319,Termas de Reyes,,Argentina,-24.1710847,-65.4891749,medium,55,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/198449943,Establecimiento Las Costas,,Argentina,-24.7719173,-65.4951507,medium,55,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/272171447,Portal del Sol,,Argentina,-31.4251727,-64.4939458,medium,55,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/283348556,Dorá,,Argentina,-38.0031508,-57.5429812,high,70,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/285071699,Astor,,Argentina,-38.0008788,-57.5426106,medium,55,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/292890489,Hi! Patagonia,,Argentina,-42.7741392,-65.0280075,high,85,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/321977554,Pampa Linda,,Argentina,-41.2307642,-71.7740556,medium,55,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/325723349,Hotel Magal,América,Argentina,-35.4881931,-62.9820673,high,85,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/325723428,Txoko Maite,América,Argentina,-35.4905508,-62.9793986,high,85,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/331936439,Hostel Buena Vista,,Argentina,-31.7206552,-60.532279,high,80,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/336081308,El Pilar,,Argentina,-49.2359351,-72.9329027,high,70,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/422301656,Hostería Cuesta El Portezuelo,Cerro Ancasti,Argentina,-28.4893626,-65.6062901,high,95,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/422969997,Hotel Colonial,San Fernando del Valle de Catamarca,Argentina,-28.4678343,-65.7752828,high,85,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/422970000,Hotel Shincal,,Argentina,-28.4748519,-65.7735503,high,70,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/422971515,Residencial Menem,,Argentina,-28.4760719,-65.7754451,medium,60,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/424218810,Hotel Casino Catamarca,San Fernando del Valle de Catamarca,Argentina,-28.467623,-65.7850008,high,100,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/424406832,Los Lapachos,Gobernador Ingeniero Valentín Virasoro,Argentina,-28.0545949,-56.0217395,high,100,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/424416835,Hotel Ardais,,Argentina,-28.048434,-56.0133346,medium,55,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/424417889,Hotel Casino,Gobernador Virasoro,Argentina,-28.0519427,-56.0139029,high,85,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/424446691,A.C.A.,Santo Tomé,Argentina,-28.5432257,-56.0333186,high,75,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/441159251,Hotel Famaillá,Famaillá,Argentina,-27.0539653,-65.402748,high,75,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/454517417,Alvear Palace Hotel,Ciudad Autónoma de Buenos Aires,AR,-34.5877471,-58.3887383,high,75,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/456247958,Hotel Dior,,Argentina,-37.3278678,-59.135725,medium,55,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/457014295,Hotel Benidorm,Rosario,AR,-32.9504104,-60.6383151,high,75,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/457014296,Hotel Plaza,Rosario,AR,-32.9494301,-60.6382994,high,75,osm-argentina-hotel-focused-choice-cala-2026-05-20
node/461633465,El Rancho Grande,Paraje Samambaya,Argentina,-27.5699996,-55.1596712,high,75,osm-argentina-hotel-focused-choice-cala-2026-05-20
