sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/288965871,Ocean Reef Yacht Club & Resort,,Bahamas,26.5045257,-78.6623435,high,70,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/289193152,Radison Breakers Cay,,Bahamas,26.5117425,-78.6407141,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/289193199,Reef Village,,Bahamas,26.5107161,-78.6424986,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/355428050,Coral Gardens B&B,,Bahamas,23.5258567,-75.8053649,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/821819325,Crooked Island Lodge,Pitts Town,BS,22.8308793,-74.3489255,high,100,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/821926602,Carolls Guesthouse,Deadmans Settlement,BS,23.1749269,-75.1043675,high,75,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/822073261,Rum Cay Club,Port Nelson,BS,23.6497747,-74.8377481,high,75,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/1467586462,Small Hope Bay Lodge,,Bahamas,24.7471558,-77.810484,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/1831120613,Fernandez Bay,,Bahamas,24.3204384,-75.4709472,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/2520476043,Exuma Palms Hotel,Great Exuma,Bahamas,23.5928829,-75.8860264,high,100,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/2916519934,Peace and Plenty,,Bahamas,23.5071031,-75.7698183,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/2916562353,Towne Hotel,,Bahamas,25.0769207,-77.3446504,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/3223707400,Royal Islander Hotel,Freeport,Bahamas,26.5185633,-78.6949496,high,100,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/3425100196,Island Breezes,,Bahamas,26.5467195,-77.0501018,medium,65,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/3445313793,Millie's Guest House,,Bahamas,26.9197617,-77.7901976,high,70,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/3464392793,Staniel Cay Yacht Club,,BS,24.1725521,-76.4454765,high,85,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4081393432,Villas At Palmetto Beach,,Bahamas,26.6162775,-77.2565095,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4081688493,Abaco Lodge,,Bahamas,26.5591092,-77.1351157,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4132032707,Cape Eleuthera Resort & Marina,,Bahamas,24.8366721,-76.3418131,high,70,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4148721997,Grand Isle Resort & Residences,,BS,23.6275637,-75.9154368,high,85,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4162067289,Hideaways Exuma,,Bahamas,23.5189141,-75.787115,high,80,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4162091992,Exuma Beach Resort,,Bahamas,23.51795,-75.7863855,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4162092272,Augusta Bay,,Bahamas,23.5176328,-75.7860663,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4362170608,Ocean West Boutique Hotel,,Bahamas,25.06819,-77.4436809,high,70,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4457857589,The Island House,,Bahamas,25.0387278,-77.504191,high,80,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4556487290,The White House,,Bahamas,23.5869698,-75.2614673,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4863154722,Blue Water,,Bahamas,24.7553637,-77.8203188,high,80,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/4913905421,Sivananda Yoga Retreat,,Bahamas,25.0844427,-77.3340637,high,70,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/5830688391,Pineville Hotel,,Bahamas,25.1481202,-78.0400517,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/6391645311,Baha Beach Villa,,Bahamas,25.0722521,-77.3827735,high,85,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/6476128889,Surfer's Craven guest house,,Bahamas,25.3790275,-76.5299991,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/6855666328,One And Only Ocean Club,Paradise Island,Bahamas,25.0838024,-77.3113455,high,100,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/6970449241,Marshall's Guest House,,Bahamas,23.5056955,-75.7688447,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/7684128453,Arawak Inn,,Bahamas,25.0794613,-77.3623739,medium,65,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/7685297235,Golden Palms,,Bahamas,25.0626346,-77.4856965,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/9272496366,Paradise Cove,,Bahamas,26.579524,-78.8641993,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/9272496387,Bootle bay fishing lodge,,Bahamas,26.6531806,-78.9415284,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/9272496469,The Inn at Old Bahama Bay,,Bahamas,26.7002815,-78.9913673,medium,55,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/9670247817,Sea Star,,Bahamas,25.4872342,-76.6319565,high,85,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/9670658017,The Landing Hotel & Restaurant,,Bahamas,25.4998175,-76.6368453,high,75,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/9670696517,The Dunmore Hotel,,Bahamas,25.5021844,-76.6328641,high,80,osm-bahamas-hotel-focused-choice-cala-2026-05-20
node/9670735717,Runaway Hill Inn,,Bahamas,25.4993498,-76.6322619,high,70,osm-bahamas-hotel-focused-choice-cala-2026-05-20
