sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/253251228,Tabajuba Pousada,Ipojuca,Brazil,-8.4832959,-34.9996285,high,100,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/253251360,A Casa Branca,Ipojuca,Brazil,-8.5063817,-35.0060278,high,75,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/253251479,Hotel Summerville,,Brazil,-8.4354287,-34.9809079,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/253251551,Marupiara,,Brazil,-8.4312949,-34.9814223,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/253251562,Nannai Resort & Spa,,Brazil,-8.4325399,-34.9805186,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/253271848,Portal Atlantico,,Brazil,-8.4775277,-34.9989292,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/253406764,Praia do Futuro,,Brazil,-3.7327552,-38.4583392,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/259796163,Solar do Caeté,,Brazil,-1.0572828,-46.7624438,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/259796165,Hotel Aruans,,Brazil,-1.0565336,-46.7633948,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/259796166,Hotel Delta,,Brazil,-1.0573283,-46.7642715,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/259796167,Bragança Palace Hotel,,Brazil,-1.0549047,-46.7650211,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/259796169,Marujo's Suite Hotel,,Brazil,-1.0559409,-46.7675526,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/259796170,Hotel Millenyum,,Brazil,-1.0591565,-46.7682986,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/260585942,Lucian Apart Hotel,,Brazil,-1.0581674,-46.7658589,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/266961354,Alojamento da Universidade Federal do Pará;Centenário da Adesão de Bragança,,Brazil,-1.0573473,-46.7646242,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/270342692,Ibis,Curitiba,Brazil,-25.4244592,-49.2711819,high,85,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/282383609,Pousada das Pedras,,Brazil,-20.5816221,-41.7598805,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/282383817,Grande Hotel Minas Gerais,Guaçuí,Brazil,-20.7729961,-41.6768349,high,85,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/297295195,Hotel e Restaurante Moura,,Brazil,-1.1560058,-46.3537058,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/311245596,Pousada e Restaurante Vista Linda,Domingos Martins,Brazil,-20.3818899,-40.6052022,high,85,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/320548710,Lord Hotel,,Brazil,-2.5288192,-44.3045866,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/321706825,Pousada Lapa Grande,,Brazil,-19.3489108,-43.6411842,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322322649,Pousada Varandas da Serra,,Brazil,-19.3207149,-43.6099317,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322323100,Pousada Entre Folhas,,Brazil,-19.3215874,-43.6117285,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322323159,Pouso Cipó,,Brazil,-19.3236384,-43.6135738,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322323185,Pousada Villa Verde Chalés,,Brazil,-19.3284606,-43.6158838,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322323326,Pousada Ecobamboo,,Brazil,-19.3307563,-43.6193149,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322535317,Pousada Vilarejo da Serra,,Brazil,-19.3203462,-43.6098095,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322535352,Pousada Fazenda do Engenho,,Brazil,-19.3387484,-43.6077927,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322535806,Pousada Renascer,,Brazil,-19.3361897,-43.6222754,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322535809,Pousada Village da Serra,,Brazil,-19.331857,-43.6193657,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322536311,Pousada Mangueira,,Brazil,-19.333052,-43.6214535,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322536323,Pousada Recanto da Serra,,Brazil,-19.3339815,-43.6209962,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322536598,Pousada Bela Vista,,Brazil,-19.3376463,-43.6323557,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322551701,Pousada Adega Cipó,,Brazil,-19.3371586,-43.6264022,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322551702,Pousada Jardim de Minas,,Brazil,-19.3365533,-43.6282313,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322551708,Pousada do Matuto,,Brazil,-19.337074,-43.6296164,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322551727,Pousada Aconchego,,Brazil,-19.3378643,-43.6298225,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322551742,Pousada das Flores Piedade,,Brazil,-19.3361107,-43.6245207,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
node/322551746,Pousada Estalagem da Serra,,Brazil,-19.3364293,-43.6236028,medium,55,osm-brazil-hotel-focused-choice-cala-2026-05-20
