sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/252528804,Le Meridien Hotel,Santiago,Chile,-33.438441,-70.6369183,high,100,osm-chile-hotel-focused-choice-cala-2026-05-20
node/280813433,Hotel Portillo,,Chile,-32.8351967,-70.1297613,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/290057441,Hotel Valle Nevado,,Chile,-33.3532851,-70.2485457,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/291684145,Refugio Escuela de Alta Montaña - Ejercito de Chile,,Chile,-32.845877,-70.1289385,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/298973459,NH Collection Hotels,Las Condes,Chile,-33.4165667,-70.6049608,high,85,osm-chile-hotel-focused-choice-cala-2026-05-20
node/307907344,Tatio,,Chile,-23.6652099,-70.4042697,medium,60,osm-chile-hotel-focused-choice-cala-2026-05-20
node/311182115,Hostal del Centro/ Downtown Hostel,,Chile,-53.1564377,-70.9067508,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/311293399,Hotel Mediterráneo,,Chile,-33.0182285,-71.5511711,high,70,osm-chile-hotel-focused-choice-cala-2026-05-20
node/311431245,La Araucana - Jamon Pan y Vino,,Chile,-36.9104966,-71.4812566,high,70,osm-chile-hotel-focused-choice-cala-2026-05-20
node/313102056,Hotel Gala,,Chile,-33.0224238,-71.5584846,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/317917047,Refugio Vertice Paine Grande,,Chile,-51.0726521,-73.0937822,high,80,osm-chile-hotel-focused-choice-cala-2026-05-20
node/317917150,Andenrose,Curacautin,Chile,-38.4646853,-71.7628181,high,75,osm-chile-hotel-focused-choice-cala-2026-05-20
node/321694484,La Joya del Mar,,Chile,-36.0778249,-72.7926978,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/327831870,Hotel Isabel Riquelme,,Chile,-36.6075597,-72.1032097,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/336978975,El Navegante B&B,,Chile,-33.0419741,-71.6273337,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/336981046,Harrington,Valparaíso,Chile,-33.0424758,-71.6278259,high,75,osm-chile-hotel-focused-choice-cala-2026-05-20
node/336981236,Allegretto B&B,,Chile,-33.0434807,-71.6288758,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/336981395,La Maja,,Chile,-33.0433699,-71.6289731,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/336982048,Hotel Casa Higueras,Valparaíso,CL,-33.0406733,-71.6306422,high,100,osm-chile-hotel-focused-choice-cala-2026-05-20
node/336982270,Zero Hotel,,Chile,-33.0420528,-71.6298427,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/336982971,Hotel Casa Thomas Somerscales,,Chile,-33.0432474,-71.6299975,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/336983268,Hostal Morgan,,Chile,-33.0441829,-71.6287757,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/355350350,Hotel Termas de Puyehue,,Chile,-40.7117682,-72.3284966,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/356614771,Hostal Los Delfines,,Chile,-33.0135777,-71.5502534,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/363389497,Compass del Sur,Puerto Varas,CL,-41.3139693,-72.9854184,high,75,osm-chile-hotel-focused-choice-cala-2026-05-20
node/363402771,Bellavista,Puerto Varas,CL,-41.3190786,-72.9805244,high,85,osm-chile-hotel-focused-choice-cala-2026-05-20
node/369884354,Albamar,,Chile,-33.0170616,-71.5581189,medium,60,osm-chile-hotel-focused-choice-cala-2026-05-20
node/373489716,Hotel Plaza San Francisco,Santiago,Chile,-33.4436981,-70.6483016,high,100,osm-chile-hotel-focused-choice-cala-2026-05-20
node/385446819,Hostal Cosmos,,Chile,-33.0242211,-71.6418663,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/388246387,Viña City Hostel II,,Chile,-33.0255865,-71.5644259,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/388443693,Puyuhuapi Lodge & Spa,,Chile,-44.4137346,-72.6458648,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/396584090,El Pangue Lodge,Puyuhuapi,Chile,-44.1929958,-72.4909355,high,100,osm-chile-hotel-focused-choice-cala-2026-05-20
node/396630418,Hosteria Alemana,Puyuhuapi,Chile,-44.325361,-72.5608579,high,100,osm-chile-hotel-focused-choice-cala-2026-05-20
node/396630528,Posada Queulat,,Chile,-44.5271942,-72.5348203,high,85,osm-chile-hotel-focused-choice-cala-2026-05-20
node/410592057,Chakana,,Chile,-18.1970495,-69.568549,medium,65,osm-chile-hotel-focused-choice-cala-2026-05-20
node/410708513,Don Raul,San Pedro de Atacama,CL,-22.9115905,-68.203156,high,75,osm-chile-hotel-focused-choice-cala-2026-05-20
node/410708514,Hostelling International,,Chile,-22.9115798,-68.1997033,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/450010786,Hotel Volkanico,,Chile,-38.4391429,-71.8876465,high,70,osm-chile-hotel-focused-choice-cala-2026-05-20
node/460311240,Hotel Tierra del Fuego,,Chile,-53.1598085,-70.9059309,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/461515632,Best Western Hotel Finis Terrae,Punta Arenas,Chile,-53.1601511,-70.9049598,high,100,osm-chile-hotel-focused-choice-cala-2026-05-20
node/470328567,Andes Hostel,,Chile,-33.4367839,-70.6445287,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/470328574,Apart Hotel Bellas Artes,,Chile,-33.4373696,-70.6441589,medium,60,osm-chile-hotel-focused-choice-cala-2026-05-20
node/470354998,Hotel Diego de Almagro,Santiago,Chile,-33.4447623,-70.6571593,high,75,osm-chile-hotel-focused-choice-cala-2026-05-20
node/470355001,Hotel Galerias,Santiago,Chile,-33.4418787,-70.6476545,high,100,osm-chile-hotel-focused-choice-cala-2026-05-20
node/482808460,Entre Hielos Lodge,,Chile,-47.8009267,-73.5365154,medium,65,osm-chile-hotel-focused-choice-cala-2026-05-20
node/516287206,Hostería Lago Grey,,Chile,-51.1230444,-73.1150298,medium,65,osm-chile-hotel-focused-choice-cala-2026-05-20
node/516315486,Hotel Las Torres,,Chile,-50.9731597,-72.8749759,high,80,osm-chile-hotel-focused-choice-cala-2026-05-20
node/529776701,Hotel Di Torlaschi,Valdivia,CL,-39.8180278,-73.2467563,high,75,osm-chile-hotel-focused-choice-cala-2026-05-20
node/568215997,Casa Aventura,Valparaíso,Chile,-33.0417922,-71.6286883,high,75,osm-chile-hotel-focused-choice-cala-2026-05-20
node/569673569,Posada de la Maillen,,Chile,-41.5555797,-72.9990603,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/577499511,Imperio Suites,,Chile,-33.4501637,-70.6735089,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/584243447,Los Españoles,,Chile,-33.417019,-70.609715,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/590657817,Cirilo Armstrong,,Chile,-33.0445699,-71.6294317,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/598002395,Hotel Guayacán,,Chile,-33.6178079,-70.3497924,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/598043009,Hotel Acacias de Vitacura,,Chile,-33.3789853,-70.5404518,medium,55,osm-chile-hotel-focused-choice-cala-2026-05-20
node/602386337,Hotel Mar y Vino,Pichilemu,Chile,-34.3859086,-72.0042979,high,90,osm-chile-hotel-focused-choice-cala-2026-05-20
