sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/280157359,Hotel San Gabriel,,Colombia,4.7805087,-74.7639099,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/281862216,Mar a Sur,Colombia; Sucre; Santiago de Tolu,Colombia,9.5261824,-75.5846729,high,75,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/290564779,Casa Morales,,Colombia,4.4492656,-75.2475554,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/313367674,Bogotá Marriott,,Colombia,4.6595407,-74.1085721,high,70,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/313845501,Hotel Sol Caribe Campo,,Colombia,12.5383324,-81.7110694,medium,65,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/313845537,Decameron San Luis,,Colombia,12.5140088,-81.7150519,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/313846381,Marazul,,Colombia,12.5579538,-81.7042373,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/317563526,Centro Vacacional La Maria,,Colombia,4.9590628,-74.4332095,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/317888910,Hotel Tequendama,,Colombia,4.6129145,-74.0705744,high,95,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/321596855,Hostal Pipe,,Colombia,4.3720122,-75.9540601,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/330737881,Motel la Siria,,Colombia,4.7842854,-75.7479678,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/333751267,Chocolate Hostel,,Colombia,4.5999936,-74.068419,medium,60,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/334155591,Hosped Colonia,,Colombia,5.6342621,-73.5249221,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/334180903,Macondo Hostel,,Colombia,6.5550238,-73.1312869,high,85,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/334407033,Hotel Andes Plaza,,Colombia,4.6857884,-74.0481972,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/334724123,Hostal Mamallena,,Colombia,10.4224181,-75.5450105,medium,60,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/335679006,Casa Kiwi,,Colombia,6.206573,-75.5661537,high,85,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/335755378,Plantation House,,Colombia,4.6397103,-75.5732096,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/336522018,Koala Inn,,Colombia,1.2125365,-77.2779897,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/339671075,Splendor,,Colombia,4.1503511,-73.6367976,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/356131190,Hotel Windsor House,,Colombia,4.677651,-74.0440023,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/358110291,Hotel Nutibara,,Colombia,6.2523954,-75.5672716,high,70,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/361325694,Radisson,,Colombia,4.6917859,-74.035477,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/368392149,Las Ferias,,Colombia,4.6839202,-74.0905669,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/369791277,Las Ferias6,,Colombia,4.6822392,-74.0868456,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/369791402,Las Ferias1,,Colombia,4.6834453,-74.0888455,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/369791415,Las Ferias7,,Colombia,4.6828636,-74.0891631,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/369791453,Las Ferias3,,Colombia,4.6830176,-74.0890171,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/369791464,Las Ferias4,,Colombia,4.6825129,-74.0888541,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/373583376,El Peñón,,Colombia,4.3956135,-74.657844,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/373583581,Bonanza,,Colombia,4.3850017,-74.6635518,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/385626394,Hotel Beldevere,,Colombia,4.6859643,-74.0501146,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/416641976,Hotel Best Western Sky Medellín,Medellín,Colombia,6.2087387,-75.5594486,high,100,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/419892058,Palma Real,,Colombia,4.689516,-74.098228,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/420291649,Hotel Plaza 26,,Colombia,4.6325602,-74.0857725,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/435208033,Posada Café la Huerta Restaurante,,Colombia,4.8354215,-73.8982947,high,80,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/453972455,Motel Las Fuentes,,Colombia,3.5159162,-76.3941086,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/455979575,Hotel Metropolis,,Colombia,3.4162846,-76.5397724,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/459408225,Hotel Paraiso,,Colombia,5.0070906,-73.4742135,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/471160734,El Viajero,,Colombia,4.4385748,-75.2374245,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
node/471160906,Lusitania,,Colombia,4.4408988,-75.2489999,medium,55,osm-colombia-hotel-focused-choice-cala-2026-05-20
