sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/278454119,Rancho Suizo Hotel,,Costa Rica,9.9586786,-85.6736065,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/278908607,Hotel Manatus,,Costa Rica,10.5624805,-83.5162983,high,80,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/355965229,Hidden Canopy Treehouse Lodge,Santa Elena,Costa Rica,10.3289916,-84.8176131,high,75,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/360010114,Hotel Hacienda Guachipelín,Curubandé,Costa Rica,10.7520777,-85.3796525,high,75,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/360248729,Finca Los Caballos,,Costa Rica,9.6695211,-85.0731536,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/360263642,Hotel Flying Crocodile Lodge,Sámara,Costa Rica,9.8847817,-85.56536,high,90,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/365314376,Termales del Bosque,,Costa Rica,10.3633589,-84.3905543,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/367989605,Rinconcita Lodge,,Costa Rica,10.7328634,-85.3010278,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/378608054,Hotel La Cascada,,Costa Rica,9.6509225,-85.0695598,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/378731318,Dantica Lodge,,Costa Rica,9.5834903,-83.7980213,medium,65,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/382113798,El Encanto B&B,,Costa Rica,9.7395042,-82.8454251,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/430957146,B&B Villa Pacandé,San Isidro,Costa Rica,10.0476452,-84.2093747,high,75,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/431001121,Linda Vista del Norte,,Costa Rica,10.4274099,-84.7462487,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/431001715,Essence Arenal Travellers & Backpackers Resort,,Costa Rica,10.4211323,-84.7543482,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/440290838,Posada Andrea Cristina,,Costa Rica,10.4538335,-84.017913,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/440639690,Casa Marbella,,Costa Rica,10.5424029,-83.5036586,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
node/440649601,Cabinas La Ranita Roja,,Costa Rica,10.5386594,-83.5038845,medium,55,osm-costa-rica-hotel-focused-choice-cala-2026-05-20
