sourceRecordId,sourceName,sourceType,sourceLicense,sourceUrl,rawHotelName,rawAddress,rawCity,rawCountry,rawLatitude,rawLongitude,rawWebsite,rawPhone,rawBrand,importBatchId,importedAt,reviewStatus,possibleMatchConfidence,recommendedAction,candidateDedupeKey,qualityScore,qualityTier,osmElementType,osmTourismTag,missingFields
node/9829772,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/9829772,Bohio Cabarete,,,Dominican Republic,19.7835466,-70.4617385,,,,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,bohio cabarete|19.7835|-70.4617,55,medium,node,hotel,missingCity; missingWebsite; missingPhone
node/270997923,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/270997923,Breezes,,,Dominican Republic,19.7822269,-70.4698729,,,,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,breezes|19.7822|-70.4699,55,medium,node,hotel,missingCity; missingWebsite; missingPhone
node/287032841,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/287032841,Dreams Palm Beach Resort,,,Dominican Republic,18.6507341,-68.3634913,,,,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,dreams palm beach resort|18.6507|-68.3635,55,medium,node,hotel,missingCity; missingWebsite; missingPhone
node/302771731,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/302771731,Natura Park Beach Eco Resort & Spa,"Carretera Cabeza de Toro, Punta Cana, 23000",Punta Cana,Dominican Republic,18.6525071,-68.3662716,https://www.blaunaturapark.com/en/,,Blau Hotels,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,natura park beach eco resort & spa|punta cana|dominican republic,100,high,node,hotel,missingPhone
node/302771860,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/302771860,Catalonia Punta Cana,,,Dominican Republic,18.6398025,-68.3483754,,,Catalonia,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,catalonia punta cana|18.6398|-68.3484,65,medium,node,hotel,missingCity; missingWebsite; missingPhone
node/302771929,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/302771929,Be Live Grand Bavaro,,,Dominican Republic,18.6497257,-68.3619285,,,,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,be live grand bavaro|18.6497|-68.3619,55,medium,node,hotel,missingCity; missingWebsite; missingPhone
node/302800763,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/302800763,Wyndham Alltra Punta Cana,,,Dominican Republic,18.8034072,-68.5747262,,,,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,wyndham alltra punta cana|18.8034|-68.5747,55,medium,node,hotel,missingCity; missingWebsite; missingPhone
node/314357718,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/314357718,Paraiso Caño Hondo,,,Dominican Republic,19.0571229,-69.4545133,https://www.paraisocanohondo.com/home.aspx,+1 829 2598549,,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,paraiso cano hondo|19.0571|-69.4545,80,high,node,hotel,missingCity
node/314446408,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/314446408,Hamaca,,,Dominican Republic,18.4492217,-69.6040935,,,,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,hamaca|18.4492|-69.6041,55,medium,node,hotel,missingCity; missingWebsite; missingPhone
node/340092385,OpenStreetMap,osm,ODbL,https://www.openstreetmap.org/node/340092385,Natura Cabañas,,,Dominican Republic,19.783527,-70.4625371,,,,osm-dominican-republic-hotel-focused-2026-05-20,2026-05-20T19:38:55.292Z,pending,none,needs_research,natura cabanas|19.7835|-70.4625,55,medium,node,hotel,missingCity; missingWebsite; missingPhone
