sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/9829772,Bohio Cabarete,,Dominican Republic,19.7835466,-70.4617385,medium,55,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/270997923,Breezes,,Dominican Republic,19.7822269,-70.4698729,medium,55,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/287032841,Dreams Palm Beach Resort,,Dominican Republic,18.6507341,-68.3634913,medium,55,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/302771731,Natura Park Beach Eco Resort & Spa,Punta Cana,Dominican Republic,18.6525071,-68.3662716,high,100,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/302771860,Catalonia Punta Cana,,Dominican Republic,18.6398025,-68.3483754,medium,65,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/302771929,Be Live Grand Bavaro,,Dominican Republic,18.6497257,-68.3619285,medium,55,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/302800763,Wyndham Alltra Punta Cana,,Dominican Republic,18.8034072,-68.5747262,medium,55,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/314357718,Paraiso Caño Hondo,,Dominican Republic,19.0571229,-69.4545133,high,80,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/314446408,Hamaca,,Dominican Republic,18.4492217,-69.6040935,medium,55,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/340092385,Natura Cabañas,,Dominican Republic,19.783527,-70.4625371,medium,55,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/349121944,Camp David Ranch,Santiago,DO,19.5121629,-70.6366163,high,100,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/349126361,Cabaña Touristicá,,Dominican Republic,19.7176017,-71.3905844,medium,55,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
node/349129742,Hotel RIU Mambo,Maimón,DO,19.8332371,-70.7649585,high,100,osm-dominican-republic-hotel-focused-choice-cala-2026-05-20
