sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/276392139,Zentrum,,Ecuador,-0.2006485,-78.4956052,medium,65,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/336025031,Hostal Belmont Plaza,,Ecuador,-0.2187136,-78.5052618,medium,60,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/337849915,Marina Corina,,Ecuador,0.8709472,-79.8524244,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/337878246,Hostal Montesa,,Ecuador,-2.1878721,-79.8859431,medium,60,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/344295558,Kashama,,Ecuador,-0.0812659,-79.2810079,high,70,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/344296277,Hamadryade Lodge,,Ecuador,-1.0380197,-77.7089063,medium,65,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346391305,Chicago Hostal,Quito,Ecuador,-0.2177478,-78.5038357,high,75,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346391460,Hostal San Blas,,Ecuador,-0.2180825,-78.5053531,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346391705,Secret Garden Quito,,Ecuador,-0.2189848,-78.5045083,medium,60,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346391888,Hostal La Casona,,Ecuador,-0.2196285,-78.5083167,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346391928,Hotel Viena Internacional,,Ecuador,-0.220948,-78.5098919,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346392653,Hotel Auca Continental,,Ecuador,-0.2217227,-78.5129601,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346392783,Hotel Real Audiencia,,Ecuador,-0.2230468,-78.5128704,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346392983,Hotel Huasi Continental,,Ecuador,-0.2228986,-78.5114606,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346394787,La Posada Colonial,,Ecuador,-0.2257037,-78.5120177,high,70,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/346579926,Plaza Grande,,Ecuador,-0.2195057,-78.5119646,high,90,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/347529174,Hostal Jardin del Sol,,Ecuador,-0.2036461,-78.4896699,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/347531482,Travellers Inn Hostel,,Ecuador,-0.1987023,-78.4898501,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/348053681,Hotel San Francisco de Quito,,Ecuador,-0.2224465,-78.5125175,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/355871774,ArcoIris,,Ecuador,-0.4574211,-76.832665,medium,65,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/370915523,Cumilinche Club,,Ecuador,0.8182618,-80.0150654,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/370917335,Albemarle Hotel,,Ecuador,-0.9576984,-90.9661213,high,90,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/406455535,Le Parc,Quito,EC,-0.1838262,-78.4808698,high,85,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/412096481,Hotel Alexander,,Ecuador,-2.1914147,-79.8892527,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/412096482,Hotel Sander,,Ecuador,-2.1914663,-79.8890577,medium,65,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/412096490,Hotel La Torre,,Ecuador,-2.1930563,-79.8822422,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/423215164,Great Hostels Backpackers,,Ecuador,-1.3961852,-78.4186164,high,85,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/424264929,Hostal Tiana,,Ecuador,-0.9323174,-78.6143185,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/424264939,Hotel Central,,Ecuador,-0.9329792,-78.6148718,high,70,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/432739516,Madrid,,Ecuador,-0.1015816,-78.4688045,medium,65,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/441229936,La Isla,,Ecuador,0.1092556,-79.2274121,medium,65,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/441332433,Paraiso del pescador,,Ecuador,0.0119097,-78.6731367,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
node/441403642,Casa Lojana,,Ecuador,-3.9921259,-79.1980265,medium,55,osm-ecuador-hotel-focused-choice-cala-2026-05-20
