sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/290001189,Brisas de Copán,,Honduras,14.8398068,-89.155138,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/310741305,D&D Brewery,Aldea Los Naranjos,HN,14.9466193,-88.0380939,high,85,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/349902628,Hotel El Centro,,Honduras,15.8463973,-87.9459804,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/349902635,Hotel Costa Mar,,Honduras,15.8175456,-87.9359554,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/351130775,Hotel Sherwood,,Honduras,15.7834798,-87.4535978,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/471508245,Rotterdam Beach Hotel,,Honduras,15.7928826,-86.7889501,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/474833573,Motel El Reno,Tegucigalpa,Honduras,14.0417866,-87.2127159,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/477003833,El Reno,,Honduras,14.136873,-87.2820704,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/493064772,Marina Copan,,Honduras,14.8392804,-89.1561957,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/493069376,Graditas Mayas,,Honduras,14.8379616,-89.1575198,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/493075801,Don Udos,,Honduras,14.8365994,-89.1560208,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/493076892,The Camino Maya,,Honduras,14.8382753,-89.1558148,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/493076898,Plaza Copán,,Honduras,14.8386902,-89.1549651,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/493076900,La Casa Rosada,,Honduras,14.839553,-89.1566817,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/493076901,Hotel San José,,Honduras,14.8396018,-89.1564475,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/520954534,Hotel Crowne Plaza,,Honduras,15.5068802,-88.0304126,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/540774682,Hotel Itsmania,,Honduras,14.1099098,-87.2057135,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/561248739,Hotel Presidente,,Honduras,15.7834142,-87.4506499,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/564309538,Maya Vista,,Honduras,15.7845945,-87.4482034,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/565303225,Hotel Mango,Tela,Honduras,15.7824215,-87.4509378,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/565303235,Veromar,,Honduras,15.7857281,-87.447998,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/565316392,Puerto Rico,,Honduras,15.7844466,-87.4521262,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/566262943,Hotel San Juan,,Honduras,14.0320864,-86.5701011,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/672173431,Sinaí,,Honduras,15.7811375,-87.44954,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/672173435,Playa Bonita,,Honduras,15.7788971,-87.4647857,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/686682922,Hotel Karen,,Honduras,15.7842276,-87.4514228,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/738726875,Motel RAM,,Honduras,15.7843824,-87.4270011,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/741965702,Hotel Italia,La Ceiba,Honduras,15.7865864,-86.7904908,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/746013221,Hotel,,Honduras,16.0891323,-86.8919298,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/810765154,La Posada del Angel,,Honduras,14.158531,-87.0415608,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/810765174,Hotel Villas de Valle,,Honduras,14.1642901,-87.0443453,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/977786002,Lonestar Hotel,,Honduras,16.063962,-86.9639644,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/977864947,Hotel Kayla II,,Honduras,16.0639084,-86.9655166,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1170972026,Hotel Kayla,,Honduras,16.0640947,-86.9637905,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1218141805,Hotel Utila,,Honduras,16.0975629,-86.8969487,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1234136149,Hotel Erick,,Honduras,14.5905728,-88.5810996,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1234171690,Hotel Mejia Batres,,Honduras,14.308299,-88.1785714,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1235429258,Via Via,,Honduras,14.8379362,-89.1571228,high,80,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1316677531,Hotel Olanchito,,Honduras,15.4852577,-86.5677763,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1378706387,Casa de Café,,Honduras,14.8363514,-89.1590687,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1378706391,Iguana Azul,,Honduras,14.8364002,-89.1588523,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1416739061,Posada de Doña Estéfana,,Honduras,14.11503,-87.113457,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1452326782,Villas Julie,,Honduras,15.7801382,-87.4767997,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1711192579,Colibri-Hill Resort,,Honduras,16.0986527,-86.8992784,high,70,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1832126699,Gran Hotel Yadaly,,Honduras,15.6572267,-86.0048155,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1945291479,Hotel Elvir,,Honduras,14.7680973,-88.7804525,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1978635959,Hotel Guadalupe,,Honduras,14.0987883,-87.1991437,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1978638451,Dos Molinos,San Pedro Sula,Honduras,15.4954125,-88.0300948,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/1994566103,Tamarindo Hostal,,Honduras,15.5137889,-88.0299339,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2130801890,Tobri Divers,,Honduras,16.3220366,-86.5068895,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2457924111,Hotel Yuscarán,,Honduras,13.9431312,-86.8503088,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2457941034,Hotel Isis,,Honduras,13.8615825,-86.5525055,medium,65,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2460734266,El Clavijo del Lago,,Honduras,14.9027742,-87.9539398,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2461811389,Hotel Nuevo Boston,,Honduras,14.1079424,-87.2080054,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2615852452,Luna Beach Resort,,Honduras,16.2947696,-86.5948078,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2615852457,Sunset House,,Honduras,16.2882729,-86.5960579,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2620005645,West Bay Lodge,,Honduras,16.2739304,-86.5969903,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2677291280,Lawson Rock,,Honduras,16.338414,-86.55319,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2717966347,Caye Harbour Lodge,,Honduras,16.3545182,-86.4484134,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/2795140174,Hotel Yaxkin,Copan Ruina,Honduras,14.8390013,-89.1580304,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3091958650,Hotel America,,Honduras,14.0533711,-87.222164,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3118484340,Portal del Ángel,Tegucigalpa,Honduras,14.1008604,-87.1941807,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3134335165,Hotel Casa del Arbol Galerias,San Pedro Sula,Honduras,15.535086,-88.0325614,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3169593816,Las brisas,,Honduras,13.2932479,-87.1781472,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3171513035,Hotel Clarion,,Honduras,15.5057068,-88.0380124,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3199422674,Sueno del Mar,,Honduras,16.2988774,-86.5945321,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3200854449,Comayagua Golf Club,,Honduras,14.4713695,-87.6158868,high,70,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3237279614,Villa Montecarlo,Tegucigalpa,Honduras,14.0669253,-87.2803146,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3237280646,Tapias,Tegucigalpa,Honduras,14.0665135,-87.2850611,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3287918261,Hotel La Posada,,Honduras,14.8395299,-89.1558731,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3288877369,Hotel Los Jicaros,San Pedro Sula,Honduras,15.5076226,-88.0298891,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3422750524,Turtle Bay privat house,,Honduras,15.9716408,-86.4782011,high,70,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3445784254,Splash Inn,,Honduras,16.303194,-86.5936752,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3711389516,La Magrugada,,Honduras,15.5126548,-88.0280495,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3711395266,Hotel Guancascos,,Honduras,14.5878005,-88.5838145,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3845679009,Hotel Montecristo,El Progreso,Honduras,15.4039052,-87.8062096,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3887647425,Hotel Revilla,EL Zamorano,Honduras,14.0065107,-87.0304183,high,85,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3927433161,Calm Waters Resort,El Porvenir,Honduras,15.7513531,-86.9080369,high,100,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3927454516,Pico Playa Colonia,El Porvenir,Honduras,15.7556689,-86.9264522,high,100,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/3962904163,Hotel Ocotepeque,,Honduras,14.436674,-89.1827182,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4015456290,Plaza San Pablo,,Honduras,14.5963586,-87.8311112,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4031227333,Cocolobo,,Honduras,16.309204,-86.5943136,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4057017682,Hotel Marbella,,Honduras,14.8397761,-89.1565522,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4057017683,Hotel Marjenny,,Honduras,14.83988,-89.156992,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4058928691,Hotel Texas Guest House,,Honduras,14.1194053,-87.1064487,high,80,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4139432806,The Resort at Palmetto Bay,,Honduras,16.3643437,-86.4881638,high,80,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4165960720,Hotel Las Cabañitas Del Lago,,Honduras,14.8056388,-87.9725155,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4179272940,Hotel Paraiso,Siguatepeque,Honduras,14.5966888,-87.8525832,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4179727005,Hotel Corteza,,Honduras,14.1070881,-87.2081069,medium,60,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4180013404,Motel Franco,,Honduras,15.4920833,-87.750228,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4181789979,Los Hermanos,,Honduras,14.7175399,-87.9665614,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4182445749,Hotel Los Andes,,Honduras,14.0967452,-87.2208487,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4183833481,Hotel San Pedro,,Honduras,14.0970045,-87.2101106,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4183905815,Hotel Centroamericano,,Honduras,14.1006814,-87.2095958,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4201243362,Belly Center,Tela,Honduras,15.7832118,-87.4514437,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4201307332,Hotel Plaza,Tela,Honduras,15.7828043,-87.4501277,high,75,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4202196889,Veranda Hotel,,Honduras,15.5019054,-88.0285077,medium,60,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4213243090,Hotel Boutique La Primavera,,Honduras,15.4895122,-88.0433815,medium,60,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4220763479,Jungle River Lodge,,Honduras,15.7268676,-86.7407021,medium,60,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4225364592,Apartamentos Morales,,Honduras,14.5866219,-88.5814814,high,70,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4269806692,1877 Hostel,,Honduras,15.7741143,-86.790474,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4274049909,Plum Tree Apts,,Honduras,16.1011218,-86.897156,medium,60,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4274273296,Rose's Inn Apts,,Honduras,16.1012906,-86.8973972,medium,60,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4283472092,Hotel Nan Kin,,Honduras,14.1056038,-87.1981485,medium,60,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4283545292,Hotel Tosta,,Honduras,14.4835554,-87.9832361,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4283555091,Hotel Central,,Honduras,14.4861978,-87.9821348,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4372482390,montes de sinai,,Honduras,15.512281,-88.038067,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4373002734,Hotel Alondras,,Honduras,14.7663744,-88.7800511,high,70,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4379594897,Margarita Bay Utila,,Honduras,16.0965504,-86.902397,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4412560243,Hotel Alexander,,Honduras,16.4396276,-85.8864723,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4454379989,Hotel Alvarez,,Honduras,15.7872261,-86.7925026,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4455900189,Hotel Caribe,,Honduras,15.7868439,-86.792703,medium,55,osm-honduras-hotel-focused-choice-cala-2026-05-20
node/4458079890,Casa de los Vázquez,,Honduras,15.421478,-87.7990919,medium,60,osm-honduras-hotel-focused-choice-cala-2026-05-20
