sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/245789465,Marriott Puebla Mesón del Ángel,,Mexico,19.092894,-98.2302764,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/245842371,Holiday Inn Express,,Mexico,31.7374722,-106.4510907,medium,65,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/276198795,Viva Wyndham Maya,,Mexico,20.6068661,-87.0898595,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/276201829,Viva Wyndham Azteca,Playa del Carmen,Mexico,20.6107871,-87.0870982,high,75,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/290904557,The Lodge at Creel,,Mexico,27.7488682,-107.6343489,medium,65,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/291425189,Agua Blanca,,Mexico,19.4789819,-100.4943747,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/292271816,The Lodge At Uxmal,,Mexico,20.3616502,-89.7674727,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/297648577,Posada Barrancas,,Mexico,27.5117212,-107.836066,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/297648710,Mansion Tarahumara,,Mexico,27.5097419,-107.8384693,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/297860708,Casa del Balam,Mérida,MX,20.9699698,-89.6224164,high,100,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/297860850,Hotel del Gobernador,Mérida,MX,20.9693526,-89.6265363,high,100,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/297861165,Gamma Mérida El Castellano,Mérida,MX,20.9702663,-89.624648,high,100,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/298252320,Hotel Cabildo,,Mexico,14.9083302,-92.2629637,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/311384274,Parador San Juan de Dios,,Mexico,16.7462016,-92.629527,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/313597328,Quinta Edén Villahermosa,,Mexico,18.0012215,-92.9563491,medium,65,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/313597480,Hotel Crowne Plaza,,Mexico,18.0024297,-92.9578527,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
node/313597949,Hotel Holiday Inn Express,,Mexico,18.0024084,-92.9569192,medium,55,osm-mexico-hotel-focused-choice-cala-2026-05-20
