sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/247030224,Hotel Versalles,,Panama,7.9658602,-80.4373836,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/339990591,Hostal Hansi,,Panama,9.3390789,-82.2403343,high,70,osm-panama-hotel-focused-choice-cala-2026-05-20
node/341298410,Albergue Navas,,Panama,8.6358282,-80.5881123,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/353309830,The Purple House Hostel,David Sur,Panama,8.4065415,-82.4367433,high,75,osm-panama-hotel-focused-choice-cala-2026-05-20
node/580845689,Lula's,,Panama,9.3431771,-82.2434152,high,70,osm-panama-hotel-focused-choice-cala-2026-05-20
node/580848681,Las Lajas Beach Resort,,Panama,8.1704404,-81.8689053,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/586467260,Mondo Taitu,,Panama,9.3426698,-82.2419973,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/586484766,Luna's Castle,,Panama,8.9537832,-79.5363068,high,75,osm-panama-hotel-focused-choice-cala-2026-05-20
node/668984893,Casa Max,Bocas Town,Panama,9.3425142,-82.241832,high,100,osm-panama-hotel-focused-choice-cala-2026-05-20
node/669005214,Dim's Hostal,Pedasí,Panama,7.5313863,-80.026983,high,75,osm-panama-hotel-focused-choice-cala-2026-05-20
node/669006733,Las Veranas,,Panama,8.3735735,-80.1076096,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/669014185,El Potosi,,Panama,8.5992519,-80.1463293,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/876743969,Avalon Hotel,,Panama,9.0919613,-79.5332549,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/901861455,Buenaventura,,Panama,8.3343534,-80.1729348,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1026979160,Hostal Casa de Campo,,Panama,9.1844434,-79.413383,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1027110679,Burbayar Lodge,,Panama,9.3159869,-78.9908031,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1028381991,Campestre,,Panama,8.6140298,-80.1130298,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1028636472,Vista de Lago,,Panama,8.1559043,-81.0441437,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1030023465,Los Quetzales Lodge and Spa,,Panama,8.8696071,-82.5668703,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1053485929,Heliconia,,Panama,7.5920642,-80.9605975,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1282121593,Anton Valley,,Panama,8.6059535,-80.1345734,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1298353561,Riande Aeropuerto,,Panama,9.0704064,-79.4028033,medium,55,osm-panama-hotel-focused-choice-cala-2026-05-20
node/1376736411,Cabañas Narasgandup Bipi,,Panama,9.4700873,-78.8426976,high,70,osm-panama-hotel-focused-choice-cala-2026-05-20
