sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/260396364,Hotel Majoro,,Peru,-14.8432721,-74.9724993,high,85,osm-peru-hotel-focused-choice-cala-2026-05-20
node/415164647,Hostal Quillabamba,,Peru,-12.8658579,-72.6959075,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/415166340,Hospedaja Ñustra,,Peru,-13.257751,-72.2643028,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/419335237,DoubleTree by Hilton Iquitos,Iquitos,Peru,-3.7488964,-73.2441428,high,100,osm-peru-hotel-focused-choice-cala-2026-05-20
node/427042698,Victoria Regia,Iquitos,PE,-3.7535025,-73.2468912,high,100,osm-peru-hotel-focused-choice-cala-2026-05-20
node/440521634,Hospedaje Ttica-Pata,,Peru,-13.5315328,-71.9105855,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/443137483,Hostal Los Angeles,,Peru,-16.2137795,-69.4594446,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/444056858,Hospedaje El Negrito,,Peru,-13.5250348,-71.9895849,medium,65,osm-peru-hotel-focused-choice-cala-2026-05-20
node/448800108,Pueblo Amono,,Peru,-13.5351536,-71.9086734,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/485321326,Hostal El,,Peru,-3.6994816,-80.709344,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/485321722,Hotel Playa Lucero,,Peru,-3.7032497,-80.7147162,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/519537886,Hotel La Casona,,Peru,-3.7483134,-73.2444087,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/532738403,Kawai,,Peru,-12.7011546,-76.6433395,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/559281074,Puerto Mirador,,Peru,-6.0301722,-76.9621778,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/563951845,La Portada,,Peru,-13.707727,-76.2052654,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/588525913,Hostal La Union,,Peru,-13.467625,-72.1346017,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/624864573,Alice,,Peru,-12.0407293,-77.0894536,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/633524557,Hotel Las Orquideas,,Peru,-6.2292636,-77.874921,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/633940881,Refugio del Pirata,,Peru,-13.8344215,-76.2494403,high,80,osm-peru-hotel-focused-choice-cala-2026-05-20
node/633940911,Hostal Roma,Cercado,Peru,-12.0455044,-77.0344162,high,75,osm-peru-hotel-focused-choice-cala-2026-05-20
node/633941394,Hostal Colonial,,Peru,-8.1095693,-79.0275148,medium,60,osm-peru-hotel-focused-choice-cala-2026-05-20
node/633941507,Gran Hostal Diego,,Peru,-5.7094414,-78.8065887,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/633941522,Hostal el Jacal,,Peru,-9.5300416,-77.5254715,high,70,osm-peru-hotel-focused-choice-cala-2026-05-20
node/633941531,Hospedaje Los Jasmines,,Peru,-7.1570173,-78.5153985,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/698778298,Dolce Vita,,Peru,-10.6033937,-75.4420604,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/738932004,Centro Yanachaga,,Peru,-10.418633,-75.5186071,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/775293025,La Casa de Melgar,,Peru,-16.3961581,-71.5334186,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
node/775337402,El Albergue,,Peru,-13.2627204,-72.2706097,medium,55,osm-peru-hotel-focused-choice-cala-2026-05-20
