sourceRecordId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,qualityTier,qualityScore,importBatchId
node/299538382,Moonlight Mountain,,Trinidad and Tobago,11.1997484,-60.7409454,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1318058603,Crew's Inn,Chaguaramas,TT,10.6786258,-61.6318286,high,75,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1318100894,Auroras Guest House,GRAN LAGOON MAYARO,TT,10.240156,-61.002873,high,75,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1318105943,Melbourne Inn,PORT OF SPAIN,TT,10.6586692,-61.5212063,high,75,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1318133267,D's Seatreat- Mayaro Beach House,Mayaro,TT,10.286996,-60.999106,high,85,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1318156493,The Villa Maria Inn,Maraval,TT,10.7150541,-61.5061429,high,75,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1318271138,#45 PLA Apartments,Couva,TT,10.427708,-61.47587,high,75,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1327509283,Nice Food Chinese Restaurant,AROUCA,TT,10.633868,-61.33432,high,95,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1327514704,Adventure Farm and Nature Reserve,PLYMOUTH,TT,11.221035,-60.765243,high,75,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1397905629,Southern Guest House,,Trinidad and Tobago,10.317856,-61.4161005,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1458144898,The Mount Irvine Bay Hotel & Golf Club,MOUNT IRVINE,Trinidad and Tobago,11.1902668,-60.7942946,high,90,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1525862962,Green Oak Hotel,San Juan,TT,10.6614949,-61.4475587,high,85,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1535084076,Easter Inn and Guest House,,Trinidad and Tobago,10.6340551,-61.3302441,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1554836007,Marianne Beach Resort Restaurant and Guest House,,Trinidad and Tobago,10.7962408,-61.3029748,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1591916989,Royal Hotel,,Trinidad and Tobago,10.2806547,-61.4538745,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1601851125,Tradewinds Hotel,,Trinidad and Tobago,10.2906018,-61.448689,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1620686781,Johnston Apartments,,Trinidad and Tobago,11.155528,-60.8396816,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1621045481,Airport View GuestHouse,Saint Helena,Trinidad and Tobago,10.5820226,-61.3400064,high,75,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1624645932,Belleviste Apartments,,Trinidad and Tobago,11.1514478,-60.8440016,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1624646035,CAMACHO APARTMENT,,Trinidad and Tobago,11.1524553,-60.8445702,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1624654753,HARRY'S GUESTHOUSE,,Trinidad and Tobago,11.1568552,-60.8365021,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
node/1624654758,WOODS CASTLE HOLIDAY RESORT,,Trinidad and Tobago,11.1566657,-60.8369741,medium,55,osm-trinidad-and-tobago-hotel-focused-choice-cala-2026-05-20
