candidateAirtableRecordId,sourceRecordId,osmSourceUrl,wikidataQid,wikidataUrl,candidateHotelName,wikidataHotelName,candidateCountry,candidateCity,candidateLatitude,candidateLongitude,candidateWebsite,candidatePhone,candidateBrand,wikidataWebsite,wikidataOperator,wikidataOwner,wikidataWikipediaUrl,matchScore,matchReason,evidenceCount,sourceCount,promotionEligibility,promotionRecommendation,reviewRiskLevel,humanReviewNotes,proposedDealalityHotelId,proposedVerifiedHotelName,proposedVerificationStatus
recVYzMyKPJdtRrrQ,way/309228614,https://www.openstreetmap.org/way/309228614,Q111414795,https://www.wikidata.org/wiki/Q111414795,Majestic Elegance Punta Cana,Majestic Elegance Punta Cana,Dominican Republic,Punta Cana,18.7297268,-68.4667024,https://www.majestic-resorts.com/punta-cana/resorts/majestic-elegance-punta-cana,+1 888-477-7227,Majestic Resorts,https://www.majestic-resorts.com/punta-cana/resorts/majestic-elegance-punta-cana,,,,130,name=1.00; city; geo=29m; website,2,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-majestic-elegance-punta-cana-09228614,Majestic Elegance Punta Cana,pending_review
recZkp2yiMzl5G1Ys,node/8116547995,https://www.openstreetmap.org/node/8116547995,Q135266155,https://www.wikidata.org/wiki/Q135266155,Majestic Mirage Punta Cana - All-Suite Resort,Majestic Mirage Punta Cana - All-Suite Resort,Dominican Republic,Punta Cana,18.7285006,-68.4657023,https://www.majestic-resorts.com/punta-cana/resorts/majestic-mirage-punta-cana-all-suite-resort,+1 888-477-7227,Majestic Resorts,https://www.majestic-resorts.com/punta-cana/resorts/majestic-mirage-punta-cana-all-suite-resort,,,,130,name=1.00; city; geo=43m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-majestic-mirage-punta-cana-all-suite-res-16547995,Majestic Mirage Punta Cana - All-Suite Resort,pending_review
reckZt3b9CXHzsLKe,way/110955858,https://www.openstreetmap.org/way/110955858,Q135652587,https://www.wikidata.org/wiki/Q135652587,Iberostar Selection Bavaro Suites,Iberostar Selection Bavaro Suites,Dominican Republic,Punta Cana,18.7132868,-68.4504159,https://www.iberostar.com/en/hotels/punta-cana/iberostar-selection-bavaro-suites/,+1 809-221-6500,Iberostar Hotels & Resorts,https://www.iberostar.com/en/hotels/punta-cana/iberostar-selection-bavaro-suites/,,Iberostar Hotels & Resorts,,130,name=1.00; city; geo=37m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-iberostar-selection-bavaro-suites-10955858,Iberostar Selection Bavaro Suites,pending_review
recACeZOdcNWn1K3n,way/27957139,https://www.openstreetmap.org/way/27957139,Q136556100,https://www.wikidata.org/wiki/Q136556100,Hotel Riu Palace Macao,Hotel Riu Palace Macao,Dominican Republic,Punta Cana,18.7203349,-68.4555171,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-macao/,+1 809-221-7171,RIU,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-macao,RIU Hotels,,,130,name=1.00; city; geo=19m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-hotel-riu-palace-macao-27957139,Hotel Riu Palace Macao,pending_review
recf0ix5UJsuyNtYP,relation/1922795,https://www.openstreetmap.org/relation/1922795,Q111414807,https://www.wikidata.org/wiki/Q111414807,Hotel Riu Palace Bavaro,Hotel Riu Palace Bavaro,Dominican Republic,Punta Cana,18.7181,-68.4539523,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-bavaro,+1 809-221-2290,RIU,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-bavaro,RIU Hotels,,,117,name=1.00; city; geo=174m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-hotel-riu-palace-bavaro-n1922795,Hotel Riu Palace Bavaro,pending_review
recN7A3tG9DKvK9SP,way/27956819,https://www.openstreetmap.org/way/27956819,Q135551961,https://www.wikidata.org/wiki/Q135551961,Iberostar Waves Punta Cana,Iberostar Waves Punta Cana,Dominican Republic,Punta Cana,18.7173048,-68.4523189,https://www.iberostar.com/en/hotels/punta-cana/iberostar-waves-punta-cana/,+1-809-221-6500,Iberostar Hotels & Resorts,https://www.iberostar.com/en/hotels/punta-cana/iberostar-waves-punta-cana/,,Iberostar Hotels & Resorts,,117,name=1.00; city; geo=236m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-iberostar-waves-punta-cana-27956819,Iberostar Waves Punta Cana,pending_review
rec5fGkME0PGjvIzF,way/27956853,https://www.openstreetmap.org/way/27956853,Q135645881,https://www.wikidata.org/wiki/Q135645881,Iberostar Waves Dominicana,Iberostar Waves Dominicana,Dominican Republic,Punta Cana,18.7164959,-68.4512567,https://www.iberostar.com/en/hotels/punta-cana/iberostar-dominicana/,+1 809-221-6500,Iberostar Hotels & Resorts,https://www.iberostar.com/en/hotels/punta-cana/iberostar-waves-dominicana/,,Iberostar Hotels & Resorts,,117,name=1.00; city; geo=235m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-iberostar-waves-dominicana-27956853,Iberostar Waves Dominicana,pending_review
reckU9zfnI2Gt0UKT,way/142306646,https://www.openstreetmap.org/way/142306646,Q111414801,https://www.wikidata.org/wiki/Q111414801,Hotel Riu Palace Punta Cana,Hotel Riu Palace Punta Cana,Dominican Republic,Punta Cana,18.7233055,-68.4589037,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-punta-cana/,+1 809-687-4242,RIU,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-punta-cana,RIU Hotels,,,117,name=1.00; city; geo=147m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-hotel-riu-palace-punta-cana-42306646,Hotel Riu Palace Punta Cana,pending_review
recxxuimw61QQWwby,way/309203833,https://www.openstreetmap.org/way/309203833,Q135526771,https://www.wikidata.org/wiki/Q135526771,JOIA Bávaro by Iberostar,JOIA Bávaro by Iberostar,Dominican Republic,Punta Cana,18.7124876,-68.4478444,https://www.iberostar.com/en/hotels/punta-cana/joia-bavaro-by-iberostar/,+1 809-221-6500,Iberostar Hotels & Resorts,https://www.iberostar.com/en/hotels/punta-cana/joia-bavaro-by-iberostar/,,Iberostar Hotels & Resorts,,117,name=1.00; city; geo=136m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-joia-bavaro-by-iberostar-09203833,JOIA Bávaro by Iberostar,pending_review
recgEdGqf4lGHDJA0,way/110962847,https://www.openstreetmap.org/way/110962847,Q135652670,https://www.wikidata.org/wiki/Q135652670,Iberostar Selection Coral Bávaro,Iberostar Selection Coral Bávaro,Dominican Republic,Punta Cana,18.7170623,-68.4502253,https://www.iberostar.com/en/hotels/punta-cana/iberostar-selection-coral-bavaro/,+1 809-221-6500,Iberostar Hotels & Resorts,https://www.iberostar.com/en/hotels/punta-cana/iberostar-selection-coral-bavaro/,,Iberostar Hotels & Resorts,,117,name=1.00; city; geo=172m; website,1,2,eligible_for_review,promote_after_review,low,Two-source OSM+Wikidata validation present; human sign-off required.,dh-do-iberostar-selection-coral-bavaro-10962847,Iberostar Selection Coral Bávaro,pending_review
