candidateRecordId,verifiedHotelName,verifiedDedupeKey,osmCountry,matchedLegacyRecordId,matchScore,status
rec016JgYG9LfmE9u,Hotel Oviedo,hotel oviedo|acapulco|mexico,Mexico,recSgph8EuTYl6lPz,100,written
rec0J8vKJ3bPOwl79,Hotel Grand Reyes,hotel grand reyes|monterrey|mexico,Mexico,recBal5hNRV9uLJF5,100,written
rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,quality inn monterrey la fe|guadalupe|mexico,Mexico,recYWzUR6gif6SobH,100,written
rec0hiKesf9FpS7xV,Hotel San Luis Lindavista,hotel san luis lindavista|culiacan|mx,MX,recCvai7WKaArDkdF,100,written
rec0wfy4fw8nKPCGH,Hyatt Ziva Cancun,hyatt ziva cancun|cancun|mexico,Mexico,recoeBetweOi0KzW7,100,written
rec13cNoNXyupJIAD,Hotel Plaza Magnolias,hotel plaza magnolias|san cristobal de las casas|mexico,Mexico,recC2VmwvCFYDvbDG,100,written
rec1mxL8IlrGg7qj0,Los Patios Hotel,los patios hotel|cabo san lucas|mx,MX,recPOuMJiCcvaWbCc,100,written
rec20LxaVdycTyu1t,Hotel Avenida,hotel avenida|campeche|mx,MX,recZsMRiCCY79qv9o,100,written
rec2DYHDcC737oDja,Travohotel Monterrey Histórico,travohotel monterrey historico|monterrey|mx,MX,recRIcNPOGbw9eLwD,100,written
rec2EXafuUgoPbxNr,Sunscape Dorado Pacifico Ixtapa,sunscape dorado pacifico ixtapa|ixtapa zihuatanejo|mexico,Mexico,recIUPC8F5gmjwthy,100,written
rec31tymnW5mtoMrg,Emporio Cancun,emporio cancun|cancun|mexico,Mexico,recp0SWsVwAdA1I8l,100,written
rec3pK9PlkJhiMl4d,Hotel Kabii,hotel kabii|oaxaca|mx,MX,recpw7F1LnjkjcfS9,100,written
rec4RaIkInvsWInw2,Hotel Suites Flamboyanes,hotel suites flamboyanes|merida|mexico,Mexico,recasIskFXmEVtlPu,100,written
rec4tcSW5rvRfEzjg,Hotel Gran Centenario,hotel gran centenario|merida|mexico,Mexico,recnV9EwcPrSUtPmD,100,written
rec4vYY4nWha8Q2mK,Hotel Don Cenobio,hotel don cenobio|villa de mitla|mx,MX,recrNECm9gPblfdxj,100,written
rec5EdxT596zMPpuQ,Hotel Río Vista,hotel rio vista|el fuerte|mexico,Mexico,recFDjIsixJcjRBrB,100,written
rec5WDWS7wv7MWpKL,Holiday Inn Express Toluca,holiday inn express toluca|toluca|mexico,Mexico,recJrc3Ga4eQmq6Cx,100,written
rec5pewAqXvm1jsrJ,Santa Ana Hotel,santa ana hotel|merida|mexico,Mexico,recJEuu0L6aut46bc,100,written
rec63w2VOc0I756uX,Hotel Los Andes,hotel los andes|coatzacoalcos|mexico,Mexico,reccO0wEiQYCqSTqf,100,written
rec64ZClnjssGr68O,Hotel Victoria,hotel victoria|taxco de alarcon|mexico,Mexico,rec9kiFTXghkHWxsl,100,written
