verifiedHotelName,verifiedDedupeKey,wikidataQid,candidateAirtableRecordId,wouldWrite
Majestic Elegance Punta Cana,majestic elegance punta cana|punta cana|dominican republic,Q111414795,recVYzMyKPJdtRrrQ,written
Majestic Mirage Punta Cana - All-Suite Resort,majestic mirage punta cana - all-suite resort|punta cana|dominican republic,Q135266155,recZkp2yiMzl5G1Ys,written
Iberostar Selection Bavaro Suites,iberostar selection bavaro suites|punta cana|dominican republic,Q135652587,reckZt3b9CXHzsLKe,written
Hotel Riu Palace Macao,hotel riu palace macao|punta cana|dominican republic,Q136556100,recACeZOdcNWn1K3n,written
Hotel Riu Palace Bavaro,hotel riu palace bavaro|punta cana|dominican republic,Q111414807,recf0ix5UJsuyNtYP,written
Iberostar Waves Punta Cana,iberostar waves punta cana|punta cana|dominican republic,Q135551961,recN7A3tG9DKvK9SP,written
Iberostar Waves Dominicana,iberostar waves dominicana|punta cana|dominican republic,Q135645881,rec5fGkME0PGjvIzF,written
Hotel Riu Palace Punta Cana,hotel riu palace punta cana|punta cana|dominican republic,Q111414801,reckU9zfnI2Gt0UKT,written
JOIA Bávaro by Iberostar,joia bavaro by iberostar|punta cana|dominican republic,Q135526771,recxxuimw61QQWwby,written
Iberostar Selection Coral Bávaro,iberostar selection coral bavaro|punta cana|dominican republic,Q135652670,recgEdGqf4lGHDJA0,written
Iberostar Waves Costa Dorada,iberostar waves costa dorada|marapica|dominican republic,Q135973434,reciyRD6iAAD6vEr8,written
Hotel Casa Coco,hotel casa coco|boca chica|dominican republic,Q112020305,recdMQywcOyCM5d4n,written
Hotel Riu Bambu,hotel riu bambu|punta cana|dominican republic,Q111414804,recnz3SIPqTXIXXlc,written
Iberostar Hacienda Dominicus,iberostar hacienda dominicus|higuey|dominican republic,Q135669692,rec4jurgCWVpPnjSS,written
Hotel Riu Republica,hotel riu republica|punta cana|dominican republic,Q111414793,recB9c0Z5bxUIDVNn,written
Hotel Riu Naiboa,hotel riu naiboa|punta cana|dominican republic,Q111414805,recK9FMXgzNIM5Mfi,written
Hotel Tropicana Deluxe,hotel tropicana deluxe|punta cana|do,Q111111827,recdvI9be1ggJj4UD,written
Hotel Villa Colonial,hotel villa colonial|santo domingo|do,Q111884825,rec6mHBnFJg31Jans,written
Micro Hotel,micro hotel|santo domingo|dominican republic,Q112020367,recOV9Y7VNUL9c5IB,written
Kaoba Hotel,kaoba hotel|cabarete|dominican republic,Q111884768,recTvmHTxCZ5GikmT,written
JW Marriott Santo Domingo,jw marriott santo domingo|santo domingo|dominican republic,Q111414832,rec7ucMafuU8K6pHQ,written
Hotel Aladino,hotel aladino|santo domingo|dominican republic,Q111884820,recMyT0k49Ybq8YO0,written
Radisson Hotel Santo Domingo,radisson hotel santo domingo|santo domingo|dominican republic,Q111414836,recEwDkaiOJjQVloi,written
Holiday Inn,holiday inn|santo domingo|dominican republic,Q111414834,recI41XdtXlVf7ziU,written
Hard Rock Hotel & Casino Punta Cana - All inclusive,hard rock hotel & casino punta cana - all inclusive|punta cana|dominican republic,Q111414792,recdqw8KZvJUN5GmA,written
Bella Vista,bella vista|santo domingo|dominican republic,Q112020371,recBPgaQpHjB11jcZ,written
Dreams Punta Cana Resort & Spa,dreams punta cana resort & spa|punta cana|dominican republic,Q111414789,rechyvarRE550RVQa,written
Azzurra Aparta Hotel,azzurra aparta hotel|boca chica|dominican republic,Q112020303,recPBrMFrafqtof6c,written
Hotel Villa Capri,hotel villa capri|boca chica|dominican republic,Q111884785,recwsFvI2qhP3lNhs,written
Hotel Palacio,hotel palacio|santo domingo|dominican republic,Q111414845,recmNLKZ7WkuryYdv,written
Hotel Villa La Plantacion,hotel villa la plantacion|las galeras|dominican republic,Q111884808,recKEtAHaeyUKlR1k,written
Hotel BQ;Vent W&P Santo Domingo,hotel bq;vent w&p santo domingo|santo domingo|dominican republic,Q111414838,recQnihApwucfB5w6,written
Hotal San Francisco de Asis,hotal san francisco de asis|santo domingo|dominican republic,Q112020378,reccUVE69TPsbq5m9,written
Crowne Plaza,crowne plaza|santo domingo|dominican republic,Q111414843,recD73GrVBSto0NoS,written
Dreams Dominicus La Romana,dreams dominicus la romana|bahahibe|dominican republic,Q111414783,rece8cjxNMN9zPISn,written
