wikidataQid,wikidataName,wikidataCity,wikidataCountry,wikidataLatitude,wikidataLongitude,wikidataWebsite,matchedStagingRecordId,matchedStagingSourceRecordId,matchedStagingName,matchedStagingCity,matchConfidence,matchScore,matchReason,distanceMeters,nameSimilarity,recommendedAction
Q2033262,"Casa de Campo, Dominican Republic",La Romana,Dominican Republic,18.4,-68.91666667,http://www.casadecampo.com.do/,,node/2110576737,Casa de Campo,,low,40,name=0.75,1940.7385222289497,0.75,needs_research
Q6038750,Natura Park,Punta Cana,Dominican Republic,,,,,node/302771731,Natura Park Beach Eco Resort & Spa,Punta Cana,medium,55,name=0.75; city,,0.75,possible_same_property
Q7065415,Now Larimar Resort,Punta Cana,Dominican Republic,18.68,-68.41583333,http://nowresorts.com/larimar/,,node/1653013577,Secrets Royal Beach Punta Cana,Punta Cana,low,47,city; geo=90m,89.62120826257998,0,likely_new_wikidata
Q7121094,Puntacana Resort & Club,Punta Cana,Dominican Republic,18.539194444,-68.362194444,http://www.puntacana.com,,way/675403679,The Westin Punta Cana - Resort & Club,Punta Cana,low,35,city; geo=611m,610.9109259973532,0.286,likely_new_wikidata
Q19873054,Barceló Bávaro Palace Deluxe,,Dominican Republic,18.663,-68.395,,,node/431025349,Barceló Bávaro Palace Deluxe,,high,77,name=1.00; geo=134m,134.4444623862959,1,likely_same_property
Q56611904,Tortuga Bay,,Dominican Republic,,,,,node/9829772,Bohio Cabarete,,none,10,Weak or no match signals,,0,likely_new_wikidata
Q107040881,Hotel El Conde,Santo Domingo,Dominican Republic,18.47368,-69.88451,,,way/406993692,Hotel Conde,,medium,60,name=0.67; geo=10m,10.27717442765248,0.667,possible_same_property
Q111414766,Playabachata Resort - All Inclusive,,Dominican Republic,19.83371,-70.76715,,,node/354627440,Hotel RIU Merengue,Maimón,low,45,geo=52m,51.84979754473425,0,likely_new_wikidata
Q111414770,Bahia Principe Grand El Portillo,,Dominican Republic,19.32326,-69.49518,,,way/199921835,Gran Bahia Principe El Portillo,,medium,60,name=0.67; geo=58m,57.5198861837798,0.667,possible_same_property
Q111414768,Senator Puerto Plata Spa Resort,,Dominican Republic,19.83366,-70.7698,,,node/354627440,Hotel RIU Merengue,Maimón,low,32,geo=246m,246.03517399503914,0,likely_new_wikidata
Q111414774,Chalet Tropical Bio Hotel,,Dominican Republic,19.291363,-69.203264,,,node/7243024569,Chalet Tropical,,high,75,name=0.75; geo=31m,31.18673398959671,0.75,likely_same_property
Q111414775,Grand Paradise Samana All Inclusive,,Dominican Republic,19.29228,-69.19019,,,way/313829668,Grand Paradise Samana,,high,75,name=0.75; geo=50m,49.53629287962902,0.75,likely_same_property
Q111414772,Hodelpa Centro Plaza,,Dominican Republic,19.45147,-70.70202,,,way/164232205,Hodelpa Centro Plaza Hotel,Santiago de los Caballeros,medium,62,name=0.77; geo=115m,114.75836196653653,0.769,possible_same_property
Q111414776,Casa de Campo Resort & Villas,La Romana,Dominican Republic,18.414169,-68.935294,,,way/758630613,Casa de Campo Resort & Villas,,high,90,name=1.00; geo=29m,28.601902596613325,1,likely_same_property
Q111414777,"Hilton La Romana, an All-Inclusive Family Resort & Waterpark",,Dominican Republic,18.376727,-68.845429,,,way/253125050,Hilton La Romana,,high,75,name=0.75; geo=25m,25.011461178327327,0.75,likely_same_property
Q111414782,Los Flamencos Aparthotel,,Dominican Republic,18.34829,-68.82597,,,node/1600567851,Hotel,,low,40,name=0.75,239366.25314158737,0.75,needs_research
Q111414783,Dreams Dominicus La Romana - All Inclusive,,Dominican Republic,18.345772,-68.81966,,,way/540475898,Dreams Dominicus La Romana,Bahahibe,high,75,name=0.75; geo=39m,38.531598224539934,0.75,likely_same_property
Q111414780,Hilton La Romana All- Inclusive Adult Resort & Spa Punta Cana,,Dominican Republic,18.376722,-68.84542,,,way/253125050,Hilton La Romana,,high,75,name=0.75; geo=24m,23.92789354949813,0.75,likely_same_property
Q111414781,Villa Iguana,,Dominican Republic,18.3675,-68.83886,,,node/3754705960,Bayahibe Guest House,,low,45,geo=19m,18.887075105807718,0,likely_new_wikidata
Q111414786,Breathless Punta Cana Resort & Spa - Adults Only - All Inclusive,,Dominican Republic,18.8086,-68.58126,,,node/3154209897,TIPICAS CASETAS HOTEL,,low,45,geo=63m,63.15641479989634,0,likely_new_wikidata
