sourceRecordId,sourceName,sourceType,sourceLicense,sourceUrl,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,rawWebsite,rawBrand,qualityScore,qualityTier,candidateDedupeKey,missingFields,hasWikipediaUrl,hasOperator,hasOwner
Q2033262,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q2033262,"Casa de Campo, Dominican Republic",La Romana,Dominican Republic,18.4,-68.91666667,http://www.casadecampo.com.do/,,85,high,"casa de campo, dominican republic|la romana|dominican republic",missingPhone; missingOperator; missingOwner,yes,no,no
Q6038750,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q6038750,Natura Park,Punta Cana,Dominican Republic,,,,Blau,60,medium,natura park|punta cana|dominican republic,missingCoordinates; missingWebsite; missingPhone; missingOwner,no,yes,no
Q7065415,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q7065415,Now Larimar Resort,Punta Cana,Dominican Republic,18.68,-68.41583333,http://nowresorts.com/larimar/,,85,high,now larimar resort|punta cana|dominican republic,missingPhone; missingOperator; missingOwner,yes,no,no
Q7121094,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q7121094,Puntacana Resort & Club,Punta Cana,Dominican Republic,18.539194444,-68.362194444,http://www.puntacana.com,,85,high,puntacana resort & club|punta cana|dominican republic,missingPhone; missingOperator,yes,no,yes
Q19873054,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q19873054,Barceló Bávaro Palace Deluxe,,Dominican Republic,18.663,-68.395,,,55,medium,barcelo bavaro palace deluxe|18.663|-68.395,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,yes,no,no
Q56611904,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q56611904,Tortuga Bay,,Dominican Republic,,,,,35,low,tortuga bay,missingCity; missingCoordinates; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q70571865,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q70571865,Hotel Best Serenade Resort,Punta Cana,Dominican Republic,,,https://www.serenadepuntacana.com/,,65,medium,hotel best serenade resort|punta cana|dominican republic,missingCoordinates; missingPhone; missingOperator; missingOwner,no,no,no
Q111110942,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111110942,SANA El Jardin Secreto,,Dominican Republic,19.487398,-70.63838,,,55,medium,sana el jardin secreto|19.4874|-70.6384,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111110941,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111110941,Whostal,,Dominican Republic,19.4502074,-70.6975132,,,55,medium,whostal|19.4502|-70.6975,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111111826,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111111826,Hostal Playa Bibijagua A & L,,Dominican Republic,18.668556,-68.4040913,,,55,medium,hostal playa bibijagua a & l|18.6686|-68.4041,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111111827,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111111827,Hotel Tropicana Deluxe,,Dominican Republic,18.6833652,-68.4164424,,,55,medium,hotel tropicana deluxe|18.6834|-68.4164,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111111824,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111111824,Punta Cana Hostel,,Dominican Republic,18.6834373,-68.4160977,,,55,medium,punta cana hostel|18.6834|-68.4161,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111111825,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111111825,Gava Hostel,,Dominican Republic,18.682958,-68.415549,,,55,medium,gava hostel|18.683|-68.4155,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111111828,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111111828,Lodging House Beach Punta Cana,,Dominican Republic,18.6805256,-68.4203917,,,55,medium,lodging house beach punta cana|18.6805|-68.4204,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111111829,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111111829,Bavaro Green,,Dominican Republic,18.61083,-68.41237,,,55,medium,bavaro green|18.6108|-68.4124,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111114050,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111114050,Conrado's Guesthouse B&B,,Dominican Republic,18.66394,-70.47103,,,55,medium,conrado's guesthouse b&b|18.6639|-70.471,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111115104,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111115104,Residencial Lakis 1,Boca Chica,Dominican Republic,18.4545962,-69.605636,,,70,high,residencial lakis 1|boca chica|dominican republic,missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111115326,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111115326,Sava Salinas,,Dominican Republic,18.21295,-70.535333,,,55,medium,sava salinas|18.213|-70.5353,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111117340,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111117340,King Ranch Villas,,Dominican Republic,18.4508673,-70.1754399,,,55,medium,king ranch villas|18.4509|-70.1754,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111117540,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111117540,Doña Chava,,Dominican Republic,18.0357969,-71.7423145,,,55,medium,dona chava|18.0358|-71.7423,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111118062,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111118062,Casa Azul-Apartment,,Dominican Republic,19.7881235,-70.6871655,,,55,medium,casa azul-apartment|19.7881|-70.6872,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111118063,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111118063,Tubagua Ecolodge,,Dominican Republic,19.796886,-70.69038,,,55,medium,tubagua ecolodge|19.7969|-70.6904,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111120312,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111120312,Laguna Park Hostel ( El Castillo),,Dominican Republic,19.744612,-70.4074045,,,55,medium,laguna park hostel ( el castillo)|19.7446|-70.4074,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111121543,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111121543,Hostal La Colonia by The Oxo House,,Dominican Republic,18.47423,-69.88357,,,55,medium,hostal la colonia by the oxo house|18.4742|-69.8836,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111121540,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111121540,Island Life Hostel,,Dominican Republic,18.478352,-69.884481,,,55,medium,island life hostel|18.4784|-69.8845,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
Q111121541,Wikidata,wikidata,CC0,https://www.wikidata.org/wiki/Q111121541,La Choza,,Dominican Republic,18.4708768,-69.8883033,,,55,medium,la choza|18.4709|-69.8883,missingCity; missingWebsite; missingPhone; missingOperator; missingOwner,no,no,no
