operatorId,company,executiveIndex,executiveName,field,formKey,airtableColumn,airtableValue,explorerApiValue,status,setupTab
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Name,exec_1_name,name,Maria del Pilar Garcia,Juan Corvinos,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Title,exec_1_title,title,"Senior Director of IT Systems, Caribbean & Latin America","President, Caribbean & Latin America",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Role line,exec_1_role,role,CALA · Native of Panama,CALA · Native of Spain,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Card summary,exec_1_summary,summary,"Oversees strategic planning and implementation of technology across HE’s portfolio—IT infrastructure, cybersecurity, and system integrations for operational efficiency.","Leads operations, business development, commercial strategy, and strategic partnerships to drive growth across HE CALA. Deep experience in hotel development, owner relations, and project management.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Executive bio,exec_1_bio,bio,"10+ years in hospitality technology. IT lead for Hilton All-Inclusive and Luxury launches including Opera, per-person pricing, wearables, and related platforms. Keeps HE at the forefront of hospitality technology innovation.","Previously SVP Development, Architecture, Design & Construction for Hilton in Latin America and the Caribbean—oversaw full development cycle for all Hilton brands, signing 350+ management and franchise agreements and helping grow Hilton’s CALA portfolio from 63 to 280+ open hotels. Senior Leadership Sponsor for Hilton’s Hispanic LatinX ERG; assignments in Malaysia, Barcelona, London, and Washington, D.C.",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Headshot,exec_1_headshot,headshot,[object Object],https://v5.airtableusercontent.com/v3/u/53/53/1780430400000/Zt3jul50WSV1-_viPoAEjw/PGfMvcJRUP29lDo8kKUnC1scDqt7vul7Z9MdqjddW1p6cMzrjT6552cXN6jBWvrYaXeued6K8Qd6jdIUM6tVllduPGVWBo-uUcCir4NEAyIyP_DE4Fc_Zl8gHS1_01Q9eMm_hHVZQNrgzj0z_SCOLA/WYAoFZKQX2rAqdgrYf7ALBqYDwCkonzvm5m0py1RHNg,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Hospitality yrs (Credentials),exec_1_hospitality_experience_years,hospitality_experience_years,25,28,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Company tenure (Credentials),exec_1_company_tenure_years,company_tenure_years,14,9,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Prior background (Credentials),exec_1_prior_background,prior_background,"Hospitality technology — PMS, integrations & cybersecurity",Hilton CALA development — 350+ management & franchise agreements,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Languages,exec_1_languages,languages,English; Spanish,English; Spanish,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Markets,exec_1_market_experience,market_experience,Panama; Caribbean; CALA — Regional,CALA — Regional; Caribbean; Mexico; Brazil,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Expertise,exec_1_core_expertise,core_expertise,Technology; Operations,Development; Owner Relations; Pre-Opening / Transitions,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),1,Juan Corvinos,Asset types,exec_1_relevant_asset_types,relevant_asset_types,Full-Service; Branded; Resort,Resort; Full-Service; Branded,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Name,exec_2_name,name,Juan Corvinos,Michael Register,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Title,exec_2_title,title,"President, Caribbean & Latin America","Chief Development Officer, Caribbean & Latin America",POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Role line,exec_2_role,role,CALA · Native of Spain,CALA · Native of US/Netherlands,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Card summary,exec_2_summary,summary,"Leads operations, business development, commercial strategy, and strategic partnerships to drive growth across HE CALA. Deep experience in hotel development, owner relations, and project management.",Leads sourcing of new opportunities and owner relations for Hotel Equities CALA. Former Managing Director at Highgate focused on the Caribbean and Latin America; prior partner in Trust Hospitality.,POPULATED,8. Leadership & Team
recWPKu5laVZxsvpn,Hotel Equities (CALA),2,Michael Register,Executive bio,exec_2_bio,bio,"Previously SVP Development, Architecture, Design & Construction for Hilton in Latin America and the Caribbean—oversaw full development cycle for all Hilton brands, signing 350+ management and franchise agreements and helping grow Hilton’s CALA portfolio from 63 to 280+ open hotels. Senior Leadership Sponsor for Hilton’s Hispanic LatinX ERG; assignments in Malaysia, Barcelona, London, and Washington, D.C.","Instrumental in sourcing and negotiating management contracts across CALA. Trust managed hotels across Mexico, DR, Colombia, Brazil, Jamaica, Costa Rica, Panama, Anguilla, Aruba, Curaçao, Bahamas, Turks & Caicos, Trinidad, and St. Lucia. Earlier: Nikki Beach worldwide openings; co-founder of software company AAT; corporate and business law in Brazil and Miami.",POPULATED,8. Leadership & Team
