brandName,brandSlug,brandRecordId,fieldKey,fieldLabel,airtableTable,softFactor,gate,weightPct,proposedValue,sourceType,sourceRef,filledBy,filledDate,notes
BW Premier Collection,bw-premier-collection,recwXZ5gVZ8ZH8ekA,roomCountRange,Min/Max Room Count,Brand Setup - Project Fit,,rooms,0,,,,,,
BW Premier Collection,bw-premier-collection,recwXZ5gVZ8ZH8ekA,additionalAmenities,Additional Amenities (Brand Standards),Brand Setup - Brand Standards,brandStandardsCompatibility,,14,,,,,,
BW Premier Collection,bw-premier-collection,recwXZ5gVZ8ZH8ekA,incentiveTypes,Incentive Types (Operational Support),Brand Setup - Operational Support,keyMoneyWillingnessCompatibility,keyMoney,10,,,,,,
BW Premier Collection,bw-premier-collection,recwXZ5gVZ8ZH8ekA,willingToNegotiateIncentives,Willing to Negotiate Incentives,Brand Setup - Operational Support,incentivesMatchCompatibility,,8,,,,,,
BW Signature Collection,bw-signature-collection,recdeh1NsP4gjrv80,roomCountRange,Min/Max Room Count,Brand Setup - Project Fit,,rooms,0,,,,,,
BW Signature Collection,bw-signature-collection,recdeh1NsP4gjrv80,additionalAmenities,Additional Amenities (Brand Standards),Brand Setup - Brand Standards,brandStandardsCompatibility,,14,,,,,,
BW Signature Collection,bw-signature-collection,recdeh1NsP4gjrv80,incentiveTypes,Incentive Types (Operational Support),Brand Setup - Operational Support,keyMoneyWillingnessCompatibility,keyMoney,10,,,,,,
BW Signature Collection,bw-signature-collection,recdeh1NsP4gjrv80,willingToNegotiateIncentives,Willing to Negotiate Incentives,Brand Setup - Operational Support,incentivesMatchCompatibility,,8,,,,,,
Design Hotels,design-hotels,rec02zPClpWUTCyXM,roomCountRange,Min/Max Room Count,Brand Setup - Project Fit,,rooms,0,,,,,,
Design Hotels,design-hotels,rec02zPClpWUTCyXM,additionalAmenities,Additional Amenities (Brand Standards),Brand Setup - Brand Standards,brandStandardsCompatibility,,14,,,,,,
Design Hotels,design-hotels,rec02zPClpWUTCyXM,incentiveTypes,Incentive Types (Operational Support),Brand Setup - Operational Support,keyMoneyWillingnessCompatibility,keyMoney,10,,,,,,
