masterId,companyName,action,reason,rowCount,sources
recQ6Cf8O2z0tiqBz,Cenote Azul Operadores,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
recwbyY4qfNP1bV3r,Metro Lodging São Paulo,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
recq3NiRxOerg4kZU,Barrio Hotelero CDMX,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
reciI2tYQBfMoMK9G,GHL Hoteles (GHL Holding),migrate,,33,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json
recZPHT2zqc8K6itx,Viento Sur Gestión Hotelera,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
recBReJUmxdOUvQzp,Cordillera One Gestión,migrate,,42,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;governance_cadence
recxAa86Qoc0nFRSt,Oro Verde Lodge & Hotel Operators,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
recWPKu5laVZxsvpn,Hotel Equities (CALA),migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
recZgNR85WZKDItLF,Mangle Azul Hospitalidad,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
reckO98E46sKTn3F3,Río Plata Hotel Partners,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
recTUjuDxL96yWcQA,Antillano Norte Hospitality Group,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
recbT3q8ApRIBu4j5,Panamerican Lodging Partners S.A.,migrate,,43,ov_strategic_owner_value_json;ov_engagement_cadence_json;ov_controls_governance_json;ov_reports_received_json;ov_owner_tools_json;ov_lifecycle_support_json;ov_card_discipline;ov_card_commercial;ov_card_communication;ov_card_flexibility;ov_card_risk;ov_cluster_interaction;ov_cluster_deliverables;ownerEngagementNarrative;owner_reporting_level;governance_cadence
