tab,subsection,uiKey,airtableField,formKey,fieldType,selectOptions,linkStatus,notes
"Profile & Positioning","Operator Quick Facts","yearEstablished","Year Established","—","scalar","","Linked (Basics → prefill)","fields map + prefill"
"Profile & Positioning","Operator Quick Facts","website","Website","—","scalar","","Linked (Basics → prefill)",""
"Profile & Positioning","Operator Quick Facts","totalEmployees / companySize","Company Size","—","scalar","","Linked (Basics → prefill)",""
"Profile & Positioning","Operator Quick Facts","totalProperties, totalRooms, minPropertySize, maxPropertySize","—","—","derived","","Calculated","avg hotel size calculated"
"Profile & Positioning","Operator Quick Facts","primaryServiceModel","Primary Service Model","—","scalar","","Linked (Basics → prefill)",""
"Profile & Positioning","Operator Quick Facts","managementStructuresSupported","Management Structures Supported","managementStructuresSupported","multiselect","Full third-party management|Brand-managed|Franchise support|Commercial-only support|Pre-opening / transition support|Asset management support|Hybrid / project-specific|Other","Linked (new-base binding)",""
"Profile & Positioning","Operator Quick Facts","typicalAgreement","—","—","prefill-only","","Partial — prefill only (no new-base binding)",""
"Profile & Positioning","Operator Quick Facts","dataConfidenceLevel","Data Confidence Level","dataConfidenceLevel","singleSelect","Verified|Operator-provided|Public-source|Inferred|Incomplete","Linked (new-base binding)",""
"Profile & Positioning","Company Story & Positioning","companyHistory","—","—","prefill-only","","Linked (Basics → prefill)",""
"Profile & Positioning","Company Story & Positioning","differentiators","—","—","prefill-only","","Linked (Basics → prefill)",""
"Profile & Positioning","Company Story & Positioning","managementPhilosophy","—","—","prefill-only","","Linked (Basics → prefill)",""
"Profile & Positioning","Company Story & Positioning","missionStatement","—","—","prefill-only","","Linked (Basics → prefill)",""
"Profile & Positioning","What They Are Best At","overview_bestat_1_headline","—","skipped","explorerProfileJson","","By design (explorerProfileJson blob)","bindings.skipped"
"Profile & Positioning","What They Are Best At","overview_bestat_1_story","—","skipped","explorerProfileJson","","By design (explorerProfileJson blob)",""
"Profile & Positioning","What They Are Best At","overview_bestat_2_*","—","skipped","explorerProfileJson","","By design (explorerProfileJson blob)",""
"Profile & Positioning","What They Are Best At","overview_bestat_3_*","—","skipped","explorerProfileJson","","By design (explorerProfileJson blob)",""
"Profile & Positioning","Why Owners Consider This Operator","overview_why_1_headline","—","skipped","explorerProfileJson","","By design (explorerProfileJson blob)",""
"Profile & Positioning","Why Owners Consider This Operator","overview_why_1_story","—","skipped","explorerProfileJson","","By design (explorerProfileJson blob)",""
"Profile & Positioning","Why Owners Consider This Operator","overview_why_2_*","—","skipped","explorerProfileJson","","By design (explorerProfileJson blob)",""
"Profile & Positioning","Why Owners Consider This Operator","overview_why_3_*","—","skipped","explorerProfileJson","","By design (explorerProfileJson blob)",""
"Profile & Positioning","Best-Fit Owner / Project Profile (overview)","bf_fit_criteria_json","bf_fit_criteria_json","bf_fit_criteria_json","JSON","","Linked (new-base binding)","TODO binding"
"Profile & Positioning","Best-Fit Owner / Project Profile (overview)","bestFitGeographies, priorityMarkets","—","—","multiselect/scalar","","GAP — not in bindings or Basics map",""
"Profile & Positioning","Best-Fit Owner / Project Profile (overview)","bf_selected_asset_types","Supported Asset Types","bf_selected_asset_types","multiselect","Low-Rise|Mid-Rise|Mixed-Use|Podium / Tower|Historic / Renovated|Resort-Style Compound","Linked (new-base binding)",""
"Profile & Positioning","Best-Fit Owner / Project Profile (overview)","bestFitOwnerTypes","—","—","prefill-only","","Partial — prefill only (no new-base binding)",""
"Profile & Positioning","Best-Fit Owner / Project Profile (overview)","bf_selected_situation_types","Supported Situation Types","bf_selected_situation_types","multiselect","Land Under Control Only|Entitlements in Process|Fully Entitled|Under Construction|Stabilized Operating Asset","Linked (new-base binding)",""
"Profile & Positioning","Best-Fit Owner / Project Profile (overview)","bf_not_ideal_for","Not Ideal for","bf_not_ideal_for","multiline/multiselect","","Linked (new-base binding)",""
"Profile & Positioning","Leadership Snapshot","leadershipTeam[]","—","—","child-table","","Linked (child table)","Operator Setup - Leadership Team Members"
"Profile & Positioning","Recognition","certifications","Certifications","—","scalar","","Linked (Basics → prefill)",""
"Profile & Positioning","Recognition","industryRecognition","—","—","prefill-only","","Linked (Basics → prefill)",""
"Profile & Positioning","Recognition","achievements / notableAchievements","—","—","prefill-only","","Linked (Basics → prefill)",""
"Operating Platform","Operating Platform (KPI snapshot)","revenueManagementCapability","Revenue Management Capability","revenueManagementCapability","singleSelect","Property-level only|Centralized support|Advanced centralized platform|Third-party partner|None documented|Unknown","Linked (new-base binding)",""
"Operating Platform","Operating Platform (KPI snapshot)","ownerReportingLevel","Owner Reporting Level","ownerReportingLevel","singleSelect","Basic owner reporting|Monthly operating review|Institutional reporting|Lender / investor-grade reporting|Custom / project-specific|Unknown","Linked (new-base binding)",""
"Operating Platform","Operating Platform (KPI snapshot)","cap_kpi_reporting","Reporting Strength","cap_kpi_reporting","singleSelect","Not Measured / N/A|Basic|Structured|Advanced|Institutional","Linked (new-base binding)","fallback KPI"
"Operating Platform","Operating Platform (KPI snapshot)","preOpeningSupportCapability","Pre-Opening Support Capability","preOpeningSupportCapability","singleSelect","Advanced|Standard|Limited|None documented|Unknown","Linked (new-base binding)",""
"Operating Platform","Operating Platform (KPI snapshot)","cap_kpi_transition","Transition Capability","cap_kpi_transition","singleSelect","Not Measured / N/A|Low|Moderate|Strong|Very Strong","Linked (new-base binding)","fallback KPI"
"Operating Platform","Operating Platform (KPI snapshot)","conversionReflagExperience","Conversion / Reflag Experience","conversionReflagExperience","singleSelect","Strong|Moderate|Limited|None documented|Unknown","Linked (new-base binding)",""
"Operating Platform","Operating Platform (KPI snapshot)","fbCapabilityLevel / fBCapabilityLevel","F&B Capability Level","fbCapabilityLevel","singleSelect","None / rooms-only|Limited F&B|Moderate F&B|Significant F&B|Lifestyle / experiential F&B|Unknown","Linked (new-base binding)",""
"Operating Platform","Commercial Engine (pillar tiles)","op_commercial_engine_json","op_commercial_engine_json","op_commercial_engine_json","JSON","","Linked (new-base binding)","items[].title + description; TODO Airtable"
"Operating Platform","Commercial Engine (pillar tiles)","cap_profile_commercial","Commercial Engine","cap_profile_commercial","multiline","","Linked (new-base binding)","fallback lines → tiles"
"Operating Platform","Commercial Engine (pillar tiles)","offeredServices","Offered Services","offeredServices","multiselect","Full hotel management|Pre-opening planning|Opening / transition support|Revenue management|Sales|Distribution / channel management|Digital marketing|Accounting / finance|HR / staffing|Procurement|F&B operations|Brand compliance support|Owner reporting|Asset management support|Technical services coordination|Other","Linked (new-base binding)","fallback tile titles only"
"Operating Platform","Owner Reporting & Communication","op_owner_reporting_json","op_owner_reporting_json","op_owner_reporting_json","JSON","","Linked (new-base binding)","TODO Airtable"
"Operating Platform","Owner Reporting & Communication","cap_card_governance","Governance & Reporting","cap_card_governance","multiline","","Linked (new-base binding)","fallback"
"Operating Platform","Pre-Opening & Transition Support","op_preopening_transition_json","op_preopening_transition_json","op_preopening_transition_json","JSON","","Linked (new-base binding)","TODO Airtable"
"Operating Platform","Pre-Opening & Transition Support","cap_profile_transition","Transition Capability [cap_profile_transition]","cap_profile_transition","multiline","","Linked (new-base binding)","fallback"
"Operating Platform","Conversion & Repositioning","op_conversion_repositioning_json","op_conversion_repositioning_json","op_conversion_repositioning_json","JSON","","Linked (new-base binding)","TODO Airtable"
"Operating Platform","Conversion & Repositioning","cap_deep_revenue_systems","Revenue Systems","cap_deep_revenue_systems","multiline","","Linked (new-base binding)","fallback"
"Operating Platform","F&B, Lifestyle & Resort Capability","op_fb_lifestyle_resort_json","op_fb_lifestyle_resort_json","op_fb_lifestyle_resort_json","JSON","","Linked (new-base binding)","TODO Airtable"
"Operating Platform","F&B, Lifestyle & Resort Capability","cap_card_service_diff","Service Differentiation","cap_card_service_diff","multiline","","Linked (new-base binding)","fallback"
"Brand & Relationships","Brand & Relationship Snapshot (KPIs)","numberOfBrands, brands[]","—","—","derived","","Calculated",""
"Brand & Relationships","Brand & Relationship Snapshot (KPIs)","brand_portfolio_mix_json","brand_portfolio_mix_json","brand_portfolio_mix_json","JSON","","Linked (new-base binding)","TODO binding"
"Brand & Relationships","Brand & Relationship Snapshot (KPIs)","brandedVsIndependentMix","—","brandedVsIndependentMix","scalar","","GAP — not in bindings or Basics map",""
"Brand & Relationships","Brand & Relationship Snapshot (KPIs)","brand_conversion_project_count","—","—","scalar","","GAP — not in bindings or Basics map","TODO binding"
"Brand & Relationships","Brand & Relationship Snapshot (KPIs)","brand_signal_reflag","Reflag Readiness Lead Time","brand_signal_reflag","singleSelect","Not Measured / N/A|Under 4 Weeks|4–8 Weeks|8–12 Weeks|12–16 Weeks|16–24 Weeks|24+ Weeks","Linked (new-base binding)",""
"Brand & Relationships","Brand & Relationship Snapshot (KPIs)","brand_relationship_depth_json","brand_relationship_depth_json","brand_relationship_depth_json","JSON","","Linked (new-base binding)",""
"Brand & Relationships","Portfolio Mix by Brand / Flag Type","brand_portfolio_mix_json","brand_portfolio_mix_json","brand_portfolio_mix_json","JSON default","","Linked (new-base binding)",""
"Brand & Relationships","Brands & Relationship Depth","brand_relationship_depth_json","brand_relationship_depth_json","brand_relationship_depth_json","JSON default","","Linked (new-base binding)",""
"Brand & Relationships","Brand Execution Capabilities","brand_execution_capabilities_json","brand_execution_capabilities_json","brand_execution_capabilities_json","JSON default","","Linked (new-base binding)",""
"Brand & Relationships","Brand Governance & Compliance Support","brand_governance_compliance_json","brand_governance_compliance_json","brand_governance_compliance_json","JSON default","","Linked (new-base binding)",""
"Brand & Relationships","Soft Brand / Independent Experience","brand_soft_independent_narrative","—","—","scalar/JSON","","GAP — not in bindings or Basics map",""
"Markets & Footprint","Markets & Footprint (KPI snapshot)","regions, regionsSupported","—","regionsSupported","multiselect","","GAP — not in bindings or Basics map",""
"Markets & Footprint","Markets & Footprint (KPI snapshot)","activeCountries","Active Countries","activeCountries","multiselect","Mexico|Dominican Republic|Costa Rica|Panama|Colombia|Peru|Chile|Argentina|Brazil|Jamaica|Puerto Rico|Curaçao|Trinidad & Tobago|Turks & Caicos|United States|Spain|Other","Linked (new-base binding)",""
"Markets & Footprint","Markets & Footprint (KPI snapshot)","activeMarkets","Active Markets / Cities","activeMarkets","multiselect","Cancún|Mexico City|Monterrey|Guadalajara|Riviera Maya|Punta Cana|Santo Domingo|San Juan|Panama City|Bogotá|Medellín|Lima|Santiago|Buenos Aires|São Paulo|Rio de Janeiro|San José|Montevideo|Other","Linked (new-base binding)",""
"Markets & Footprint","Markets & Footprint (KPI snapshot)","numberOfMarkets","—","—","scalar","","Linked (Basics → prefill)",""
"Markets & Footprint","Markets & Footprint (KPI snapshot)","mkt_signal_years","Avg. Years in Core Markets","mkt_signal_years","singleSelect","","Linked (new-base binding)",""
"Markets & Footprint","Markets & Footprint (KPI snapshot)","mkt_signal_gateway","Gateway Market Concentration","mkt_signal_gateway","singleSelect","","Linked (new-base binding)",""
"Markets & Footprint","Markets & Footprint (KPI snapshot)","mkt_signal_mix","Urban / Resort Mix","mkt_signal_mix","singleSelect","","Linked (new-base binding)",""
"Markets & Footprint","Three-Layer Market Experience","activeCountries, activeMarkets, teamExperienceMarkets, targetGrowthMarkets","Active Countries","activeCountries, activeMarkets","multiselect","Mexico|Dominican Republic|Costa Rica|Panama|Colombia|Peru|Chile|Argentina|Brazil|Jamaica|Puerto Rico|Curaçao|Trinidad & Tobago|Turks & Caicos|United States|Spain|Other","Linked (new-base binding)",""
"Markets & Footprint","Three-Layer Market Experience","marketExperience.*","—","—","derived","","Calculated","DNA vm layers"
"Markets & Footprint","Local / Regional Expertise","mkt_regional_expertise_json","mkt_regional_expertise_json","mkt_regional_expertise_json","JSON default","","Linked (new-base binding)",""
"Markets & Footprint","Market Fit Signals","mkt_market_fit_signals_json","mkt_market_fit_signals_json","mkt_market_fit_signals_json","JSON default","","Linked (new-base binding)",""
"Markets & Footprint","Footprint Metrics","geo_*","—","—","derived","","Calculated","tier/region footprint; not in bindings"
"Markets & Footprint","Footprint Metrics","brandsPortfolioDetail","—","—","prefill-only","","Linked (Basics → prefill)",""
"Owner Engagement & Reporting","Engagement & Reporting (KPI snapshot)","ownerReportingLevel","Owner Reporting Level","ownerReportingLevel","singleSelect","Basic owner reporting|Monthly operating review|Institutional reporting|Lender / investor-grade reporting|Custom / project-specific|Unknown","Linked (new-base binding)",""
"Owner Engagement & Reporting","Engagement & Reporting (KPI snapshot)","reportingFrequency / ownerReportingCadence","—","—","prefill-only","","Linked (Basics → prefill)",""
"Owner Engagement & Reporting","Engagement & Reporting (KPI snapshot)","ownerResponseTime","—","—","prefill-only","","Linked (Basics → prefill)",""
"Owner Engagement & Reporting","Engagement & Reporting (KPI snapshot)","ov_q_touchpoints","Review touchpoints / quarter","ov_q_touchpoints","scalar","","Linked (new-base binding)",""
"Owner Engagement & Reporting","Engagement & Reporting (KPI snapshot)","reportTypes","—","—","multiselect","","Linked (Basics → prefill)",""
"Owner Engagement & Reporting","Engagement & Reporting (KPI snapshot)","ownerPortalFeatures","—","—","prefill-only","","Linked (Basics → prefill)",""
"Owner Engagement & Reporting","Strategic Owner Value","ov_strategic_owner_value_json","ov_strategic_owner_value_json","ov_strategic_owner_value_json","JSON default","","Linked (new-base binding)",""
"Owner Engagement & Reporting","Owner Engagement Cadence","ov_engagement_cadence_json","ov_engagement_cadence_json","ov_engagement_cadence_json","JSON default","","Linked (new-base binding)",""
"Owner Engagement & Reporting","Controls & Governance","ov_controls_governance_json","ov_controls_governance_json","ov_controls_governance_json","JSON default","","Linked (new-base binding)",""
"Owner Engagement & Reporting","Reports Owners Receive","ov_reports_received_json","ov_reports_received_json","ov_reports_received_json","JSON default","","Linked (new-base binding)",""
"Owner Engagement & Reporting","Owner Tools & Support Channels","ov_owner_tools_json","ov_owner_tools_json","ov_owner_tools_json","JSON default","","Linked (new-base binding)",""
"Owner Engagement & Reporting","Owner Support Across the Asset Lifecycle","ov_lifecycle_support_json","ov_lifecycle_support_json","ov_lifecycle_support_json","JSON default","","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure & Data (KPI snapshot)","infra_signal_uptime","Platform Uptime Sla","infra_signal_uptime","singleSelect","Not Measured / N/A|99.99%+|99.9%+|99.5–99.89%|99.0–99.49%|98.0–98.9%|Below 98%|Varies by system","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure & Data (KPI snapshot)","infra_signal_incident","Critical Incident Response","infra_signal_incident","singleSelect","Not Measured / N/A|<15 min|<30 min|<1 hour|<2 hours|<4 hours|<24 hours|Tiered / Varies","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure & Data (KPI snapshot)","infra_signal_adoption","System Adoption (Portfolio)","infra_signal_adoption","singleSelect","Not Measured / N/A|95%+|90–94%|85–89%|80–84%|70–79%|Below 70%","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure & Data (KPI snapshot)","infra_signal_refresh","Data Refresh Cadence","infra_signal_refresh","singleSelect","Not Measured / N/A|Real-time|Hourly|Daily|Daily + Weekly|Weekly|Monthly|Varies","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure & Data (KPI snapshot)","risk_signal_audit","Audit Pass Consistency","risk_signal_audit","singleSelect","Not Measured / N/A|Below 85%|85–89%|90–94%|95%+|99%+","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure & Data (KPI snapshot)","risk_signal_bcp","Bcp Test Frequency","risk_signal_bcp","singleSelect","Not Measured / N/A|Monthly|Quarterly|Semi-Annual|Annual|Every 2+ Years|Ad hoc / event-driven","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure & Data (KPI snapshot)","risk_signal_control","Control Closure Rate","risk_signal_control","singleSelect","Not Measured / N/A|95%+ closed on time|90–94% closed on time|80–89% closed on time|70–79% closed on time|Below 70%","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure & Data (KPI snapshot)","risk_signal_insurance","Insurance Adequacy Review","risk_signal_insurance","singleSelect","Not Measured / N/A|Monthly|Quarterly|Semi-Annual|Annual|Biennial|As needed / event-driven","Linked (new-base binding)",""
"Infrastructure & Data","Technology Platform Stack","infra_technology_stack_json","infra_technology_stack_json","infra_technology_stack_json","JSON default","","Linked (new-base binding)",""
"Infrastructure & Data","Infrastructure Services Offered","infra_services_offered_json","infra_services_offered_json","infra_services_offered_json","JSON default","","Linked (new-base binding)",""
"Infrastructure & Data","Data Domains Captured","infra_data_domains_json","infra_data_domains_json","infra_data_domains_json","JSON default","","Linked (new-base binding)",""
"Infrastructure & Data","Data Governance, Security & Controls","infra_data_governance_json","infra_data_governance_json","infra_data_governance_json","JSON default","","Linked (new-base binding)",""
"Infrastructure & Data","Analytics & Decision Support","infra_analytics_support_json","infra_analytics_support_json","infra_analytics_support_json","JSON default","","Linked (new-base binding)",""
"Infrastructure & Data","Technology Maturity View","infra_technology_maturity_level","infra_technology_maturity_level","infra_technology_maturity_level","singleSelect","Basic|Structured|Integrated|Advanced","Linked (new-base binding)",""
"Infrastructure & Data","Technology Maturity View","infra_technology_maturity_json","—","—","JSON default","","GAP — not in bindings or Basics map",""
"Leadership","Leadership Snapshot (KPIs)","lead_avg_hospitality_experience","Leadership Avg Hospitality Experience","lead_avg_hospitality_experience","singleSelect","","Linked (new-base binding)",""
"Leadership","Leadership Snapshot (KPIs)","lead_signal_tenure","Avg. Leadership Tenure","lead_signal_tenure","singleSelect","","Linked (new-base binding)",""
"Leadership","Leadership Snapshot (KPIs)","lead_signal_crossbrand","Cross-Brand Experience","lead_signal_crossbrand","singleSelect","High|Strong|Very Strong|Moderate-High|Medium|Low|Emerging","Linked (new-base binding)",""
"Leadership","Leadership Snapshot (KPIs)","lead_language_capability_json","—","Leadership Languages (JSON)","JSON","","GAP — add Airtable column + binding",""
"Leadership","Leadership Profiles","leadershipTeam[]","—","—","child-table","","Linked (child table)",""
"Leadership","Organization Structure","lead_org_structure_json","—","Leadership Org Structure (JSON)","JSON","","GAP — add Airtable column + binding",""
"Leadership","Team Depth by Function","lead_team_depth_json","—","Leadership Team Depth (JSON)","JSON","","GAP — add Airtable column + binding",""
"Leadership","Language & Regional Capability","lead_language_capability_json","—","Leadership Languages (JSON)","JSON","","GAP — add Airtable column + binding",""
"Leadership","Governance & Communication Cadence","lead_governance_cadence_json","—","Leadership Governance Cadence (JSON)","JSON","","GAP — add Airtable column + binding",""
"Leadership","Team Experience Markets","lead_team_markets_json","—","Leadership Team Markets (JSON)","JSON","","GAP — add Airtable column + binding",""
"Leadership","Owner Relationship Model","lead_owner_relationship_json","—","Leadership Owner Relationship (JSON)","JSON","","GAP — add Airtable column + binding",""
"Project Fit & Deal Profile","Project Fit Snapshot (KPIs)","minPropertySize, maxPropertySize","—","—","scalar","","Linked (Basics → prefill)",""
"Project Fit & Deal Profile","Project Fit Snapshot (KPIs)","bf_signal_dealsize","Best-Fit Deal Size","bf_signal_dealsize","singleSelect","Not Measured / N/A|Single asset / small cluster|Mid portfolio (~100–500 keys)|Large portfolio (500+ keys)|Multi-region / institutional","Linked (new-base binding)",""
"Project Fit & Deal Profile","Project Fit Snapshot (KPIs)","bf_signal_transition","Transition Intensity Fit","bf_signal_transition","singleSelect","High|Strong|Very Strong|Moderate-High|Medium|Low|Emerging","Linked (new-base binding)",""
"Project Fit & Deal Profile","Operator Fit Criteria","bf_fit_criteria_json","bf_fit_criteria_json","bf_fit_criteria_json","JSON default","","Linked (new-base binding)",""
"Project Fit & Deal Profile","Best-Fit Project Types","bf_best_fit_project_types_json","bf_best_fit_project_types_json","bf_best_fit_project_types_json","JSON default","","Linked (new-base binding)",""
"Project Fit & Deal Profile","Preferred Deal Profile","bf_preferred_deal_profile_json","bf_preferred_deal_profile_json","bf_preferred_deal_profile_json","JSON default","","Linked (new-base binding)",""
"Project Fit & Deal Profile","Evaluation Path","bf_evaluation_path_json","bf_evaluation_path_json","bf_evaluation_path_json","JSON default","","Linked (new-base binding)",""
"Project Fit & Deal Profile","Potential Red Flags","bf_red_flags_json","bf_red_flags_json","bf_red_flags_json","JSON default","","Linked (new-base binding)",""
"Proof & Track Record","Proof & Track Record (KPIs)","totalProperties","—","—","scalar","","Linked (Basics → prefill)",""
"Proof & Track Record","Proof & Track Record (KPIs)","numberOfMarkets","—","—","scalar","","Linked (Basics → prefill)",""
"Proof & Track Record","Proof & Track Record (KPIs)","yearsInBusiness","—","—","scalar","","Linked (Basics → prefill)",""
"Proof & Track Record","Proof & Track Record (KPIs)","ownerReferences","—","—","scalar","","Linked (Basics → prefill)",""
"Proof & Track Record","Proof & Track Record (KPIs)","lenderReferences","—","—","scalar","","Linked (Basics → prefill)",""
"Proof & Track Record","Case Studies","caseStudiesDetail[]","—","—","child-table","","Linked (child table)",""
"Proof & Track Record","Owner Diligence Highlights","ownerDiligenceQa[]","—","—","child-table","","Linked (child table)",""
"Proof & Track Record","Decision Signals","tr_signal_revpar","RevPAR Lift Range","tr_signal_revpar","singleSelect","Negative or Flat|Low Single-Digit (+1–5%)|Mid Single-Digit (+6–10%)|Low Double-Digit (+11–15%)|Mid Double-Digit (+16–25%)|High Double-Digit (26%+)|Wide Dispersion Across Portfolio","Linked (new-base binding)",""
