airtable_table,airtable_field,airtable_type,used_by_writer_current,used_by_reader_current,used_in_operator_explorer_current,used_in_capability_snapshot_current,used_in_alignment_snapshot_current,used_in_score_breakdown_current,usage_classification,missing_source_of_truth_mapping_risk,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Operator Setup - Master,company_name,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes/Partial,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Master,operator_id,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Master,submission_status,singleSelect,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Master,created_at,createdTime,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Master,updated_at,lastModifiedTime,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Needs Review,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,company_name,singleLineText,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes/Partial,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,Operator,multipleRecordLinks,Yes,Yes,Yes,Yes/Partial,Yes/Partial,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,companyDescription,multilineText,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,website,url,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,headquarters,singleLineText,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,companySize,singleSelect,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,companyTagline,singleLineText,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,companyHistory,multilineText,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,differentiators,multilineText,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,managementPhilosophy,multilineText,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,missionStatement,multilineText,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,primaryServiceModel,singleSelect,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brands,multipleRecordLinks,Yes,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,additionalBrands,multilineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes/Partial,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,chainScalesSupported,multipleSelects,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes/Partial,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,companyLogo,multipleAttachments,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes/Partial,Displayed but not written,High,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,propertyTypes,multipleSelects,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes/Partial,Actively used,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,additionalExperience,multipleSelects,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,emergencyResponse,singleSelect,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,businessContinuity,singleSelect,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,support24x7,singleSelect,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,crisisExperience,multilineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,insuranceCoverage,multilineText,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,sustainabilityPrograms,singleSelect,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Written but not displayed,Low/Medium,Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
