masterId,companyName,governanceRecordId,existingRows,proposedRows,action,reason,legacySources
recTUjuDxL96yWcQA,Antillano Norte Hospitality Group,rec2BukL5bgqgaLlw,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
recZgNR85WZKDItLF,Mangle Azul Hospitalidad,rec8KbiMJcNSqzG2K,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
reckO98E46sKTn3F3,Río Plata Hotel Partners,recBrx5gbj6zKragv,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
recxAa86Qoc0nFRSt,Oro Verde Lodge & Hotel Operators,recaaGTNmRwjSisiQ,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
reciI2tYQBfMoMK9G,GHL Hoteles (GHL Holding),recdQiXnNgbQ9OAWl,0,39,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json
recq3NiRxOerg4kZU,Barrio Hotelero CDMX,receT3u689Id5a1xZ,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
recBReJUmxdOUvQzp,Cordillera One Gestión,rececJxpv1umPj3sv,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
recbT3q8ApRIBu4j5,Panamerican Lodging Partners S.A.,recehDFdICiqf21lZ,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
recQ6Cf8O2z0tiqBz,Cenote Azul Operadores,recgTO6POVKLHqzox,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
recwbyY4qfNP1bV3r,Metro Lodging São Paulo,rechXzS2hm5kcG2lu,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
recZPHT2zqc8K6itx,Viento Sur Gestión Hotelera,recx3hFcWcZGYPVPB,0,45,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_reporting; infra_kpi_revenue; infra_kpi_exec; infra_kpi_tools; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
recWPKu5laVZxsvpn,Hotel Equities (CALA),reczlC69KVdzLEUxs,0,42,would_migrate,,infra_signal_uptime; infra_signal_incident; infra_signal_adoption; infra_signal_refresh; risk_signal_audit; risk_signal_bcp; risk_signal_control; risk_signal_insurance; infra_kpi_exec; infra_technology_maturity_level; infra_technology_stack_json; infra_services_offered_json; infra_data_domains_json; infra_data_governance_json; infra_analytics_support_json; systems_inventory_lines; infra_asset_management_reporting
