operatorId,company,table,field,action,before,after
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","master","Data Confidence Level","set","","""Inferred"""
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","master","Source Type","set","","[""Imported sample data""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","master","Last Updated Date","set","","""2026-05-25"""
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","profile","Service Models Supported","set","","[""Select-service"",""Boutique""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","profile","chainScalesSupported","skip_existing","[""Midscale"",""Upper Midscale"",""Upscale""]","[""Midscale"",""Upper Midscale"",""Upscale""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","profile","Brand Families Operated","set","","[""Independent"",""Wyndham""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","platform","Market Presence Type","set","","[""Active operations""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","commercial","Management Structures Supported","set","","[""Full third-party management"",""Franchise support"",""Hybrid / project-specific""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","commercial","New-Build Opening Experience","set","","""Moderate"""
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","commercial","Pre-Opening Support Capability","set","","""Standard"""
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","governance","Offered Services","set","","[""Full hotel management"",""Pre-opening planning"",""Revenue management"",""Sales"",""Brand compliance support"",""Owner reporting"",""Procurement"",""Technical services coordination""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","governance","Owner Reporting Level","set","","""Monthly operating review"""
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","governance","F&B Capability Level","set","","""Limited F&B"""
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","governance","Revenue Management Capability","set","","""Centralized support"""
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","governance","Sales Platform","set","","[""Local sales"",""Regional sales""]"
"recQ6Cf8O2z0tiqBz","Cenote Azul Operadores","governance","Governance Cadence","set","","""Monthly"""
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","master","Data Confidence Level","set","","""Inferred"""
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","master","Source Type","set","","[""Imported sample data""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","master","Last Updated Date","set","","""2026-05-25"""
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","profile","Service Models Supported","set","","[""Full-service"",""Resort""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","profile","chainScalesSupported","skip_existing","[""Upper Midscale"",""Upscale"",""Upper Upscale""]","[""Upper Midscale"",""Upscale"",""Upper Upscale""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","profile","Brand Families Operated","set","","[""Marriott"",""Wyndham""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","platform","Market Presence Type","set","","[""Active operations""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","commercial","Management Structures Supported","set","","[""Full third-party management"",""Franchise support""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","commercial","New-Build Opening Experience","set","","""Moderate"""
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","commercial","Pre-Opening Support Capability","set","","""Standard"""
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","governance","Offered Services","set","","[""Full hotel management"",""Pre-opening planning"",""Revenue management"",""Sales"",""Distribution / channel management"",""Brand compliance support"",""Owner reporting"",""F&B operations""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","governance","Owner Reporting Level","set","","""Institutional reporting"""
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","governance","F&B Capability Level","set","","""Moderate F&B"""
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","governance","Revenue Management Capability","set","","""Centralized support"""
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","governance","Sales Platform","set","","[""Regional sales"",""Group sales""]"
"recTUjuDxL96yWcQA","Antillano Norte Hospitality Group","governance","Governance Cadence","set","","""Quarterly"""
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","master","Data Confidence Level","set","","""Inferred"""
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","master","Source Type","set","","[""Imported sample data""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","master","Last Updated Date","set","","""2026-05-25"""
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","profile","Service Models Supported","set","","[""Resort"",""All-inclusive"",""Full-service""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","profile","chainScalesSupported","skip_existing","[""Luxury"",""Upper Upscale"",""Upscale""]","[""Luxury"",""Upper Upscale"",""Upscale""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","profile","Brand Families Operated","set","","[""Marriott"",""Hilton"",""Hyatt""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Dominican Republic"",""Jamaica"",""Curaçao"",""Trinidad & Tobago""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","platform","Active Markets / Cities","set","","[""Riviera Maya"",""Mexico City""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","platform","Market Presence Type","set","","[""Active operations""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","commercial","Management Structures Supported","set","","[""Full third-party management"",""Franchise support""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","commercial","New-Build Opening Experience","set","","""Limited"""
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","commercial","Pre-Opening Support Capability","set","","""Limited"""
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","governance","Offered Services","set","","[""Full hotel management"",""Revenue management"",""Sales"",""F&B operations"",""Brand compliance support"",""Owner reporting"",""HR / staffing"",""Procurement""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","governance","Owner Reporting Level","set","","""Institutional reporting"""
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","governance","F&B Capability Level","set","","""Significant F&B"""
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","governance","Revenue Management Capability","set","","""Property-level only"""
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","governance","Sales Platform","set","","[""Group sales"",""Global sales support""]"
"recWPKu5laVZxsvpn","Hotel Equities (CALA)","governance","Governance Cadence","set","","""Asset-management style"""
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","master","Data Confidence Level","set","","""Inferred"""
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","master","Source Type","set","","[""Imported sample data""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","master","Last Updated Date","set","","""2026-05-25"""
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","profile","Service Models Supported","set","","[""Select-service"",""Full-service""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","profile","chainScalesSupported","skip_existing","[""Upper Midscale"",""Upscale"",""Upper Upscale""]","[""Upper Midscale"",""Upscale"",""Upper Upscale""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","profile","Brand Families Operated","set","","[""Marriott"",""Hilton""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","platform","Active Countries","set","","[""Mexico"",""Costa Rica"",""Panama"",""Colombia"",""Peru"",""Chile"",""Dominican Republic"",""Puerto Rico""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","platform","Active Markets / Cities","set","","[""Mexico City"",""Cancún"",""Monterrey"",""Guadalajara"",""San José"",""Panama City"",""Bogotá"",""Medellín"",""Lima"",""Santiago"",""Montevideo"",""Santo Domingo"",""San Juan""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","platform","Market Presence Type","set","","[""Active operations""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","commercial","Management Structures Supported","set","","[""Full third-party management"",""Franchise support"",""Pre-opening / transition support""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","commercial","New-Build Opening Experience","set","","""Strong"""
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","commercial","Pre-Opening Support Capability","set","","""Advanced"""
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","governance","Offered Services","set","","[""Full hotel management"",""Pre-opening planning"",""Opening / transition support"",""Revenue management"",""Sales"",""Distribution / channel management"",""Digital marketing"",""Brand compliance support"",""Owner reporting"",""Accounting / finance""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","governance","Owner Reporting Level","set","","""Monthly operating review"""
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","governance","F&B Capability Level","set","","""Moderate F&B"""
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","governance","Revenue Management Capability","set","","""Advanced centralized platform"""
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","governance","Sales Platform","set","","[""Regional sales"",""Group sales""]"
"recZPHT2zqc8K6itx","Viento Sur Gestión Hotelera","governance","Governance Cadence","set","","""Monthly"""
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","master","Data Confidence Level","set","","""Inferred"""
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","master","Source Type","set","","[""Imported sample data""]"
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","master","Last Updated Date","set","","""2026-05-25"""
"recZgNR85WZKDItLF","Mangle Azul Hospitalidad","profile","Service Models Supported","set","","[""Full-service"",""Lifestyle"",""Boutique""]"
