Airtable Table,Airtable Field,Airtable Field Type,Live Options,Static Form Field Name,OAS Injected?,New-Base Writer Mapped?,Legacy Writer Mapped?,Child Table / JSON Payload?,Source File(s),Needed For OAS?,Needed For Operator Explorer?,Needed For Operator Strategy?,Coverage Status,Risk Level,Recommended Action
Operator Setup - Master,company_name,singleLineText,,companyName,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,Yes,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Master,operator_id,singleLineText,,operator_id,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Fully Covered,Low,System/link field — no UI required
Operator Setup - Master,submission_status,singleSelect,,submission_status,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,Yes,No,Yes,Fully Covered,Low,System/link field — no UI required
Operator Setup - Master,created_at,createdTime,,created_at,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Fully Covered,Low,System/link field — no UI required
Operator Setup - Master,updated_at,lastModifiedTime,,updated_at,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Fully Covered,Low,System/link field — no UI required
Operator Setup - Profile & Positioning,company_name,singleLineText,,companyName,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,Yes,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,Operator,multipleRecordLinks,,,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json,No,No,No,Fully Covered,Low,System/link field — no UI required
Operator Setup - Profile & Positioning,companyDescription,multilineText,,companyDescription,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,website,url,,website,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Profile & Positioning,headquarters,singleLineText,,headquarters,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
