identity_key,classification,reasons,property_name,brand,country
ind_choice_co_cb030,steward_review_required,non_property_specific_name,"Faranda Collection Medellin, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb031,steward_review_required,non_property_specific_name,"V Grand Hotel, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb018,steward_review_required,non_property_specific_name,"Hotel Casa La Factoria by Faranda Boutique, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb019,steward_review_required,non_property_specific_name,"Hotel Faranda Express Puerta Del Sol Barranquilla, A Member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb016,steward_review_required,non_property_specific_name,"Faranda Collection Barranquilla, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb017,steward_review_required,non_property_specific_name,"Hotel Casa Don Luis by Faranda Boutique, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb014,steward_review_required,non_property_specific_name,"Hotel Caribe by Faranda Grand, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb015,steward_review_required,non_property_specific_name,"Faranda Collection Cali, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb012,steward_review_required,non_property_specific_name,"Faranda Collection Bogota, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb010,steward_review_required,non_property_specific_name,"Hotel Faranda Bolivar Cucuta, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb011,steward_review_required,non_property_specific_name,"Hotel Bantu by Faranda Boutique, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_co_cb033,steward_review_required,non_property_specific_name,"Faranda Collection Cartagena, a member of Radisson Individuals","Radisson Individuals by Choice",Colombia
ind_choice_pa_pn009,steward_review_required,non_property_specific_name,"Hotel Faranda Guayacanes, a member of Radisson Individuals","Radisson Individuals by Choice",Panama
ind_choice_pa_pn008,steward_review_required,non_property_specific_name,"Hotel El Panama By Faranda Grand, a member of Radisson Individuals","Radisson Individuals by Choice",Panama
ind_choice_pa_pn007,steward_review_required,non_property_specific_name,"Hotel Bambito By Faranda Boutique, a member of Radisson Individuals","Radisson Individuals by Choice",Panama
ind_choice_pa_pn012,steward_review_required,non_property_specific_name,"Hotel Faranda Express Soloy and Casino, a member of Radisson Individuals","Radisson Individuals by Choice",Panama
