record_id,identity_key,property_name,lane,reason
rec3GpfVNmODtyEoT,ind_choice_mx_mx165,"El Cid El Moro Beach Hotel",address,"generic_brand_regional_directory_lacks_property_level_url"
rec3VtNHyHrW0xDk8,ind_choice_mx_mx184,"Radisson Hotel Tapatio Guadalajara",address,"generic_brand_regional_directory_lacks_property_level_url"
rec4WX7MfEUKPZz0H,ind_choice_mx_mx159,"Comfort Inn Delicias",address,"generic_brand_regional_directory_lacks_property_level_url"
rec8OP2d0vaQxvlmP,ind_choice_mx_mx056,"Comfort Inn Tampico",address,"generic_brand_regional_directory_lacks_property_level_url"
rec8OtmFD9eqKORYs,ind_choice_mx_mx226,"Comfort Inn Queretaro Tecnologico",address,"generic_brand_regional_directory_lacks_property_level_url"
rec8WiNOFyLPqC0Sv,ind_choice_mx_mx240,"Radisson San Luis Potosi Aeropuerto",address,"generic_brand_regional_directory_lacks_property_level_url"
rec8p3hHGuNLdbHlz,ind_choice_mx_mx089,"Comfort Inn San Luis Potosi",address,"generic_brand_regional_directory_lacks_property_level_url"
recEeZzrgtKP3QgT6,ind_choice_mx_mx178,"Radisson Hotel Cuernavaca",address,"generic_brand_regional_directory_lacks_property_level_url"
recFtm0joBzzPpLcn,ind_choice_mx_mx109,"Comfort Inn Ciudad Juarez",address,"generic_brand_regional_directory_lacks_property_level_url"
recJmRWXMaR3PLXLF,ind_choice_mx_mx224,"Comfort Inn Puebla Centro Histórico",address,"generic_brand_regional_directory_lacks_property_level_url"
recMIflS6ZUd7TlZZ,ind_choice_mx_mx075,"Quality Inn Monterrey La Fe",address,"generic_brand_regional_directory_lacks_property_level_url"
recMkLNDFTYCSvlV4,ind_choice_mx_mx168,"Ventus at Marina El Cid Spa & Beach Resort (Riviera Maya)",address,"generic_brand_regional_directory_lacks_property_level_url"
recOyzLQATwUVnc17,ind_choice_mx_mx227,"Radisson Puebla Angelopolis",address,"generic_brand_regional_directory_lacks_property_level_url"
recP5C9bsYWRS4NCM,ind_choice_mx_mx087,"Comfort Inn Morelia",address,"generic_brand_regional_directory_lacks_property_level_url"
recTgBmnQVsOpF0mC,ind_choice_mx_mx098,"Comfort Inn Hermosillo Airport",address,"generic_brand_regional_directory_lacks_property_level_url"
recVmMllItEE5sM8r,ind_choice_mx_mx248,"Radisson Hotel Chapala",address,"generic_brand_regional_directory_lacks_property_level_url"
recXkhmSxdzqhiyyQ,ind_choice_mx_mx185,"Radisson Hotel & Convention Center Toluca",address,"generic_brand_regional_directory_lacks_property_level_url"
recamZJUape5BZylI,ind_choice_mx_mx063,"Quality Inn Aguascalientes",address,"generic_brand_regional_directory_lacks_property_level_url"
recazuQ3B3xjMYmWo,ind_choice_mx_mx169,"El Cid La Ceiba Beach Hotel",address,"generic_brand_regional_directory_lacks_property_level_url"
recfwU24wZgzJgISr,ind_choice_mx_mx071,"Quality Inn Mazatlan",address,"generic_brand_regional_directory_lacks_property_level_url"
recgybHF0cPT7UqbK,ind_choice_mx_mx241,"Comfort Inn Hermosillo Pitic",address,"generic_brand_regional_directory_lacks_property_level_url"
reciEZyXVMr9bjwct,ind_choice_mx_mx058,"Quality Inn Piedras Negras",address,"generic_brand_regional_directory_lacks_property_level_url"
recjnviYSgItpjQqf,ind_choice_mx_mx167,"Hotel Marina El Cid Spa & Beach Resort (Riviera Maya)",address,"generic_brand_regional_directory_lacks_property_level_url"
recoGI3BaW8xQXvUU,ind_choice_mx_mx080,"Comfort Inn Monterrey Norte",address,"generic_brand_regional_directory_lacks_property_level_url"
recodiZIwEYLg73z0,ind_choice_mx_mx050,"Comfort Inn Cordoba",address,"generic_brand_regional_directory_lacks_property_level_url"
recs7RZQfcP4Hzisr,ind_choice_mx_mx164,"El Cid Castilla Beach Hotel",address,"generic_brand_regional_directory_lacks_property_level_url"
recvR2BdCxtEu6wvr,ind_choice_mx_mx077,"Comfort Inn Chihuahua",address,"generic_brand_regional_directory_lacks_property_level_url"
recxjhraXKAz0BaVH,ind_choice_mx_mx228,"Amberes 64, an Ascend Collection Hotel",address,"generic_brand_regional_directory_lacks_property_level_url"
recxx94Ij6YdZlXop,ind_choice_mx_mx051,"Comfort Inn Monterrey Valle",address,"generic_brand_regional_directory_lacks_property_level_url"
