record_id,identity_key,property_name,queue,reason
,ind_marriott_do_azsak,"Donoma Las Terrenas Resort & Villas, Autograph Collection",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_do_sdqds,"Sheraton Santo Domingo Hotel",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_do_pujwi,"The Westin Puntacana Resort",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_do_sdqal,"Aloft by Marriott Santo Domingo Piantini",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_cr_lirph,"Planet Hollywood Costa Rica by Royalton, An Autograph Collection All-Inclusive Resort",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_cr_lirel,"El Mangroove, Autograph Collection",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_co_bogak,"The Artisan D.C. Hotel, Autograph Collection",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_co_bogsi,"Sheraton Bogota Hotel",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_co_bogal,"Aloft by Marriott Bogota Airport",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_pa_ptykp,"The Buenaventura Golf & Beach Resort Panama, Autograph Collection",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_pa_ptysi,"Sheraton Grand Panama",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_pa_ptybw,"The Westin Playa Bonita Panama",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_pa_ptywi,"The Westin Panama",source_discovery_insert,"missing_or_unknown_city"
,ind_marriott_pa_ptyal,"Aloft by Marriott Panama",source_discovery_insert,"missing_or_unknown_city"
rec0VkbM7Cbvim1uc,ind_marriott_mx_cuncm,"The St. Regis Costa Mujeres Resort, Cancun",source_discovery_insert,"steward"
rec0kSLXMjjavq3cG,ind_hilton_mx_qrohwhw,"Homewood Suites by Hilton Queretaro",source_discovery_insert,"steward"
rec0qmO7Xj7uyjWLZ,ind_choice_mx_mx086,"Choice property MX086",source_discovery_insert,"steward"
rec22IdeWa0u2bWAS,ind_marriott_mx_bjxxl,"City Express by Marriott Leon",source_discovery_insert,"steward"
rec29iAAbH99948Hi,ind_choice_mx_mx153,"Choice property MX153",source_discovery_insert,"steward"
rec2CnwDDzuMNJS8p,ind_preferred_mx_311001,"HS HOTSSON Hotel CDMX Condesa Sur",source_discovery_insert,"steward"
rec2iv5CMBLM2etaa,ind_hilton_mx_qrojshh,"Hilton Queretaro",source_discovery_insert,"steward"
rec35J5pknfdYHECD,ind_choice_mx_mx155,"Choice property MX155",source_discovery_insert,"steward"
rec3MHAXsWlTUz2gY,ind_hilton_mx_sjdtlup,"Tropicana Los Cabos, Tapestry Collection by Hilton",source_discovery_insert,"steward"
rec3lq6HNkA6e7vGu,ind_marriott_mx_mexpg,"City Express Plus by Marriott Ciudad de México Reforma El Ángel",source_discovery_insert,"steward"
rec3p7nzLTYGMNjgi,ind_hilton_co_bogatgi,"Hilton Garden Inn Bogota Airport",source_discovery_insert,"steward"
rec4GZiNS06CisWoU,ind_accor_mx_7118,"ibis Cancun Centro",source_discovery_insert,"steward"
rec4IMzkVGwajIHAu,ind_marriott_mx_qroqa,"AC Hotel Queretaro Antea",source_discovery_insert,"steward"
rec4ssddTv94EkM7a,ind_accor_co_a535,"Mercure Bogotá BH Zona Financiera",source_discovery_insert,"steward"
rec5ZvmkJakW4VvVj,ind_ihg_mx_mqemx,"Holiday Inn Queretaro-Centro Historico",source_discovery_insert,"steward"
rec5qfpj2IeCVyNhk,ind_marriott_mx_bjxcy,"Courtyard by Marriott Leon at The Poliforum",source_discovery_insert,"steward"
rec5sfe6f4FvnY26s,ind_marriott_mx_qropt,"Fairfield by Marriott Inn & Suites Queretaro Juriquilla",source_discovery_insert,"steward"
rec5su7y7H7ZugdIO,ind_choice_mx_mx182,"Choice property MX182",source_discovery_insert,"steward"
rec5vacRpPZdW8Ip0,ind_ihg_mx_midpl,"Crowne Plaza Merida",source_discovery_insert,"steward"
rec6qICeecQM6fOT9,ind_marriott_mx_cunjw,"JW Marriott Cancun Resort & Spa",source_discovery_insert,"steward"
rec6sEtB10RTnqE5S,ind_ihg_mx_qtzqc,"Iberostar Waves Quetzal",source_discovery_insert,"steward"
rec7f3cYiXjssNxjf,ind_marriott_mx_mexxz,"City Express by Marriott Ciudad de México Plaza Central",source_discovery_insert,"steward"
rec8CPl1Os1erMyKX,ind_hilton_mx_qrohthx,"Hampton Inn by Hilton Queretaro Tecnologico",source_discovery_insert,"steward"
rec8OtmFD9eqKORYs,ind_choice_mx_mx226,"Comfort Inn Queretaro Tecnologico",source_discovery_insert,"steward"
rec8bRbZd0RSbG80l,ind_marriott_mx_cunwa,"The Westin Cancun Resort & Spa",source_discovery_insert,"steward"
rec8tCnc17gdPt8nn,ind_hilton_cr_sjohehw,"Homewood Suites by Hilton Cariari San Jose",source_discovery_insert,"steward"
rec98FHprdZcY16Dn,ind_marriott_mx_cunbr,"Renaissance Cancun Resort & Marina",source_discovery_insert,"steward"
rec9LUyUpDrbSQxMB,ind_ihg_mx_mqerg,"Holiday Inn Express & Suites Queretaro",source_discovery_insert,"steward"
rec9SWuCVBFtet9ij,ind_preferred_mx_11081,"Haven Riviera Cancun",source_discovery_insert,"steward"
rec9Tp0WBb2uk6w3u,ind_choice_co_cb012,"Faranda Collection Bogota",source_discovery_insert,"steward"
rec9bWgA0FPjhSv72,ind_hilton_cr_sjocuqq,"Gran Hotel Costa Rica, Curio Collection by Hilton",source_discovery_insert,"steward"
recB2NjRGptbJ7FXn,ind_marriott_mx_mexpi,"City Express Plus by Marriott Ciudad de México Insurgentes Sur",source_discovery_insert,"steward"
recBKGidcenzjCYZ2,ind_marriott_mx_cunjc,"City Express Junior by Marriott Cancun",source_discovery_insert,"steward"
recBMeEWLRl8FjkSo,ind_marriott_mx_mexxe,"City Express by Marriott Ciudad de México EBC Reforma",source_discovery_insert,"steward"
recCi2aQTyLkp4BSY,ind_wyndham_mx_grand-decameron-los-cabos-a-trademark-all-inclus,"Grand Decameron Los Cabos, A Trademark All Inclusive Resort",source_discovery_insert,"steward"
recCv8y71tA2C8PvP,ind_choice_mx_mx179,"Choice property MX179",source_discovery_insert,"steward"
recDEsZceK0eHMwJn,ind_choice_co_cb010,"Hotel Faranda Bolivar Cucuta",source_discovery_insert,"steward"
recDYBhi7m7V1aw38,ind_hilton_co_cuccohx,"Hampton by Hilton Cucuta",source_discovery_insert,"steward"
recDj7ovXKgbWOzmX,ind_marriott_mx_cunri,"Residence Inn by Marriott Cancun Hotel Zone",source_discovery_insert,"steward"
recDjcGNrJoDEu3WP,ind_marriott_co_mdetx,"Loma, Medellin, a Tribute Portfolio Hotel",source_discovery_insert,"steward"
recE0g4M6IQ8XJphu,ind_marriott_mx_mexpm,"City Express Plus by Marriott Ciudad de México Mundo E",source_discovery_insert,"steward"
recEMOAku6f5dbslI,ind_ihg_mx_bjxrr,"Holiday Inn Express & Suites Silao Aeropuerto - Terminal",source_discovery_insert,"steward"
recEUV9CfcmvViwJZ,ind_hilton_cr_sjodtdt,"DoubleTree by Hilton Hotel Cariari San Jose - Costa Rica",source_discovery_insert,"steward"
recEpG2ROL6ApQwJT,ind_hilton_cr_sjolsgi,"Hilton Garden Inn San Jose La Sabana",source_discovery_insert,"steward"
recFePITe3R03edAY,ind_choice_mx_mx210,"Choice property MX210",source_discovery_insert,"steward"
recFhKpXpzDKWlhRS,ind_hilton_co_bogcchh,"Hilton Bogota Corferias",source_discovery_insert,"steward"
recFuxnsht3qKJpS5,ind_ihg_mx_midmx,"Holiday Inn Merida",source_discovery_insert,"steward"
recGheUsJrFC2sfQB,ind_accor_co_a0t1,"ibis Cali Granada",source_discovery_insert,"steward"
recGotj1TjlbYnyXd,ind_marriott_mx_midja,"City Express Junior by Marriott Merida Altabrisa",source_discovery_insert,"steward"
recH4KyCB2pHXG7fw,ind_hilton_co_bogushx,"Hampton by Hilton Bogotá - Usaquén",source_discovery_insert,"steward"
recHCOXUk4JLacvIx,ind_accor_co_8600,"ibis Cartagena Marbella",source_discovery_insert,"steward"
recHYZVQlZMEFs3Eo,ind_hilton_mx_qrojqhx,"Hampton by Hilton Queretaro Juriquilla",source_discovery_insert,"steward"
recHfk9yLxkCIK3tE,ind_ihg_mx_mqesb,"Staybridge Suites Queretaro",source_discovery_insert,"steward"
recILHlru7waNkmUH,ind_accor_mx_c4i1,"Mama Shelter Mexico City (Opening end of 2026)",source_discovery_insert,"steward"
recILItAPqTBRp4Hd,ind_preferred_co_1453,"EK Hotel",source_discovery_insert,"steward"
recIM8FkmHH8xStmh,ind_marriott_mx_qrocy,"Courtyard by Marriott Queretaro",source_discovery_insert,"steward"
recIenalIMd64S55G,ind_ihg_mx_cunhc,"InterContinental Presidente Cancun Resort",source_discovery_insert,"steward"
recIiCKNLxFJDL02K,ind_hilton_mx_cunmchh,"Hilton Cancun Mar Caribe All-Inclusive Resort",source_discovery_insert,"steward"
recIna7TAhXoRnao6,ind_choice_mx_mx067,"Comfort Inn Cancun Aeropuerto",source_discovery_insert,"steward"
recJCvhrAOmDCFesW,ind_hilton_mx_sjdcagv,"Hilton Vacation Club Cabo Azul Los Cabos",source_discovery_insert,"steward"
recJPNjVA7wPG31gb,ind_ihg_mx_bjxpm,"Holiday Inn & Suites Leon Plaza Mayor",source_discovery_insert,"steward"
recJeEN9LTkDAeMIp,ind_ihg_mx_cunrn,"Holiday Inn Club Vacations The Royal Cancun All Inclusive",source_discovery_insert,"steward"
recKZsGU7cTq1IZPp,ind_preferred_co_414871,"Poblado Plaza Hotel",source_discovery_insert,"steward"
recLY2x3wTEVI4jYY,ind_preferred_mx_1485,"HS HOTSSON Hotel Leon",source_discovery_insert,"steward"
recLdSTYD2AYd2oVo,ind_hilton_mx_mexubqq,"Umbral, Curio Collection by Hilton",source_discovery_insert,"steward"
recLhzVOydx61ko0j,ind_marriott_mx_cunxa,"City Express by Marriott Cancun Aeropuerto",source_discovery_insert,"steward"
recMNlgAWWzThfj4a,ind_preferred_mx_413944,"Hotel Mousai Cancun - A Tafer Resort",source_discovery_insert,"steward"
recMlEOzJ410bcgzU,ind_ihg_mx_tuctc,"Iberostar Waves Tucán",source_discovery_insert,"steward"
recMzgnHuyUs61BKB,ind_accor_co_a536,"Mercure Bogota BH Retiro",source_discovery_insert,"steward"
recNv8BRr9SpsXho2,ind_accor_co_7318,"ibis Bogota Museo",source_discovery_insert,"steward"
recO4HNmT1OieR57j,ind_marriott_mx_midri,"Residence Inn by Marriott Merida",source_discovery_insert,"steward"
recOlAnG812WcP7Eg,ind_marriott_mx_mexpu,"City Express Plus by Marriott Ciudad de México Patio Universidad",source_discovery_insert,"steward"
recOqiMwMw2wc4sNY,ind_marriott_mx_mexxo,"City Express by Marriott Ciudad de México Aeropuerto",source_discovery_insert,"steward"
recP5o4gkKB89UIod,ind_accor_co_7381,"ibis Medellin",source_discovery_insert,"steward"
recPCkLMj6nTihM2t,ind_accor_mx_6928,"ibis Merida",source_discovery_insert,"steward"
recPY2YmZJ6uD64aR,ind_hilton_mx_midvmqq,"Villa Mercedes Merida, Curio Collection by Hilton",source_discovery_insert,"steward"
recPiSKyVpJIqSBsW,ind_marriott_mx_mexsa,"City Express Suites by Marriott Ciudad de México Anzures",source_discovery_insert,"steward"
recPsxP3Pr43jNIj8,ind_ihg_mx_mqebc,"Holiday Inn Queretaro Zona Krystal",source_discovery_insert,"steward"
recPvFc01sCgMkJnH,ind_ihg_mx_cunsd,"Holiday Inn Club Vacations The Royal Sands All Inclusive",source_discovery_insert,"steward"
recQqrUli2sbSPULD,ind_accor_co_b471,"Mercure Bogotá Calle 100 (Ex Atton)",source_discovery_insert,"steward"
recQvqn0cM1glf0Su,ind_ihg_mx_mqeap,"Holiday Inn Queretaro Zona Diamante",source_discovery_insert,"steward"
recRQ07rVhFKpiXeS,ind_preferred_mx_413464,"VOLGA",source_discovery_insert,"steward"
recSDLhw3ZEGR6ezy,ind_hilton_co_bogntdt,"DoubleTree by Hilton Hotel Bogotá - Parque 93",source_discovery_insert,"steward"
recSTrg00DlhMCRFe,ind_ihg_mx_midnt,"Holiday Inn & Suites Merida La Isla",source_discovery_insert,"steward"
recSZlWkWSAC2MIJg,ind_ihg_mx_cunsc,"Iberostar Selection​ Cancún",source_discovery_insert,"steward"
recShpdxX7sQ7L1dQ,ind_ihg_mx_pcmaa,"Hotel Indigo Playa del Carmen",source_discovery_insert,"steward"
recSoXjB3IFyLIikx,ind_choice_mx_mx114,"Choice property MX114",source_discovery_insert,"steward"
recT1YVE99eiKqnRY,ind_marriott_mx_mexjs,"City Express Junior by Marriott Ciudad de México Sullivan",source_discovery_insert,"steward"
recTBVIDbsQX7bW3J,ind_marriott_mx_cuncy,"Courtyard by Marriott Cancun Airport",source_discovery_insert,"steward"
recTY7Ghbr9jvdpiI,ind_preferred_mx_883,"HS HOTSSON Hotel Queretaro",source_discovery_insert,"steward"
recTYU5C84aBlIaje,ind_ihg_mx_bjxap,"Holiday Inn Leon - Poliforum",source_discovery_insert,"steward"
