tableLabel,tableName,tableId,fieldName,fieldType,fieldRole,inRecommendedMapping
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Name,multilineText,name,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Type,singleSelect,type,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Latitude,number,latitude,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Longitude,number,longitude,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,City,singleSelect,city,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Country,singleSelect,country,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Region,singleSelect,market,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,IATA Code,singleLineText,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,ICAO Code,singleLineText,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,UN/LOCODE,singleLineText,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Scale Tier,singleSelect,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Infrastructure Role,singleSelect,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Airport Type,singleSelect,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Source URL,url,source,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Last Verified,date,lastVerified,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Radar Category,singleSelect,type,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Point Type,singleSelect,type,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Point Subtype,singleSelect,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Linked Market,multipleRecordLinks,market,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Deal Record ID,singleLineText,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Address / Location,singleLineText,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Distance From Deal,number,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Estimated Drive Time,number,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Demand Relevance,singleSelect,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Demand Pattern,multipleSelects,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Relevant Hotel Types,multipleSelects,other,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Hotel Demand Rationale,multilineText,notes,yes
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Source,multipleSelects,source,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Source URL / Reference,url,source,no
Travel Infrastructure,Travel Infrastructure Data,tblux5Xs9o50MgpWF,Data Confidence,singleSelect,confidence,yes
