parentFamily,accessPath,affiliation,parentCompany,cala,blankWebsite,blankPropertyId,blankAmenities,blankDescription,withPidBlankDesc,withPidBlankAmen,withWebsiteBlankAmen,opportunityScore
Accor,catalog_jsonld,ibis Styles,AccorHotels,80,28,28,28,28,0,0,0,224
Hilton,graphql_directory,Hilton Garden Inn,Hilton Worldwide,75,24,25,25,26,1,0,1,203
Accor,catalog_jsonld,ibis,AccorHotels,219,25,25,25,25,0,0,0,200
IHG,directory_partial,Holiday Inn Express,IHG Hotels & Resorts,105,18,18,18,18,0,0,0,144
IHG,directory_partial,Holiday Inn,IHG Hotels & Resorts,102,13,13,15,15,2,2,2,124
Hilton,graphql_directory,Tru by Hilton,Hilton Worldwide,24,14,15,14,14,0,0,0,115
Hilton,graphql_directory,Hampton by Hilton,Hilton Worldwide,87,14,14,14,14,0,0,0,112
Accor,catalog_jsonld,Mercure,AccorHotels,68,12,12,12,12,0,0,0,96
Marriott,bv_sitemap_partial,Ritz-Carlton,Marriott International,15,3,3,14,4,1,11,11,94
IHG,directory_partial,Six Senses,IHG Hotels & Resorts,10,10,10,10,10,0,0,0,80
IHG,directory_partial,Avid,IHG Hotels & Resorts,11,6,6,11,6,0,5,5,78
Accor,catalog_jsonld,Novotel,AccorHotels,52,9,9,9,9,0,0,0,72
Marriott,bv_sitemap_partial,Courtyard,Marriott International,63,4,4,6,10,6,2,2,68
Hilton,graphql_directory,Hilton,Hilton Worldwide,47,6,6,6,8,2,0,0,56
Marriott,bv_sitemap_partial,aloft Hotel,Marriott International,23,7,7,7,7,0,0,0,56
Accor,catalog_jsonld,ibis budget,AccorHotels,70,6,6,6,6,0,0,0,48
Accor,catalog_jsonld,Our Habitas,AccorHotels,6,6,6,6,6,0,0,0,48
Marriott,bv_sitemap_partial,W Hotel,Marriott International,13,5,5,5,5,0,0,0,40
IHG,directory_partial,InterContinental,IHG Hotels & Resorts,26,3,3,5,3,0,2,2,36
Hilton,graphql_directory,Waldorf Astoria,Hilton Worldwide,7,4,4,4,4,0,0,0,32
Marriott,bv_sitemap_partial,Marriott,Marriott International,37,4,4,4,4,0,0,0,32
Accor,catalog_jsonld,Mama Shelter,AccorHotels,3,3,3,3,3,0,0,0,24
Hilton,graphql_directory,DoubleTree by Hilton,Hilton Worldwide,28,3,3,3,3,0,0,0,24
Hilton,graphql_directory,Homewood Suites by Hilton,Hilton Worldwide,9,3,3,3,3,0,0,0,24
IHG,directory_partial,Staybridge Suites,IHG Hotels & Resorts,15,3,3,3,3,0,0,0,24
Marriott,bv_sitemap_partial,Westin,Marriott International,19,3,3,3,3,0,0,0,24
Marriott,bv_sitemap_partial,Residence Inn,Marriott International,16,1,1,1,4,3,0,0,20
Marriott,bv_sitemap_partial,St. Regis,Marriott International,9,2,2,2,3,1,0,0,20
Hilton,graphql_directory,Motto by Hilton,Hilton Worldwide,8,2,3,2,2,0,0,0,19
Marriott,bv_sitemap_partial,Fairfield Inn,Marriott International,27,1,1,2,2,1,1,1,18
Marriott,bv_sitemap_partial,Luxury Collection,Marriott International,13,1,1,2,2,1,1,1,18
Accor,catalog_jsonld,Faena,AccorHotels,2,2,2,2,2,0,0,0,16
Accor,catalog_jsonld,Hyde,AccorHotels,2,2,2,2,2,0,0,0,16
