censusRecordId,censusName,censusCountry,currentAffiliation,sourceTitle,propertyUrl,matchScore,matchReason,fields
rec23nnImPSGCxxY0,Emiliano Rio de Janeiro,Brazil,Independent,Emiliano Rio,https://slh.com/hotels/emiliano-rio,83,name_medium,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/emiliano-rio""}"
recvSOugkDJ0JxVhv,Mezzanine,Mexico,Independent,Mezzanine,https://slh.com/hotels/mezzanine,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/mezzanine""}"
recBMPIX0cM4OkhZu,Goldwynn Resort & Residences Riviera Bahama,Bahamas,Independent,Goldwynn Resort & Residences,https://slh.com/hotels/goldwynn-resort-and-residences,88,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/goldwynn-resort-and-residences""}"
recqk0na3nkyf4iCs,La Casa Que Canta,Mexico,Independent,La Casa Que Canta,https://slh.com/hotels/la-casa-que-canta,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/la-casa-que-canta""}"
recWqyfHUQJye8kiv,Hotel Nantipa - A Tico Beach Experience,Costa Rica,Independent,Hotel Nantipa,https://slh.com/hotels/hotel-nantipa,88,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/hotel-nantipa""}"
recsToxdAClktXWna,Movich Casa del Alferez,Colombia,Independent,Movich Casa del Alférez,https://slh.com/hotels/movich-casa-del-alferez,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/movich-casa-del-alferez""}"
recwjC1DT51M4UrMz,Sansara Surf & Yoga Resort,Panama,Independent,Sansara Surf and Yoga Resort,https://slh.com/hotels/sansara-surf-and-yoga-resort,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/sansara-surf-and-yoga-resort""}"
recARJFSH4xwgy1to,Kenoa Exclusive Beach Spa & Resort,Brazil,Independent,Kenoa - Exclusive Beach Spa & Resort,https://slh.com/hotels/kenoa-beach-spa-and-resort,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/kenoa-beach-spa-and-resort""}"
recRbGVkNeTtOqUKN,Tabacon Grand Spa Thermal Resort,Costa Rica,Independent,Tabacón Thermal Resort & Spa,https://slh.com/hotels/tabacon-thermal-resort-and-spa,88,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/tabacon-thermal-resort-and-spa""}"
recrAUGMuYGEtMDnJ,Casa Colonial Beach & Spa Resort,Dominican Republic,Independent,Casa Colonial Beach & Spa,https://slh.com/hotels/casa-colonial-beach-and-spa,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/casa-colonial-beach-and-spa""}"
recUAnL1Q6q73HNKx,Sunset Reef St. Kitts,Saint Kitts and Nevis,Independent,Sunset Reef,https://slh.com/hotels/sunset-reef,88,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/sunset-reef""}"
